,,,,,
Inf,Rec,Club,División,Juega en,Nombre
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
Juv,- - -,Real San Sebastián,Primera División española,ESP,- -
Juv,- - -,Amorebieta,Segunda División española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Leonesa,Primera División Federación A española,ESP,- -
Juv,- - -,Levante,Segunda División española,ESP,- -
Fic,- - -,Valladolid,Segunda División española,ESP,- -
Ctr,- - -,Alcoyano,Primera División Federación B española,ESP,- -
Juv,- - -,Náxara,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,A. Bilbao,Primera División española,ESP,- -
Juv,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Alavés,Primera División española,ESP,- -
,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,Náxara,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,Leganés,Segunda División española,ESP,- -
Juv,- - -,Granada,Primera División española,ESP,- -
Juv,- - -,Getafe,Primera División española,ESP,- -
Juv,- - -,Arenteiro,Primera División Federación A española,ESP,- -
,- - -,Náxara,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Vigo B,Primera División Federación A española,ESP,- -
,- - -,Oviedo,Segunda División española,ESP,- -
Seg,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Valencia,Primera División española,ESP,- -
Juv,- - -,Getafe,Primera División española,ESP,- -
Seg,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
Trn,- - -,Levante,Segunda División española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
Ofer,- - -,Tenerife,Segunda División española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Las Palmas,Primera División española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Elche,Segunda División española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,F.C. Andorra,Segunda División española,ESP,- -
,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Mérida,Primera División Federación B española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Levante,Segunda División española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Zaragoza,Segunda División española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Penya Independent,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Teruel,Primera División Federación A española,ESP,- -
Les,- - -,S. Gijón,Segunda División española,ESP,- -
,- - -,Oviedo,Segunda División española,ESP,- -
,- - -,Algeciras,Primera División Federación B española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Girona,Primera División española,ESP,- -
,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Tarragona,Primera División Federación A española,ESP,- -
Seg,- - -,Oviedo,Segunda División española,ESP,- -
Ret,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Illescas,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
Les,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Granada B,Primera División Federación B española,ESP,- -
Seg,- - -,Cádiz B,Segunda División Federación Grupo 4 española,ESP,- -
Les,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
,- - -,Mérida,Primera División Federación B española,ESP,- -
Ofer,- - -,F.C. Andorra,Segunda División española,ESP,- -
,- - -,Granada,Primera División española,ESP,- -
Les,- - -,Valladolid,Segunda División española,ESP,- -
Seg,- - -,Oviedo,Segunda División española,ESP,- -
,- - -,Getafe B,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Almería,Primera División española,ESP,- -
Seg,- - -,Ferrol,Segunda División española,ESP,- -
Les,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Náxara,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Leganés,Segunda División española,ESP,- -
Pet,- - -,Granada B,Primera División Federación B española,ESP,- -
Les,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
Int,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Arenteiro,Primera División Federación A española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Oviedo,Segunda División española,ESP,- -
,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,C.D. Estepona,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Levante,Segunda División española,ESP,- -
Les,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
Pet,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
,- - -,Tenerife,Segunda División española,ESP,- -
Juv,- - -,Vigo,Primera División española,ESP,- -
Juv,- - -,Málaga,Primera División Federación B española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Sabadell,Primera División Federación A española,ESP,- -
Ced,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Amorebieta,Segunda División española,ESP,- -
Juv,- - -,Granada,Primera División española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Vigo,Primera División española,ESP,- -
Juv,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Almería,Primera División española,ESP,- -
,- - -,Real Hispalis,Primera División española,ESP,- -
Seg,- - -,Huelva,Primera División Federación B española,ESP,- -
,- - -,Linares,Primera División Federación B española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
Opc,- - -,Cornellà,Primera División Federación A española,ESP,- -
Juv,- - -,Elche,Segunda División española,ESP,- -
Ret,- - -,Huelva,Primera División Federación B española,ESP,- -
Juv,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Sestao,Primera División Federación A española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
Ret,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
,- - -,Cádiz B,Segunda División Federación Grupo 4 española,ESP,- -
Opc,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Unionistas,Primera División Federación A española,ESP,- -
Des,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
Les,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Unionistas,Primera División Federación A española,ESP,- -
Les,- - -,Sabadell,Primera División Federación A española,ESP,- -
Seg,- - -,Zaragoza,Segunda División española,ESP,- -
Seg,- - -,Getafe B,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Barcelona B,Primera División Federación A española,ESP,- -
,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
Seg,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Ciudad Real,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Granada,Primera División española,ESP,- -
Ret,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Elche,Segunda División española,ESP,- -
Juv,- - -,Almería,Primera División española,ESP,- -
Seg,- - -,F.C. Andorra,Segunda División española,ESP,- -
Seg,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Oviedo,Segunda División española,ESP,- -
Les,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Intercity,Primera División Federación B española,ESP,- -
Ced,- - -,Real San Sebastián B,Primera División Federación A española,ESP,- -
Juv,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Badalona Fut,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Badalona Fut,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
Trn,- - -,Oviedo,Segunda División española,ESP,- -
Int,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Sestao,Primera División Federación A española,ESP,- -
Seg,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A. Baleares,Primera División Federación B española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
Les,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Intercity,Primera División Federación B española,ESP,- -
Ced,- - -,Mérida,Primera División Federación B española,ESP,- -
,- - -,S. Gijón,Segunda División española,ESP,- -
Seg,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
Opc,- - -,Unionistas,Primera División Federación A española,ESP,- -
Juv,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
,- - -,Real San Sebastián B,Primera División Federación A española,ESP,- -
Juv,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
Opc,- - -,Cornellà,Primera División Federación A española,ESP,- -
Int,- - -,Barcelona,Primera División española,ESP,- -
Juv,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Mérida,Primera División Federación B española,ESP,- -
Ret,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
Juv,- - -,Marbella,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Antequera,Primera División Federación B española,ESP,- -
,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Valencia,Primera División española,ESP,- -
Juv,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Zaragoza,Segunda División española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
Trn,- - -,Real San Sebastián B,Primera División Federación A española,ESP,- -
Juv,- - -,Almería,Primera División española,ESP,- -
Juv,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,Illescas,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Ceuta,Primera División Federación B española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Sevilla B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
Trn,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
Juv,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Sestao,Primera División Federación A española,ESP,- -
Seg,- - -,Amorebieta,Segunda División española,ESP,- -
,- - -,Barbastro,Segunda División Federación Grupo 2 española,ESP,- -
Pet,- - -,Getafe B,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Brea,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Arenteiro,Primera División Federación A española,ESP,- -
,- - -,Brea,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Las Palmas,Primera División española,ESP,- -
Seg,- - -,Las Palmas,Primera División española,ESP,- -
Juv,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Vigo,Primera División española,ESP,- -
Ced,- - -,Villarreal B,Segunda División española,ESP,- -
,- - -,R. Madrid,Primera División española,ESP,- -
Juv,- - -,Mallorca,Primera División española,ESP,- -
Juv,- - -,Leganés,Segunda División española,ESP,- -
Juv,- - -,San Fernando,Primera División Federación B española,ESP,- -
Juv,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Getafe,Primera División española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,La Nucía,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
Seg,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Málaga,Primera División Federación B española,ESP,- -
Seg,- - -,Granada B,Primera División Federación B española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
Ced,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Valladolid,Segunda División española,ESP,- -
Juv,- - -,F.C. Andorra,Segunda División española,ESP,- -
Juv,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Huelva,Primera División Federación B española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
Juv,- - -,Arenteiro,Primera División Federación A española,ESP,- -
Fic,- - -,Getafe,Primera División española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
Opc,- - -,Linares,Primera División Federación B española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Antequera,Primera División Federación B española,ESP,- -
,- - -,Real Hispalis B,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Valladolid,Segunda División española,ESP,- -
Seg,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,C.D. Estepona,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
Juv,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
Les,- - -,Espanyol,Segunda División española,ESP,- -
Juv,- - -,Mallorca,Primera División española,ESP,- -
Juv,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Vigo B,Primera División Federación A española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Algeciras,Primera División Federación B española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
Int,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Linares,Primera División Federación B española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Getafe,Primera División española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
Seg,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,G. Torrelavega,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
Ret,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
Juv,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,A. Madrid,Primera División española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Sevilla B,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Coruña,Primera División Federación A española,ESP,- -
Opc,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Ferrol,Segunda División española,ESP,- -
Seg,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
Trn,- - -,S. Gijón,Segunda División española,ESP,- -
Seg,- - -,Granada B,Primera División Federación B española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Sevilla B,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Formentera,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
Ret,- - -,Oviedo,Segunda División española,ESP,- -
,- - -,R. Madrid,Primera División española,ESP,- -
Seg,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
,- - -,Intercity,Primera División Federación B española,ESP,- -
,- - -,Brea,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
Seg,- - -,Valladolid,Segunda División española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Las Palmas,Primera División española,ESP,- -
Juv,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
Ced,- - -,Cartagena,Segunda División española,ESP,- -
Seg,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Valencia,Primera División española,ESP,- -
Seg,- - -,Almería,Primera División española,ESP,- -
Seg,- - -,Huelva,Primera División Federación B española,ESP,- -
,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
Les,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Vigo,Primera División española,ESP,- -
Seg,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Mirandés,Segunda División española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
Fic,- - -,A. Madrid,Primera División española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
Ofer,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
Seg,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Mérida,Primera División Federación B española,ESP,- -
Juv,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,G. Torrelavega,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Eldense,Segunda División española,ESP,- -
Seg,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
Ofer,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Valladolid B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Illescas,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Albacete,Segunda División española,ESP,- -
Ced,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Guadalajara,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Oviedo B,Segunda División Federación Grupo 1 española,ESP,- -
