,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Gol,xG,Cab Int,Cab,DsR,Rec,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
- - -,,Cristo Romero,DF/CR/ME/MP (I),35,2.886,1.438,1.214,175,36,5,"2,74",2,47,303,90,"392,4 km","13,78",115,96,1,23,44,2,0,87,39,"9,89","12,16",1,"1,32",129,53,11,17,93,15,93,15
- - -,,Abraham Del Moral,DF (C),37,3.238,1.969,1.843,136,12,0,"0,4",3,4,97,35,"414,4 km","5,67",45,38,8,20,10,3,0,67,53,"13,62","3,42",1,"1,23",290,205,61,24,3,0,3,0
- - -,Seg,Juanjo Narváez,"MP (DIC), DL (C)",23 (1),1.939,686,578,55,29,1,"3,3",3,37,228,53,"268,2 km","12,53",43,37,0,20,22,2,0,32,11,"6,27","19,08",3,"4,98",124,35,0,5,38,5,38,5
- - -,,Ramón Juan,POR,32,2.554,680,393,0,0,0,0,0,0,0,0,"163,9 km",0,5,3,0,0,6,0,0,0,-,"3,84","6,87",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Brais Martínez,DF (IC),32 (2),2.265,1.205,1.039,148,29,4,"1,4",0,23,211,61,"313,5 km","14,19",98,79,1,23,22,2,0,63,39,"12,56","12,36",0,"0,3",125,57,15,28,63,9,63,9
- - -,,Antoñín,"MP (DI), DL (C)",17 (16),1.562,453,383,15,13,2,"2,19",3,31,152,38,"200,9 km","9,1",32,29,0,14,41,2,0,25,18,"2,59","15,27",6,"5,2",128,35,0,5,29,5,29,5
- - -,Les,Jorge Pombo,ME/MP (C),0 (1),12,6,5,0,0,0,0,0,0,1,0,"0,1 km",-,0,-,0,0,0,0,0,0,0,-,-,0,0,1,0,0,0,0,0,0,0
- - -,Seg,Uriel Jové,"DF (DC), MC",32,2.853,1.927,1.738,137,12,4,"2,85",5,9,102,38,"356,1 km","5,46",49,41,8,28,9,8,0,46,44,"20,41","2,02",2,"2,64",218,150,29,13,7,2,7,2
- - -,,Armando Shashoua,ME/MP (C),32,2.384,1.176,1.058,82,42,8,"5,59",11,26,272,68,"319,1 km","9,32",56,47,1,16,23,2,0,58,21,"10,27","13,7",2,"1,96",85,30,0,7,16,6,16,6
- - -,,Diego Villares,"MC, ME (C)",31,2.458,1.334,1.202,112,30,8,"4,62",6,22,260,62,"348,2 km","11,68",61,47,4,13,18,2,1,46,33,"14,76","6,44",3,"2,94",128,73,4,17,4,1,4,1
- - -,,Borja Garcés,DL (C),6 (25),1.088,277,226,12,10,0,"0,26",1,12,93,18,"147,9 km","7,78",18,15,0,13,18,1,0,17,6,"1,32","21,26",7,"4,39",125,45,0,1,8,0,8,0
- - -,Ret,Sergi Enrich,"MP (C), DL (C)",0 (19),493,155,135,8,2,0,"0,93",1,2,51,12,"68,2 km","10,77",11,8,0,4,2,0,0,7,1,"4,2","16,43",1,"1,51",37,9,0,0,4,0,4,0
- - -,,Álvaro Bastida,"MC, ME (C)",35 (2),2.863,1.613,1.428,153,37,8,"5,85",9,26,314,81,"390,5 km","9,68",80,57,1,41,17,3,1,52,30,"12,13","5,16",3,"1,92",107,34,3,17,11,4,11,4
- - -,Seg,Andy,"MC, ME (C)",19 (11),1.596,896,784,74,25,2,"1,06",7,9,169,51,"229,2 km","11,11",48,36,3,28,10,1,0,19,16,"10,71","8,57",1,"3,12",67,44,1,3,10,2,10,2
- - -,Seg,Ryan Edwards,ME/MP (C),2 (27),742,313,279,18,8,1,"0,22",0,6,93,21,"105,3 km","12,25",17,17,0,5,5,0,0,9,3,"6,19","20,26",1,"1,58",36,10,0,1,5,1,5,1
- - -,,Quentin Lecoeuche,DF/CR/ME (I),4 (5),460,221,201,25,7,0,"0,7",0,11,49,20,"63,5 km","14,09",27,18,0,7,1,1,0,16,6,"13,89","9,98",0,0,22,5,2,2,20,4,20,4
- - -,,Cristian Salvador,"MC, ME (C)",15 (12),1.557,812,704,50,6,0,"1,35",0,16,198,55,"215,3 km","10,92",55,40,1,21,13,0,0,25,11,"9,88","11,85",1,"0,62",57,21,2,9,4,2,4,2
- - -,,Näis Djouahra,"ME (I), MP (IC)",39,2.860,974,804,75,41,3,"2,85",4,109,368,102,"399,7 km","14,1",107,90,0,27,39,0,0,59,24,"4,41","20,14",3,"4,05",189,34,0,10,81,17,81,17
- - -,Seg,Pol Fornell,DF (IC),1,90,54,52,6,1,0,0,0,0,3,2,"13,5 km",7,2,1,1,0,0,0,0,2,3,15,4,0,0,6,5,0,1,0,0,0,0
- - -,Seg,Lucas Cañizares,POR,32,2.640,714,395,0,0,0,0,0,0,0,0,"173,1 km",0,3,1,0,4,10,4,0,0,-,"4,7","5,42",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Hugo Sotelo,"MC, ME (DC)",5 (12),633,361,322,34,5,0,"2,47",4,2,68,15,"89,1 km","10,66",15,11,3,5,8,1,0,12,6,"10,66","7,11",0,"0,45",28,16,0,2,73,9,0,0
- - -,,Jhegson Méndez,"MC, ME/MP (C)",21,1.670,776,683,52,22,3,"1,68",8,16,187,48,"245,7 km","12,34",40,27,0,16,9,4,0,28,9,"14,55","10,56",3,"1,23",70,22,0,5,15,1,15,1
- - -,,Aurélien Scheidler,DL (C),2 (26),905,237,201,8,6,0,"0,91",3,6,74,16,"124,3 km","7,36",16,13,0,8,23,0,0,13,5,"1,49","17,8",6,"5,11",104,45,0,0,4,0,4,0
- - -,Ret,Cristóbal,"MC, ME/MP (C)",30 (2),2.107,1.081,977,93,60,5,"3,1",13,16,248,71,"282,2 km","9,82",65,50,3,26,22,3,0,40,20,"14,86","9,91",7,"4,43",99,36,1,5,186,22,18,3
- - -,,Mateo Joseph,DL (C),14 (3),1.255,314,281,14,13,1,"0,68",2,23,95,21,"169,0 km","7,39",19,15,0,12,48,0,0,16,11,"1,79","17,21",6,"5,19",127,20,0,2,9,3,9,3
- - -,,Pibe,"ME (I), MP (IC)",35 (1),2.522,814,680,68,34,1,"2,12",6,62,325,97,"346,5 km","13,38",97,78,0,43,36,1,0,44,22,"4,35","15,56",5,"3,84",164,21,0,11,75,10,75,10
- - -,Seg,Antonio Moyano,"MC, ME/MP (C)",34 (1),2.864,1.028,888,43,30,4,"6,32",5,40,291,72,"419,1 km","12,13",68,47,0,30,26,4,0,50,24,"14,93","14,74",11,"9,07",190,51,0,11,35,5,35,5
- - -,,Julen Lobete,"MP (DI), DL (C)",7 (17),1.157,307,264,13,5,1,"1,65",2,20,104,22,"144,7 km","7,39",20,16,0,18,25,1,0,17,2,"2,18","19,6",7,"4,22",114,18,0,3,8,2,8,2
- - -,,Eugeni,"MC, ME/MP (C)",7 (12),760,321,276,25,10,2,"1,22",1,5,82,23,"105,0 km","9,95",16,10,1,7,3,0,0,10,4,"11,37","15,51",1,"0,61",49,11,0,1,21,3,4,1
- - -,,Johan Guzmán,POR,28,2.314,558,325,0,25,0,0,0,0,0,0,"144,1 km",0,3,1,0,1,8,1,0,0,-,"3,93","6,85",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Baptiste Reynet,POR,5 (1),519,145,91,0,0,0,0,0,0,0,0,"32,6 km",0,1,0,0,0,5,0,0,0,-,"3,64","9,02",0,0,-,-,-,-,-,-,-,-
- - -,,Alejandro Cantero,"ME/MP (DI), DL (C)",16 (25),2.111,652,555,54,27,4,"6,07",6,49,221,70,"286,6 km","11,3",63,45,0,22,38,0,0,40,23,"3,58","14,41",6,"5,85",152,29,0,7,50,8,50,8
- - -,Seg,Iván Gil,ME/MP (IC),41 (1),2.495,1.031,888,84,37,8,"6,2",10,46,295,74,"354,7 km","9,63",61,51,1,36,18,2,0,47,15,"13,49","13,49",1,"4,57",128,33,0,12,21,1,21,1
- - -,,Álex Martín,DF (C),24 (1),2.149,1.291,1.179,81,5,0,"1,15",3,5,70,31,"268,7 km","5,07",40,29,9,19,7,6,0,32,32,"15,37","2,97",1,"0,55",138,95,30,11,9,1,9,1
- - -,Opc,Josiel Nuñez,ME (C),15 (1),1.340,675,581,53,18,3,"2,79",4,21,159,52,"178,6 km","9,07",47,34,1,25,17,3,0,19,13,"9,67","20,89",0,"1,16",70,22,0,4,16,0,16,0
- - -,,Sergio Aguza,"MC, ME (C)",35,2.890,1.401,1.199,110,87,6,"8,69",23,32,352,91,"372,7 km","9,06",81,70,3,48,25,3,0,40,26,"16,72","12,15",7,"5,38",111,41,0,10,31,3,31,3
- - -,,Beka Kavtaradze,DL (C),36 (1),2.227,575,484,29,26,1,"0,53",2,25,168,48,"279,9 km","5,21",42,37,1,31,64,2,0,20,18,"1,9","23,04",9,"4,91",304,124,0,2,18,3,18,3
- - -,,Stanis Idumbo Muzambo,"MC, ME (C), MP (IC)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Álvaro Carrillo,DF (DC),13 (6),1.169,701,621,45,1,0,"0,36",0,1,34,11,"144,7 km","4,7",15,14,1,7,3,1,0,25,13,"11,01","6,54",0,"0,08",82,59,3,9,1,0,1,0
- - -,,Isma Ruiz,"MC, ME (C)",25 (6),1.832,1.044,902,73,17,1,"2,02",3,11,214,51,"249,2 km","10,12",41,29,2,19,11,2,0,35,21,"11,99","5,4",0,"0,84",62,21,0,8,7,1,7,1
- - -,,Nikolay Obolskiy,"MP (C), DL (C)",16 (19),1.627,391,344,12,9,1,"0,79",1,17,128,28,"212,2 km","6,91",29,19,0,23,42,0,0,19,7,"1,94","18,31",9,"3,66",178,52,0,2,9,1,9,1
- - -,,Álex Martínez,DF/CR/ME (I),10 (2),926,476,398,56,8,1,"0,7",1,20,87,31,"130,2 km","16,43",42,33,0,13,8,0,0,32,13,"13,02","16,23",0,0,40,21,8,6,25,0,25,0
- - -,,Nélson Monte,DF (DC),36,3.158,1.927,1.761,142,13,2,"2,58",3,6,153,54,"400,3 km","6,33",65,46,10,25,19,11,1,74,48,"18,72","2,79",2,"1,82",248,184,19,15,9,1,9,1
- - -,,Tomás Berardozzi,DF (I),33 (1),2.747,1.471,1.297,192,39,2,"3,29",3,30,263,88,"381,7 km","10,81",106,89,6,34,31,6,1,70,51,"11,99","10,94",0,"1,01",156,90,21,24,112,13,102,12
- - -,,Pablo Tomeo,"MC, ME (C)",36 (2),3.227,1.838,1.626,145,27,7,"3,96",9,22,374,95,"449,2 km","11,27",101,64,1,27,25,1,0,52,37,"10,9","7,78",0,"1,93",145,62,5,22,15,3,15,3
- - -,,Dani Calvo,DF (C),35,3.112,1.877,1.678,147,12,1,"0,38",3,5,129,52,"389,0 km","5,49",68,47,11,23,2,2,0,58,32,"14,46","3,41",1,"1,85",271,184,27,12,3,0,3,0
- - -,Seg,Jesús Bernal,"MC, ME (C)",32 (3),2.891,1.548,1.369,129,36,6,"4,41",11,16,326,82,"411,9 km","11,95",97,77,2,53,15,6,0,42,27,"12,02","7,78",0,"1,55",141,82,11,13,17,3,17,3
- - -,Seg,Sergio Gil,ME/MP (C),4,288,139,119,15,6,0,"0,22",0,2,35,12,"40,6 km",10,11,9,0,6,1,0,0,3,1,"14,38","12,81",0,"0,12",18,0,0,0,23,1,6,0
- - -,Seg,Manu Justo,"MP (DIC), DL (C)",33 (8),2.912,747,631,27,18,1,"3,02",9,31,228,47,"378,7 km","6,8",46,31,0,32,72,1,1,34,18,"1,98","21,94",10,"8,78",336,101,0,10,26,1,26,1
- - -,Ret,Pedro Mosquera,"MC, ME (C)",8 (5),667,391,341,42,8,0,"1,23",6,9,67,19,"100,8 km","12,01",19,15,0,5,6,0,0,12,6,"11,2","7,42",0,"0,12",25,6,1,5,49,7,1,0
- - -,Ret,Mikel Rico,"MC, ME/MP (C)",5 (7),376,178,158,14,4,0,"0,47",0,2,50,11,"48,6 km","11,01",11,11,0,3,1,0,1,6,1,"9,57","14,12",0,"0,15",24,6,0,1,2,1,2,1
- - -,,Lucas Aveldaño,DF (DC),35,3.032,1.831,1.571,132,16,1,"1,96",3,1,95,36,"372,6 km","5,28",42,30,13,31,8,10,3,49,47,"20,54","3,32",0,"2,27",298,243,28,18,16,3,9,2
- - -,Fic,Álex Gálvez,"DF (C), MC",29 (8),2.496,1.475,1.274,119,24,1,"2,58",1,9,223,71,"346,3 km","8,83",72,61,5,40,16,6,0,32,39,"10,06","6,63",1,"1,68",173,118,21,17,7,1,7,1
- - -,,Sergio Ortuño,ME/MP (C),6 (8),622,286,246,24,7,0,"0,97",1,6,80,24,"86,6 km","12,3",21,12,0,8,2,0,0,10,4,"14,76",11,0,"0,59",40,4,0,1,11,4,11,4
- - -,,Iker Unzueta,"MP (I), DL (C)",21 (13),1.899,488,417,27,22,0,"0,91",5,11,148,38,"237,7 km","6,16",33,28,1,16,33,0,0,17,8,"1,42","20,81",6,"4,53",203,42,0,1,20,1,20,1
- - -,Seg,Gerardo Navarrete,"MC, ME (C)",31,2.595,1.351,1.234,118,33,3,"1,95",5,13,233,66,"326,3 km","10,23",71,45,3,34,15,2,1,47,24,"13,6","4,79",0,"0,78",73,25,11,10,9,0,9,0
- - -,,Diego Altube,POR,3 (1),284,63,26,0,0,0,0,0,0,0,0,"18,2 km",0,0,-,0,0,1,0,0,0,-,"4,44","6,34",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Manu Hernando,DF (C),5 (2),441,261,243,15,1,1,"0,04",0,2,12,4,"52,3 km","4,08",5,5,0,7,2,1,0,4,3,"13,06","3,06",0,"0,73",35,28,1,1,0,0,0,0
- - -,,Maxi Ribero,"MC, ME (C)",34,2.962,1.462,1.262,106,65,3,"4,71",7,15,362,99,"406,1 km","10,94",94,71,3,52,22,6,0,49,29,"17,23","8,23",1,"1,93",116,46,2,9,24,3,24,3
- - -,Seg,Gonzalo,"ME (D), MP (DI), DL (C)",22 (12),1.691,603,521,40,22,4,"2,1",4,50,199,46,"226,6 km","11,23",41,37,0,30,21,1,0,34,11,"4,79","17,99",4,"5,83",115,42,0,5,50,4,50,4
- - -,Seg,Jokin Gabilondo,DF/CR (D),39,3.524,1.810,1.577,215,41,5,"4,55",3,58,305,82,"495,5 km","14,2",106,94,2,37,38,2,1,93,41,"11,01","17,11",4,"4,07",180,109,27,13,91,3,91,3
- - -,,Roberto Correa,DF/CR (D),8 (5),871,447,390,38,5,1,"0,34",0,7,89,22,"124,1 km","16,53",33,28,0,13,10,1,0,19,5,"11,06","14,67",1,"0,22",51,29,6,5,29,4,29,4
- - -,,Aitor Buñuel,"DF (DI), CR (D)",7 (7),825,424,366,48,9,0,"0,28",0,14,75,26,"116,4 km","16,15",32,26,2,11,14,0,0,22,9,"13,96","14,4",1,"0,21",34,18,2,4,14,1,14,1
- - -,,David Andújar,DF (C),37,3.277,1.997,1.806,138,9,2,"1,26",2,2,96,27,"401,4 km","5,03",33,25,3,21,10,5,0,57,57,"14,03","3,27",0,"1,77",259,204,12,26,1,0,1,0
- - -,,Marcos Mauro,DF (C),37,3.281,2.061,1.856,145,11,0,"0,26",2,4,101,35,"386,9 km","4,53",43,29,6,25,15,8,0,62,56,"15,53","2,94",0,"2,18",257,186,23,22,3,0,3,0
- - -,Ret,David Ferreiro,"ME (DIC), MP (DI)",8 (14),873,315,268,18,32,2,"2,15",1,20,117,25,"124,3 km","15,05",23,18,0,7,13,0,0,15,10,"4,95","12,37",3,"3,73",56,10,0,1,146,28,25,7
- - -,,Iker Benito,ME/MP (D),41 (2),3.514,1.292,1.061,85,46,2,"1,93",7,107,448,113,"468,2 km","13,73",97,81,0,39,44,0,0,61,24,"2,87","20,9",8,"8,43",211,55,0,11,148,22,148,22
- - -,,Peter,MP (DI),8 (16),936,347,293,28,16,4,"2,76",3,24,127,39,"115,6 km","12,31",36,32,0,12,7,1,0,16,8,"3,37","22,02",4,"3,24",49,19,0,1,36,10,36,10
- - -,,Yacine Qasmi,"MP (D), DL (C)",4 (18),712,169,151,3,1,0,"0,58",1,4,54,9,"92,3 km","6,32",9,7,0,9,7,0,0,4,3,"1,01","20,22",5,"3,68",78,26,0,0,2,0,2,0
- - -,,Javi Mier,"MC, ME (C)",15 (18),1.748,983,882,97,26,1,"1,71",1,6,182,45,"240,9 km","10,55",43,36,2,14,10,2,0,31,22,"9,63","7,57",0,"0,25",61,20,1,7,8,1,8,1
- - -,,Juan María Alcedo,DF/CR (I),33 (1),2.768,1.485,1.321,200,32,2,"2,07",6,39,270,75,"370,8 km","13,66",105,82,7,48,28,6,0,80,43,"10,21","16,68",1,"0,42",104,39,20,29,64,6,64,6
- - -,Seg,Javi Vázquez,DF/CR/ME/MP (I),36,3.073,1.507,1.282,170,29,1,"1,72",5,72,309,79,"434,9 km","15,14",105,89,2,33,36,1,1,82,43,"12,04","15,29",1,"2,12",151,61,8,32,89,9,89,9
- - -,,Unai Medina,DF/CR (D),30 (7),2.626,1.377,1.173,138,30,3,"2,95",4,20,252,63,"359,3 km","15,18",84,67,7,30,28,2,0,50,41,"12,41","14,19",0,"1,89",137,79,24,19,61,13,61,13
- - -,,Javi Jiménez,DF (DC),38,3.064,1.760,1.561,129,15,3,"2,38",2,16,169,48,"396,9 km","8,37",63,44,9,17,17,2,1,73,39,"17,27","6,76",1,"2,86",211,138,29,21,35,5,35,5
- - -,Fic,Oier Olazabal,POR,1,90,26,9,0,0,0,0,0,0,0,0,"7,6 km",0,0,-,0,0,1,0,0,0,-,5,6,0,0,-,-,-,-,-,-,-,-
- - -,Seg,Álvaro Núñez,DF/CR (D),13 (6),1.337,667,589,72,21,1,"2,01",4,23,115,36,"170,5 km","14,54",47,37,5,18,15,1,0,24,28,"11,98","16,56",1,"0,86",57,28,11,14,31,3,31,3
- - -,,Marco Sangalli,"DF/CR (D), ME/MP (DI)",0 (24),578,219,185,15,4,0,"0,67",2,19,82,21,"80,3 km","14,79",19,18,1,2,1,1,0,15,8,"3,74","22,11",0,"1,2",34,11,0,0,13,2,13,2
- - -,Ret,Willy,"MP (C), DL (C)",31 (2),2.651,662,549,26,24,0,"2,17",3,17,197,44,"331,9 km","6,38",45,32,0,36,62,0,0,19,14,"2,14","15,24",10,"10,42",311,89,0,2,22,4,22,4
- - -,,Recio,"MC, ME (C)",1 (15),382,207,183,19,4,0,"0,56",1,2,40,9,"49,2 km","9,42",9,6,0,4,1,1,0,5,5,"11,31","3,53",0,"0,11",21,16,0,2,2,0,0,0
- - -,Seg,Miguel Ángel Leal,DF/CR (D),24 (2),2.012,1.062,912,103,12,1,"0,42",2,26,190,47,"277,1 km","16,24",61,52,1,22,23,2,0,46,25,"10,78","15,92",0,"1,05",93,35,17,10,75,10,75,10
- - -,,Carlos Vigaray,DF/CR (D),25 (1),1.882,939,801,92,21,3,"1,28",5,22,170,51,"262,2 km","17,31",74,63,5,19,26,6,1,45,33,"16,16","10,66",0,"1,09",126,90,26,19,51,10,40,7
- - -,Les,Álex Lozano,ME/MP (I),4 (21),676,242,200,23,6,0,"2,88",3,19,90,23,"89,9 km","15,31",21,19,0,7,12,0,0,16,5,"4,26","16,11",0,"2,11",43,14,0,2,21,3,21,3
- - -,Seg,Fausto Tienza,"MC, ME (C)",13 (3),910,523,475,34,5,0,"1,92",4,6,108,21,"131,0 km","11,37",25,22,0,19,8,2,0,19,9,"15,13","6,63",1,"0,47",44,22,1,5,3,0,3,0
- - -,,Juan Villar,"MP (D), DL (C)",31,2.401,798,674,55,40,2,"3,06",7,45,258,65,"310,4 km","8,81",55,47,1,29,66,1,0,31,19,"4,46","18,07",10,"6,59",179,63,0,5,184,17,93,10
- - -,Seg,Sergio Molina,"MC, ME (C)",40 (1),3.168,1.810,1.605,186,55,6,"4,89",6,12,328,79,"449,4 km","10,6",76,61,4,26,15,0,0,65,38,"10,94","6,51",2,"2,99",103,51,4,18,11,3,11,3
- - -,,Jon Gaztañaga,"DF (C), MC, ME (C)",36,3.167,1.816,1.609,136,33,5,"3,9",7,13,299,88,"418,9 km","8,89",97,67,8,40,28,10,0,62,42,"17,96","6,25",1,"2,56",161,96,12,15,18,2,18,2
- - -,,Gianluca Simeone,DL (C),31,2.559,631,532,31,24,3,"3,86",7,11,200,52,"327,2 km","6,12",51,42,1,28,76,1,0,19,16,"3,02","15,9",13,"6,11",312,120,0,2,21,3,21,3
- - -,Seg,Lago Junior,"ME/MP (DI), DL (C)",4 (29),1.140,376,313,27,9,1,"1,81",3,31,164,38,"151,4 km","13,97",32,27,0,10,15,1,0,25,11,"3,08","17,53",5,"3,72",54,11,0,7,29,5,29,5
- - -,,Alfonso Herrero,POR,38,3.480,935,620,0,0,0,0,0,0,0,0,"227,8 km",0,2,1,0,0,17,0,0,0,-,"3,49","6,91",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Kevin Villodres,"ME (I), MP (DI)",38,2.881,1.011,832,80,38,3,"4,99",5,83,406,104,"408,9 km","13,93",88,75,1,29,49,0,0,55,23,"4,9","16,93",2,"7,71",143,17,0,13,108,19,108,19
- - -,Seg,Pablo Íñiguez,"DF (C), MC",40,3.293,1.950,1.715,134,12,3,"1,34",4,4,157,50,"426,4 km","6,59",62,47,12,40,14,12,0,45,53,"14,24","4,92",0,"1,11",228,144,36,18,11,2,11,2
- - -,,Toni Abad,DF/CR (D),39,3.420,1.743,1.526,201,40,1,"2,2",7,28,274,107,"470,5 km","14,11",125,97,9,23,32,1,1,93,57,"10,55","13,42",0,"1,97",139,69,18,25,78,8,78,8
- - -,,Carlos Hernàndez,DF (C),38,3.379,2.302,2.089,150,7,0,"2,06",3,4,117,34,"421,3 km","5,35",46,36,6,23,8,5,0,52,50,"15,4","3,92",5,"2,23",280,193,32,19,6,0,6,0
- - -,,Jesús Clemente,"MC, ME (C)",37 (4),3.190,1.735,1.546,166,38,11,"8,46",14,24,349,105,"432,2 km","10,41",110,87,0,69,16,5,0,55,23,"14,19","9,17",1,"1,85",157,76,7,12,20,2,20,2
- - -,,João Pedro,MP (IC),28 (5),2.294,847,707,59,34,3,"3,75",5,32,246,52,"307,6 km","7,96",38,32,0,16,17,1,0,29,20,"11,22","15,42",4,"3,29",130,31,0,5,37,1,30,1
- - -,,Aleix Garrido,"MC, ME (C)",34 (2),2.684,1.300,1.122,121,50,4,"5,96",14,23,314,70,"375,3 km","9,99",60,47,0,23,17,3,0,47,29,"14,96","12,24",4,"5,2",106,32,0,11,138,20,26,7
- - -,Seg,Diego Collado,"MP (DI), DL (C)",17 (14),1.460,447,373,27,12,1,"1,4",4,35,154,38,"190,1 km","10,48",37,32,1,27,39,1,0,23,8,"2,53","19,85",4,"3,25",120,26,0,6,39,8,39,8
- - -,,Kuki Zalazar,"ME (D), MP (DC), DL (C)",6 (26),1.024,360,304,21,13,2,"0,68",0,13,120,30,"147,3 km","11,78",25,24,0,8,15,0,0,11,2,"5,89","16,35",2,"1,73",60,12,0,1,36,3,31,3
- - -,,Jimmy,"MC, ME (C)",18 (19),1.655,930,815,81,18,1,"4,13",11,11,171,43,"232,1 km","11,31",45,36,2,14,18,2,0,33,16,"11,53","7,83",0,"0,98",50,24,4,8,4,0,4,0
- - -,,Pablo Cuñat,POR,36,3.132,786,526,0,0,0,0,0,0,0,0,"186,3 km",0,3,1,0,0,17,0,0,0,-,"2,73","8,71",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Dani Lasure,DF/CR (I),40 (1),3.618,1.797,1.554,240,33,1,"1,79",7,44,354,112,"508,5 km","15,62",155,113,3,35,44,4,0,88,67,"9,88","16,27",0,"0,4",169,83,24,39,96,13,96,13
- - -,,Juan Agüero,"ME (C), MP (DC), DL (C)",22 (5),1.981,955,848,85,39,5,"2,71",4,23,234,61,"252,0 km","7,72",44,41,2,30,17,2,0,40,28,"12,45","11,45",5,"2,94",67,14,0,6,14,1,14,1
- - -,,Aitor Lorá,DL (C),24 (7),1.821,442,387,17,16,1,"1,34",0,19,101,37,"220,4 km","5,09",32,26,1,23,35,1,0,18,16,"1,33","23,08",10,"4,85",238,88,0,3,14,0,14,0
- - -,Seg,Unai Ropero,"MP (DIC), DL (C)",1 (6),160,42,31,2,1,0,"0,03",0,3,15,1,"17,8 km",9,1,1,0,0,4,0,0,3,1,"1,12","17,44",0,"0,32",15,4,0,0,2,1,2,1
- - -,,Miguel De las Cuevas,"MC, ME/MP (C)",29 (1),2.201,766,645,38,28,3,"2,19",3,40,202,46,"300,4 km","8,3",39,33,0,14,35,1,0,27,10,"12,8","15,87",7,"5,58",126,21,0,5,104,18,29,3
- - -,Seg,David Larrubia,"ME (D), MP (DC)",41,2.925,1.009,845,71,33,4,"7,28",11,56,282,73,"425,3 km","10,71",62,53,1,23,23,0,0,40,11,"12,18","15,14",8,"9,74",136,21,0,6,79,11,37,4
- - -,,Diego Aguirre,DF/CR/ME/MP (I),28,2.450,1.287,1.082,164,21,2,"3,37",4,56,231,66,"337,1 km","14,11",83,72,4,29,48,2,0,67,33,"14,4","11,53",0,"1,08",102,44,12,16,64,5,64,5
- - -,Seg,Fran Vieites,POR,34,3.060,717,435,0,0,0,0,0,0,0,0,"61,8 km",0,0,-,0,0,30,0,0,0,-,"1,06","2,53",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Yassin Fekir,MP (DIC),34,2.744,699,518,24,25,10,"1,65",3,21,97,18,"101,5 km","3,44",43,31,1,45,51,0,0,17,7,"1,05","4,59",5,"8,13",33,9,0,2,44,5,26,3
- - -,,Trilli,"DF (DC), CR (D)",37,3.275,1.698,1.528,194,22,0,"4,36",12,58,336,86,"447,9 km","15,22",104,87,6,51,47,5,1,74,40,"15,39","10,99",4,"6,48",176,112,13,20,94,9,94,9
- - -,Seg,Enzo Lombardo,"ME (DI), MP (DIC)",6 (22),880,308,254,13,8,2,"2,01",1,25,85,19,"130,7 km","13,3",14,11,0,13,9,0,0,13,4,"4,19","21,99",1,"2,12",60,7,0,2,56,10,12,3
- - -,Seg,Carlos Abad,POR,31,2.790,742,466,0,1,0,0,0,0,0,0,"170,7 km",0,1,0,0,0,16,0,0,0,-,"6,32","4,94",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Lucho García,POR,35,3.109,832,593,0,0,0,0,0,0,0,0,"196,9 km",0,4,1,0,1,16,1,0,0,-,"3,47","7,67",0,0,-,-,-,-,-,-,-,-
- - -,,Ander Astrálaga,POR,40,3.575,877,608,0,0,0,0,0,0,0,0,"220,2 km",0,3,0,0,2,22,2,0,0,-,"4,81","6,85",0,0,-,-,-,-,-,-,-,-
- - -,,Carlos Pomares,"DF (IC), CR/ME (I)",6 (3),609,309,278,41,8,0,"0,71",3,4,63,20,"80,2 km","13,6",27,26,1,5,7,1,0,12,12,"12,12","13,74",0,"0,15",33,23,5,7,16,4,16,4
- - -,,Iñaki Sáenz,DF/CR/ME/MP (I),33,2.881,1.476,1.293,185,46,2,"2,33",7,41,266,67,"394,3 km","13,81",98,80,3,40,45,5,0,79,47,"13,53","13,03",0,"0,46",119,71,18,23,96,10,66,7
- - -,Seg,Juande,"DF (C), MC",41,3.145,1.882,1.731,150,10,1,"3,02",4,4,113,40,"382,7 km","5,24",54,46,10,22,13,1,0,56,40,"17,86","2,17",0,"1,08",250,151,22,18,6,1,6,1
- - -,,Jacques Dago,"CR/ME/MP (D), DL (C)",32,2.436,620,521,23,18,2,"1,97",3,28,165,36,"260,4 km","5,36",36,24,1,30,62,2,0,22,22,"2,44","18,55",10,"8,58",290,120,0,5,24,6,24,6
