,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Enc,xGE,BAt,BDs,Rp %,BRe,Pas I,Pas C,Portería imbatida,Pep %,Paradas/90,Pen. parados,Prop. penaltis parados,Gl Err,Pos Gan/90,Pos Perd/90
- - -,Ret,Biel Ribas,POR,31,2.700,25,"4,6",20,8,75%,44,759,505,13,89%,2,2,29%,0,"3,3","8,7"
- - -,,Unai Hernàndez,ME/MP (C),33,2.758,-,-,-,-,-,-,1.325,1.119,-,-,-,-,-,0,"12,27","12,6"
- - -,,Ali Fadal,ME/MP (C),28,2.415,-,-,-,-,-,-,882,734,-,-,-,-,-,0,"8,24","18,89"
- - -,Seg,Roberto Fernández,DL (C),37 (1),2.771,-,-,-,-,-,-,698,600,-,-,-,-,-,0,"2,57","14,06"
- - -,Ced,Alberto Del Moral,"MC, ME (C)",33 (1),2.704,-,-,-,-,-,-,1.531,1.358,-,-,-,-,-,0,"12,32","7,19"
- - -,,Nacho Martín,"MC, ME (C)",15,1.185,-,-,-,-,-,-,662,604,-,-,-,-,-,0,"11,77","4,56"
- - -,Seg,Lassina Sangaré,"DF (DC), MC",0 (2),44,-,-,-,-,-,-,25,23,-,-,-,-,-,0,-,-
- - -,,Dalisson,"ME (D), MP (DI)",26,2.064,-,-,-,-,-,-,830,694,-,-,-,-,-,0,"6,37","16,09"
- - -,Seg,Alberto Reina,"MC, ME (DC), MP (C)",2 (9),273,-,-,-,-,-,-,140,120,-,-,-,-,-,0,"7,58","9,23"
- - -,Seg,Taliby,POR,30,2.537,35,"1,6",30,21,75%,54,639,456,8,90%,3,1,100%,1,"4,47","5,82"
- - -,,Mamadou Mbacke,DF (DC),34,2.897,-,-,-,-,-,-,1.736,1.568,-,-,-,-,-,0,"17,18","2,52"
- - -,,Zourdine Thior,MP (DIC),29,1.864,-,-,-,-,-,-,618,510,-,-,-,-,-,0,"5,26","13,76"
- - -,,Aritz Arambarri,DF (C),3 (2),402,-,-,-,-,-,-,246,186,-,-,-,-,-,0,"9,85","4,7"
- - -,,Luis Meseguer,"DF (IC), CR (I)",31,2.572,-,-,-,-,-,-,1.469,1.290,-,-,-,-,-,0,"15,19","4,48"
- - -,,César Tárrega,"DF (C), MC",30 (5),2.711,-,-,-,-,-,-,1.850,1.642,-,-,-,-,-,0,"13,71","4,15"
- - -,Seg,Javier Belman,POR,36,3.068,34,"10,72",39,28,77%,52,760,485,17,87%,3,0,0%,0,"6,19","5,81"
- - -,Fic,Stipe Biuk,"ME (I), MP (DIC)",11 (7),835,-,-,-,-,-,-,300,244,-,-,-,-,-,0,"3,99","19,83"
- - -,,Diego Sánchez,"DF (IC), CR (I)",3,270,-,-,-,-,-,-,148,126,-,-,-,-,-,0,"13,33","9,33"
- - -,Seg,Mika Faye,DF (IC),0 (2),83,-,-,-,-,-,-,47,42,-,-,-,-,-,0,"9,76","6,51"
- - -,,Álvaro Jiménez,"ME (D), MP (DI)",3 (26),739,-,-,-,-,-,-,274,242,-,-,-,-,-,0,"3,53","16,44"
- - -,,Chiki,"MP (DIC), DL (C)",2 (21),642,-,-,-,-,-,-,184,161,-,-,-,-,-,0,"2,1","20,19"
- - -,,Andrés Prieto,POR,37,3.386,38,"4,78",28,17,74%,61,820,468,10,89%,2,1,33%,1,"2,95","9,04"
- - -,,Quique Rivero,"MC, ME (IC)",37 (2),3.041,-,-,-,-,-,-,1.540,1.346,-,-,-,-,-,0,"12,34","11,96"
- - -,Seg,Mariano Gómez,"DF (C), MC",35,2.974,-,-,-,-,-,-,1.856,1.656,-,-,-,-,-,0,"16,86","3,45"
- - -,Seg,Guillem Jaime,DF/CR (DI),38,3.316,-,-,-,-,-,-,1.678,1.441,-,-,-,-,-,0,"12,13","13,9"
- - -,,Yeray Cabanzón,"ME (C), MP (DIC)",8 (12),873,-,-,-,-,-,-,339,298,-,-,-,-,-,0,"4,33","14,43"
- - -,,Óscar Sielva,"MC, ME (C)",33,2.476,-,-,-,-,-,-,1.357,1.196,-,-,-,-,-,0,"11,16","10,07"
- - -,,Javi Martón,DL (C),11 (4),861,-,-,-,-,-,-,213,179,-,-,-,-,-,0,"1,36","25,19"
- - -,Seg,Álvaro Bustos,ME/MP (DI),24 (1),1.947,-,-,-,-,-,-,735,597,-,-,-,-,-,0,"5,41","18,07"
- - -,Seg,Diego Conde,POR,8 (2),740,10,"-1,38",6,2,70%,16,168,105,3,89%,2,0,-,0,"2,92","8,39"
- - -,Seg,Antonio Zarzana,"ME (I), MP (DIC), DL (C)",33,2.685,-,-,-,-,-,-,877,770,-,-,-,-,-,0,"6,34","16,83"
- - -,,Carlos Marín,POR,40,3.614,34,"3,79",28,15,74%,51,977,658,18,89%,2,1,17%,2,"4,53","7,02"
- - -,Ced,Urko González de Zárate,"DF (C), MC",24 (7),2.258,-,-,-,-,-,-,1.531,1.324,-,-,-,-,-,0,"16,3","2,63"
- - -,,Andoni Zubiaurre,POR,2 (1),132,1,"-0,49",0,0,50%,1,35,12,1,94%,0,0,-,0,"3,41","7,5"
- - -,,Jorge Yriarte,ME (C),18 (2),1.117,-,-,-,-,-,-,555,483,-,-,-,-,-,0,"9,91","15,07"
- - -,,Jon Aramburu,"DF (DIC), CR (DI)",35,3.150,-,-,-,-,-,-,1.509,1.317,-,-,-,-,-,1,12,"15,94"
- - -,Seg,Theo,ME/MP (C),13 (18),1.388,-,-,-,-,-,-,496,427,-,-,-,-,-,0,"11,02","14,59"
- - -,Seg,Antonio Gomis,POR,35,3.150,45,"5,35",29,16,70%,59,860,616,7,86%,2,2,40%,0,"4,86","5,83"
- - -,,Iago López,DF/CR (D),40,3.518,-,-,-,-,-,-,1.838,1.626,-,-,-,-,-,0,"10,64","14,76"
- - -,,Giuliano Bertino,"ME (I), MP (DI)",17,1.507,-,-,-,-,-,-,533,439,-,-,-,-,-,0,"7,47","11,94"
- - -,,Yarek Gąsiorowski,"DF (IC), MC",3 (4),320,-,-,-,-,-,-,189,167,-,-,-,-,-,0,"18,28","3,94"
- - -,Seg,Pol Llonch,"MC, ME (C)",33 (1),2.804,-,-,-,-,-,-,1.608,1.455,-,-,-,-,-,0,"12,49","6,9"
- - -,Seg,Alfon,"ME/MP (DI), DL (C)",37,3.114,-,-,-,-,-,-,1.027,873,-,-,-,-,-,0,"4,13","18,01"
- - -,,Javi Ros,"MC, ME (C)",15,1.216,-,-,-,-,-,-,648,574,-,-,-,-,-,0,"11,62","11,25"
- - -,,Loïc Williams,"DF (C), MC",5 (8),575,-,-,-,-,-,-,342,307,-,-,-,-,-,0,"15,65","4,54"
- - -,,Germán Valera,"ME/MP (DI), DL (C)",17 (12),1.220,-,-,-,-,-,-,420,353,-,-,-,-,-,0,"3,39","19,55"
- - -,,Chuli,"ME (D), MP (DIC), DL (C)",31,2.474,-,-,-,-,-,-,926,740,-,-,-,-,-,0,"6,69","12,11"
- - -,,Teto,ME/MP (DC),1 (10),225,-,-,-,-,-,-,69,59,-,-,-,-,-,0,"9,6","15,2"
- - -,,Juan Artola,"ME (D), MP (DIC), DL (C)",20 (18),2.060,-,-,-,-,-,-,732,617,-,-,-,-,-,0,"8,39","20,4"
- - -,,Míchel,"MC, ME (C)",34,2.245,-,-,-,-,-,-,1.244,1.066,-,-,-,-,-,0,"10,74","10,46"
- - -,Seg,Darío Benavides,DF/CR (D),33,2.872,-,-,-,-,-,-,1.334,1.157,-,-,-,-,-,0,"19,84","8,87"
- - -,Seg,Álvaro Romero,MP (DIC),1 (10),313,-,-,-,-,-,-,108,94,-,-,-,-,-,0,"7,19","16,39"
- - -,,Unai Bustinza,DF (DC),35,2.831,-,-,-,-,-,-,1.517,1.326,-,-,-,-,-,0,"11,44","15,04"
- - -,,Álex Cardero,ME/MP (C),35 (2),3.008,-,-,-,-,-,-,1.501,1.334,-,-,-,-,-,0,"10,02","15,71"
- - -,,Pablo García,DF/CR/ME/MP (I),1 (11),425,-,-,-,-,-,-,208,178,-,-,-,-,-,0,"8,47","13,98"
- - -,,Christian Joel Sánchez,POR,3,270,1,"3,04",1,1,85%,4,74,43,2,92%,2,0,-,0,"4,33",5
- - -,,Andrés Ferrari,DL (C),5 (17),835,-,-,-,-,-,-,234,195,-,-,-,-,-,0,"0,75","22,85"
- - -,Ofer,Iván Ayllón,"MP (DI), DL (C)",0 (10),245,-,-,-,-,-,-,68,58,-,-,-,-,-,0,"1,84","21,67"
- - -,,Vinicius Tobias,DF/CR (D),0 (5),152,-,-,-,-,-,-,79,66,-,-,-,-,-,0,"5,33","39,67"
- - -,Seg,Salvi,POR,38,3.350,31,"17,02",30,23,79%,69,823,541,13,89%,3,0,0%,1,"5,43","5,72"
- - -,,Mateusz Wieteska,DF (C),2 (2),200,-,-,-,-,-,-,126,114,-,-,-,-,-,0,"6,3","5,85"
- - -,,Pablo Vázquez,"DF (C), MC, ME (C)",30 (3),2.440,-,-,-,-,-,-,1.425,1.309,-,-,-,-,-,0,18,"5,13"
- - -,,Victor Aznar,POR,32,2.752,32,"8,43",23,16,76%,44,673,335,9,89%,2,4,57%,1,"4,74","7,42"
- - -,,Álex Barbu,DF (IC),1 (3),122,-,-,-,-,-,-,75,71,-,-,-,-,-,0,"16,23","4,43"
- - -,Seg,Borja Sánchez,"ME (C), MP (IC)",0 (24),346,-,-,-,-,-,-,115,94,-,-,-,-,-,0,"4,42","14,31"
- - -,Seg,Moha,"MP (DIC), DL (C)",32,2.741,-,-,-,-,-,-,868,711,-,-,-,-,-,0,"6,5","11,62"
- - -,,Tòfol Montiel,"MP (DIC), DL (C)",11 (8),1.166,-,-,-,-,-,-,354,299,-,-,-,-,-,0,"4,09","16,21"
- - -,,Fran Gámez,DF/CR (D),4 (6),458,-,-,-,-,-,-,241,216,-,-,-,-,-,0,"12,18","14,15"
- - -,,Pablo Hernàndez,"MC, ME (C)",29,2.066,-,-,-,-,-,-,1.197,1.069,-,-,-,-,-,0,"12,98","5,45"
- - -,,João Vigário,DF/CR/ME/MP (I),31,2.583,-,-,-,-,-,-,967,810,-,-,-,-,-,0,"7,28","11,36"
- - -,,Eneko Jauregi,DL (C),20 (10),1.626,-,-,-,-,-,-,398,336,-,-,-,-,-,0,"1,33","18,82"
- - -,,Juanra,"DF (DC), CR (D)",6 (8),655,-,-,-,-,-,-,359,324,-,-,-,-,-,0,"12,5","10,31"
- - -,Seg,Pablo Larrea,"MC, ME (C)",35,2.675,-,-,-,-,-,-,1.353,1.170,-,-,-,-,-,0,"14,87","9,42"
- - -,,Néstor Senra,DF/CR (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Carlos García,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Marcos Baselga,"MP (DI), DL (C)",36 (1),2.831,-,-,-,-,-,-,694,595,-,-,-,-,-,0,"2,32","17,68"
- - -,,Caio Emerson,"MP (IC), DL (C)",24,1.727,-,-,-,-,-,-,493,424,-,-,-,-,-,0,"2,14","20,9"
- - -,Seg,Álvaro Martín,"ME (IC), MP (DIC)",11 (26),1.644,-,-,-,-,-,-,610,519,-,-,-,-,-,0,"4,22","19,49"
- - -,Seg,David Concha,ME/MP (DI),4 (22),670,-,-,-,-,-,-,241,204,-,-,-,-,-,0,"3,22","15,99"
- - -,Seg,Bruno Méndez,DF (DC),10 (12),1.383,-,-,-,-,-,-,875,784,-,-,-,-,-,1,"11,06","6,18"
- - -,Seg,Genaro,"MC, ME (C)",39,3.318,-,-,-,-,-,-,1.811,1.614,-,-,-,-,-,0,"14,73","5,29"
- - -,,Óscar Ureña,"ME (D), MP (DIC)",1 (29),648,-,-,-,-,-,-,234,200,-,-,-,-,-,0,"2,5","14,17"
- - -,Ret,Kike Márquez,"ME (C), MP (IC)",39,2.531,-,-,-,-,-,-,901,748,-,-,-,-,-,0,"9,92","19,38"
- - -,,Noah Darvich,ME/MP (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Lucas Sena,DF/CR (D),34 (1),3.084,-,-,-,-,-,-,1.576,1.389,-,-,-,-,-,0,"9,66","15,35"
- - -,,Ignasi Vilarrasa,DF/CR/ME/MP (I),28 (10),2.494,-,-,-,-,-,-,1.123,977,-,-,-,-,-,0,"7,94","20,32"
- - -,,Jony Álamo,"MC, ME (C)",6 (7),582,-,-,-,-,-,-,275,228,-,-,-,-,-,0,"9,43","14,38"
- - -,,Pol Valentín,DF/CR (D),12,808,-,-,-,-,-,-,327,286,-,-,-,-,-,0,"11,81","11,14"
- - -,,Martín Calderón,"MC, ME (C)",1 (7),173,-,-,-,-,-,-,98,77,-,-,-,-,-,0,"8,32","7,8"
- - -,,Javi Alonso,"MC, ME (C)",0 (3),62,-,-,-,-,-,-,35,27,-,-,-,-,-,0,-,-
- - -,,Gerónimo Spina,DF (C),5 (2),466,-,-,-,-,-,-,267,250,-,-,-,-,-,0,"11,01","4,44"
- - -,,Thomas Carrique,DF/CR (D),10 (16),1.371,-,-,-,-,-,-,662,573,-,-,-,-,-,0,"10,31","19,69"
- - -,,Vanderson,"ME (I), MP (DI), DL (C)",33,2.831,-,-,-,-,-,-,914,798,-,-,-,-,-,0,"4,23","16,79"
- - -,,Adilson,ME/MP (DI),38 (1),3.136,-,-,-,-,-,-,1.070,884,-,-,-,-,-,0,"5,42","16,04"
- - -,,Tommi O'Reilly,ME/MP (DC),37 (2),2.727,-,-,-,-,-,-,962,811,-,-,-,-,-,0,"7,06","16,57"
- - -,,Alan Godoy,"MP (I), DL (C)",2 (13),504,-,-,-,-,-,-,121,110,-,-,-,-,-,0,"1,07","18,75"
- - -,,Juan Rodríguez,"DF (C), MC",37 (1),3.181,-,-,-,-,-,-,1.901,1.711,-,-,-,-,-,0,"16,89","3,06"
- - -,Seg,David Mella,ME/MP (DI),23,1.781,-,-,-,-,-,-,575,476,-,-,-,-,-,0,"2,78","15,67"
- - -,,Juanto Ortuño,"MP (C), DL (C)",2 (30),799,-,-,-,-,-,-,203,164,-,-,-,-,-,0,"1,46","18,25"
- - -,Opc,Dani Aquino,"MP (DIC), DL (C)",31 (1),2.260,-,-,-,-,-,-,560,476,-,-,-,-,-,0,"2,11","16,69"
- - -,,Miguel Morro,POR,22 (2),1.961,35,"-1,96",17,16,71%,53,525,371,6,88%,3,0,0%,2,"2,29","9,18"
- - -,,Alberto Flores,POR,0 (1),86,0,"0,71",0,0,100%,3,21,7,1,89%,3,0,-,0,"4,19","11,51"
- - -,,Bryan Fiabema,"MP (DI), DL (C)",24 (4),1.947,-,-,-,-,-,-,653,558,-,-,-,-,-,0,"3,56","25,84"
- - -,,Rubén Díez,ME/MP (DC),25 (1),1.695,-,-,-,-,-,-,576,488,-,-,-,-,-,0,"10,83","15,56"
- - -,,Javi Pérez,"ME/MP (DC), DL (C)",4 (10),576,-,-,-,-,-,-,199,179,-,-,-,-,-,0,"9,06","20,94"
- - -,,Ricard Artero,"MC, ME (C)",2 (13),349,-,-,-,-,-,-,184,176,-,-,-,-,-,0,"7,99","10,83"
- - -,Seg,Loren Zúñiga,"MP (DI), DL (C)",16 (8),1.332,-,-,-,-,-,-,321,272,-,-,-,-,-,0,"1,42","19,86"
- - -,,Ibrahima Dieng,DL (C),35,2.473,-,-,-,-,-,-,639,564,-,-,-,-,-,1,"1,86","18,45"
- - -,,Sergio Cubero,DF/CR/ME/MP (D),9 (9),959,-,-,-,-,-,-,456,385,-,-,-,-,-,0,"6,94","15,02"
- - -,,Héctor Fort,"DF (DIC), CR (D)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Victor Calarge,DF/CR (D),24,2.160,-,-,-,-,-,-,1.080,911,-,-,-,-,-,0,"11,96","13,71"
- - -,,Pablo Bobadilla,DF (C),9 (6),1.186,-,-,-,-,-,-,761,690,-,-,-,-,-,0,"15,25","4,33"
- - -,,Haitam Abaida,"ME (D), MP (DIC), DL (C)",38 (2),2.604,-,-,-,-,-,-,899,765,-,-,-,-,-,0,"3,04","18,77"
- - -,Lib,Josué Dorrio,ME/MP (D),33 (5),2.942,-,-,-,-,-,-,1.110,923,-,-,-,-,-,0,"3,4","18,48"
- - -,Seg,Garri,DF/CR (I),1 (5),244,-,-,-,-,-,-,99,85,-,-,-,-,-,0,"9,59","11,07"
- - -,,Miguel Azeez,"MC, ME/MP (C)",27 (9),2.597,-,-,-,-,-,-,1.328,1.143,-,-,-,-,-,0,"11,26","14,45"
- - -,,Javier Avilés,"ME (D), MP (DI), DL (C)",2 (25),871,-,-,-,-,-,-,305,260,-,-,-,-,-,0,"4,03","19,43"
- - -,,Óscar Rivas,DF (C),6 (17),1.377,-,-,-,-,-,-,861,736,-,-,-,-,-,0,"12,68","6,93"
- - -,,Leandro Antonetti,DL (C),1 (6),136,-,-,-,-,-,-,38,33,-,-,-,-,-,0,0,"27,13"
- - -,Seg,Juampa,ME/MP (I),0 (3),103,-,-,-,-,-,-,58,52,-,-,-,-,-,0,"9,61","6,12"
- - -,Trn,Álex Blesa,ME/MP (C),0 (2),21,-,-,-,-,-,-,8,7,-,-,-,-,-,0,-,-
- - -,,Naim García,MP (D),0 (8),164,-,-,-,-,-,-,69,60,-,-,-,-,-,0,"2,74","14,27"
- - -,,Nikos Michelis,"DF (C), MC",0 (3),29,-,-,-,-,-,-,15,13,-,-,-,-,-,0,-,-
- - -,Seg,Miguel Loureiro,DF/CR (D),13 (21),1.393,-,-,-,-,-,-,604,536,-,-,-,-,-,0,"9,82","14,54"
- - -,Trn,Juanjo Nieto,"DF (DI), CR (D)",0 (7),86,-,-,-,-,-,-,32,27,-,-,-,-,-,0,"5,23","9,42"
- - -,Seg,Tropi,"MC, ME (C)",34,3.031,-,-,-,-,-,-,1.507,1.319,-,-,-,-,-,0,"15,05","13,27"
- - -,Seg,Isi,"MC, ME/MP (C)",19 (1),1.493,-,-,-,-,-,-,773,685,-,-,-,-,-,0,"13,32","10,91"
- - -,Trn,Moisés Delgado,DF/CR (I),13 (23),1.726,-,-,-,-,-,-,905,788,-,-,-,-,-,0,"9,39","16,48"
- - -,,Sabit Abdulai,MC,20 (18),1.765,-,-,-,-,-,-,1.033,910,-,-,-,-,-,0,"11,93","7,04"
- - -,,Youssi Diarra,"MC, ME/MP (C)",22 (14),2.231,-,-,-,-,-,-,1.203,1.078,-,-,-,-,-,0,"14,04","5,81"
- - -,Seg,Javi López-Pinto,ME/MP (IC),33 (5),2.627,-,-,-,-,-,-,1.010,876,-,-,-,-,-,0,"7,09","15,07"
- - -,,Borja,"ME (C), MP (IC)",9 (13),985,-,-,-,-,-,-,369,330,-,-,-,-,-,0,"5,48","15,72"
- - -,Seg,Ismael Gutiérrez,"MC, ME (C)",36 (3),2.880,-,-,-,-,-,-,1.405,1.218,-,-,-,-,-,0,"13,91","9,84"
- - -,Seg,Javi Castro,"DF (IC), CR (I)",9 (5),1.057,-,-,-,-,-,-,595,518,-,-,-,-,-,0,"11,58","11,75"
- - -,,Ale García,MP (DI),32 (3),2.393,-,-,-,-,-,-,843,721,-,-,-,-,-,0,"3,76","16,92"
- - -,Seg,Luis Perea,"DF (C), MC, ME (C)",6 (22),873,-,-,-,-,-,-,472,423,-,-,-,-,-,0,"11,03","8,14"
- - -,Seg,Marcelo Ribeiro,DL (C),9 (26),1.432,-,-,-,-,-,-,361,311,-,-,-,-,-,0,"1,76","20,3"
- - -,Seg,Hugo Vallejo,"CR (I), ME/MP (DI), DL (C)",0 (14),177,-,-,-,-,-,-,75,63,-,-,-,-,-,0,"4,07","11,69"
- - -,,Martí Vilà,DF/CR (I),2 (5),224,-,-,-,-,-,-,106,93,-,-,-,-,-,0,"6,43","14,06"
- - -,,Iván Martínez,POR,37,3.140,34,"14,81",34,17,77%,65,764,457,12,88%,3,0,0%,0,"4,33","6,65"
- - -,Opc,Jon García,DF (C),20 (7),2.171,-,-,-,-,-,-,1.402,1.238,-,-,-,-,-,0,"13,85","3,94"
- - -,,Jon Tena,POR,35,3.102,35,"7,56",12,12,67%,46,713,336,13,86%,2,1,33%,0,"4,29","6,47"
- - -,,Caye Quintana,"MP (C), DL (C)",39,2.985,-,-,-,-,-,-,728,627,-,-,-,-,-,0,"1,84","17,22"
- - -,,Piña,DF (C),12,994,-,-,-,-,-,-,618,536,-,-,-,-,-,0,"19,29","2,54"
- - -,,José Antonio Caro,DF (DC),36,3.217,-,-,-,-,-,-,1.942,1.727,-,-,-,-,-,0,"16,45","3,61"
- - -,,Juanma Bravo,"MC, ME (C)",12 (25),1.482,-,-,-,-,-,-,829,728,-,-,-,-,-,0,"6,62","5,16"
- - -,,Álex Arias,"ME (C), MP (DIC)",34,2.702,-,-,-,-,-,-,1.002,851,-,-,-,-,-,0,"11,72","17,42"
- - -,,Chuca,"ME (C), MP (IC)",3 (31),832,-,-,-,-,-,-,294,257,-,-,-,-,-,0,"7,9","16,98"
- - -,Seg,Masca,DL (C),32 (1),2.803,-,-,-,-,-,-,973,839,-,-,-,-,-,0,"5,72","13,68"
- - -,Seg,Yellu Santiago,"MC, ME/MP (C)",0 (9),193,-,-,-,-,-,-,85,73,-,-,-,-,-,0,"7,93","13,52"
- - -,,Edu Salles,DL (C),35 (1),3.084,-,-,-,-,-,-,825,700,-,-,-,-,-,0,"2,07","18,91"
- - -,,Pablo Gozálbez,"ME/MP (C), DL (C)",12 (11),1.045,-,-,-,-,-,-,391,338,-,-,-,-,-,0,"8,53","21,62"
- - -,Seg,Quentin Braat,POR,6 (1),537,5,"4,8",4,4,78%,10,147,110,2,82%,3,0,0%,0,"4,02","9,22"
- - -,,Sergio Santos,DF (DC),30 (2),2.582,-,-,-,-,-,-,1.298,1.098,-,-,-,-,-,0,"13,42","13,04"
- - -,Opc,Diego González,DF (IC),5 (7),692,-,-,-,-,-,-,437,407,-,-,-,-,-,0,"11,18","5,07"
- - -,Ret,David Morillas,DF/CR (I),3 (1),315,-,-,-,-,-,-,164,148,-,-,-,-,-,0,"9,71","16,29"
- - -,Seg,Cássio,"MC, ME (C)",30,2.499,-,-,-,-,-,-,1.379,1.226,-,-,-,-,-,0,"14,59","6,05"
- - -,Seg,Dani Martín,POR,35,3.122,33,"14,66",29,17,77%,67,883,545,10,86%,3,1,33%,0,"3,17","5,07"
- - -,,Koldo Obieta,DL (C),0 (8),109,-,-,-,-,-,-,26,23,-,-,-,-,-,0,"0,83","18,17"
- - -,Seg,Vicente Esquerdo,ME/MP (C),39,2.480,-,-,-,-,-,-,1.176,1.014,-,-,-,-,-,0,"14,92","12,85"
- - -,,Fèlix Garreta,DF (IC),40 (2),3.495,-,-,-,-,-,-,2.131,1.909,-,-,-,-,-,0,"12,18","4,17"
- - -,Ret,Patricio Guillén,POR,33,2.884,32,"9,02",21,24,74%,44,746,372,10,86%,2,1,50%,0,"3,56","6,55"
- - -,,Darío Hidalgo,"ME (C), MP (DIC)",29,2.323,-,-,-,-,-,-,805,692,-,-,-,-,-,0,"7,67","24,6"
- - -,,Pelayo Suárez,DF (C),31,2.703,-,-,-,-,-,-,1.879,1.727,-,-,-,-,-,0,"17,58","2,9"
- - -,,Marc Cucalón,"MC, ME (C)",33 (2),2.570,-,-,-,-,-,-,1.429,1.277,-,-,-,-,-,0,"14,67","7,81"
- - -,Opc,Manu Farrando,"DF (DC), CR (D)",33 (1),2.893,-,-,-,-,-,-,1.606,1.393,-,-,-,-,-,0,"14,4","8,84"
- - -,,Thiago Ojeda,"ME (I), MP (DI)",2 (24),620,-,-,-,-,-,-,214,192,-,-,-,-,-,0,"3,63","17,56"
- - -,,Javier Akapo,"DF (C), MC",31,2.518,-,-,-,-,-,-,1.520,1.260,-,-,-,-,-,0,"13,98",4
- - -,Juv,Gil Muñoz,MP (I),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Santiago Homenchenko,"MC, ME (IC)",0 (3),37,-,-,-,-,-,-,20,17,-,-,-,-,-,0,-,-
- - -,Trn,Lucas Rosa,DF/CR/ME (D),8 (18),981,-,-,-,-,-,-,381,305,-,-,-,-,-,0,"7,34","12,94"
- - -,,Unai Rementeria,"MC, ME (C)",31,2.699,-,-,-,-,-,-,1.432,1.284,-,-,-,-,-,0,"12,2","5,17"
- - -,Seg,Kwasi Sibo,"DF (C), MC, ME (C)",10 (27),1.565,-,-,-,-,-,-,791,684,-,-,-,-,-,0,"9,78","15,93"
- - -,,William De Camargo,ME/MP (DI),32,2.528,-,-,-,-,-,-,921,782,-,-,-,-,-,0,"6,62","12,42"
- - -,,Diego Aznar,DL (C),10 (2),729,-,-,-,-,-,-,172,158,-,-,-,-,-,0,"1,11","18,4"
- - -,Seg,Jaume Jardí,"ME (D), MP (DI), DL (C)",33,2.628,-,-,-,-,-,-,934,783,-,-,-,-,-,0,"4,28","17,33"
- - -,Seg,Nacho,"ME (D), MP (DC)",0 (1),38,-,-,-,-,-,-,12,11,-,-,-,-,-,0,-,-
- - -,Seg,Luis López,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Luis Alcalde,"ME (C), MP (IC)",36,2.829,-,-,-,-,-,-,1.134,973,-,-,-,-,-,0,"7,44","17,15"
- - -,Seg,Diego Ceballos,DF/CR/ME (D),39 (1),3.413,-,-,-,-,-,-,1.745,1.504,-,-,-,-,-,0,"13,84","12,84"
- - -,,Denilson Mena,DF (C),31,2.581,-,-,-,-,-,-,1.487,1.264,-,-,-,-,-,0,"13,49","4,22"
- - -,,Markel Lozano,"MC, ME (C)",27,2.129,-,-,-,-,-,-,1.200,1.064,-,-,-,-,-,0,"12,72","7,4"
- - -,Ret,Dioni,"MP (IC), DL (C)",6 (30),1.253,-,-,-,-,-,-,292,243,-,-,-,-,-,0,"1,65","17,96"
- - -,,Xemi,ME/MP (C),23,1.895,-,-,-,-,-,-,752,656,-,-,-,-,-,0,"12,73","13,68"
- - -,,Ramón Enríquez,"MC, ME/MP (C)",0 (11),300,-,-,-,-,-,-,112,92,-,-,-,-,-,0,"12,6","15,3"
- - -,,Yaya Diassy,ME (C),29,2.496,-,-,-,-,-,-,1.216,1.071,-,-,-,-,-,0,"12,4","15,04"
- - -,Seg,Franck Fomeyem,"DF (C), MC",34,2.876,-,-,-,-,-,-,1.801,1.634,-,-,-,-,-,0,"16,96","2,91"
- - -,Seg,Manu García,POR,34,2.924,30,"6,5",24,14,74%,51,774,531,10,88%,2,0,0%,1,"4,99","6,03"
- - -,Seg,Diego Percan,"MP (DI), DL (C)",14 (15),1.499,-,-,-,-,-,-,388,337,-,-,-,-,-,0,"3,48","16,33"
- - -,,Edgar Pujol,"DF (IC), MC",26 (9),2.527,-,-,-,-,-,-,1.387,1.249,-,-,-,-,-,0,"14,17","5,41"
- - -,,Iker Bravo,DL (C),3 (7),405,-,-,-,-,-,-,109,92,-,-,-,-,-,0,"0,89","19,33"
- - -,,Dani Rodríguez,"ME (C), MP (DIC)",21 (5),1.592,-,-,-,-,-,-,558,483,-,-,-,-,-,0,"5,2","17,19"
- - -,,Germán Parreño,POR,36,3.189,33,"-1,96",18,20,72%,50,909,620,12,90%,2,0,0%,1,"3,41","10,27"
- - -,,Joan Oriol,DF/CR (I),25,2.120,-,-,-,-,-,-,1.104,970,-,-,-,-,-,0,"13,88","15,37"
- - -,,Jon Madrazo,"ME (I), MP (DIC)",33,2.868,-,-,-,-,-,-,974,812,-,-,-,-,-,0,"4,93","19,14"
- - -,,Miguel San Román,POR,7 (1),708,9,"0,79",6,3,67%,10,180,120,1,90%,2,0,0%,0,"2,92","9,28"
- - -,,David Rodríguez,"DF (DC), CR (D), MC",38,3.314,-,-,-,-,-,-,1.711,1.456,-,-,-,-,-,0,"11,84","16,02"
