,,,,,,,,,,,
Inf,Rec,Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
Seg,- - -,- -,30/6/2024,2.500 € p/m,N/D,N/D,Francisco Tavares,"0 € - 2,5m €",-,-,250m €
Seg,- - -,- -,30/6/2026,8.000 € p/m,N/D,N/D,Álvaro Trigo,"450m € - 1,4M €",-,-,975m €
,- - -,- -,30/6/2025,9.250 € p/m,N/D,N/D,Dolores Muñiz,55m € - 550m €,-,-,575m €
,- - -,- -,30/6/2026,6.750 € p/m,N/D,N/D,Quim Guillén,"130m € - 1,3M €",-,-,750m €
Opc,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,Edu Dieste,0 € - 5m €,-,-,600m €
,- - -,- -,30/6/2025,7.000 € p/m,N/D,N/D,Adam Kubiak,160m € - 500m €,-,-,550m €
,- - -,- -,30/6/2026,14.000 € p/m,N/D,N/D,Aron Ingi Ómarsson,No a la venta,-,-,170m €
,- - -,- -,30/6/2026,8.000 € p/m,N/D,N/D,Javier Llaneza,130m € - 425m €,-,-,375m €
,- - -,- -,30/6/2026,6.750 € p/m,N/D,N/D,Alfredo Ortí,No a la venta,-,-,425m €
,- - -,- -,30/6/2026,13.250 € p/m,N/D,N/D,Ramón Siles,0 € - 60m €,-,-,325m €
,- - -,- -,30/6/2026,9.750 € p/m,N/D,N/D,Pablo Fernández,60m € - 600m €,-,-,800m €
,- - -,- -,30/6/2026,12.750 € p/m,N/D,N/D,Oliwia Kowalczyk,"120m € - 1,2M €",-,-,-
Seg,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Ignacio Tinoco,100m €,-,-,575m €
,- - -,- -,30/6/2026,15.750 € p/m,N/D,N/D,Dolors Acevedo,No a la venta,-,-,160m €
Seg,- - -,- -,30/6/2024,4.700 € p/m,N/D,N/D,Antonio José Albarrán,"160m € - 1,6M €",-,-,775m €
Seg,- - -,- -,30/6/2025,14.250 € p/m,N/D,N/D,Axel Grolleau,22m € - 210m €,-,-,"1,7M €"
,- - -,- -,30/6/2025,11.250 € p/m,N/D,N/D,Santiago Berrocal,"210m € - 2,1M €",-,-,"4,1M €"
,- - -,- -,30/6/2025,11.000 € p/m,N/D,N/D,Marc Montalbán,180m € - 550m €,-,-,450m €
Opc,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,Santiago Berrocal,"0 € - 1,5m €",-,-,800m €
Ret,- - -,- -,30/6/2024,8.750 € p/m,N/D,N/D,Juan Cano,0€,-,-,95m €
Seg,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,Juan Cano,0€,-,-,350m €
Seg,- - -,- -,30/6/2026,4.100 € p/m,N/D,N/D,Juan Antonio Yubero,"475m € - 1,5M €",-,-,1M €
,- - -,- -,30/6/2026,7.000 € p/m,N/D,N/D,Adam Kubiak,10m € - 100m €,-,-,400m €
Seg,- - -,- -,30/6/2024,9.000 € p/m,N/D,N/D,Daniel Rodríguez,12m € - 35m €,-,-,-
,- - -,- -,30/6/2026,7.500 € p/m,N/D,N/D,José Luis Ramos,"550m € - 1,7M €",-,-,700m €
Ret,- - -,- -,30/6/2024,3.300 € p/m,N/D,N/D,Ramón Siles,0€,-,-,21m €
,- - -,- -,30/6/2027,10.500 € p/m,N/D,N/D,José Luis Ramos,200m € - 2M €,-,-,"2,1M €"
,- - -,- -,30/6/2026,8.000 € p/m,N/D,N/D,Daniel Abal,80m € - 800m €,-,-,525m €
,- - -,- -,30/6/2025,4.500 € p/m,N/D,N/D,Julio César Rodríguez,200m € - 2M €,-,-,2M €
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,Nicolás Sosa,200m € - 600m €,-,-,450m €
Opc,- - -,- -,30/6/2024,4.700 € p/m,N/D,N/D,Daniel Rodríguez,0 € - 14m €,-,-,300m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Antonio José Albarrán,0€,-,-,72m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,David Hervás,Sin datos,-,-,-
,- - -,- -,30/6/2028,1.100 € p/m,N/D,N/D,Analía Larrosa,"170m € - 1,7M €",-,-,-
Trn,- - -,- -,30/6/2025,9.000 € p/m,N/D,N/D,José Antonio Corbacho,550m €,-,-,"2,2M €"
,- - -,- -,30/6/2025,5.500 € p/m,N/D,N/D,Daniel Rodríguez,18m € - 180m €,-,-,625m €
Seg,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,José Antonio Corbacho,0 € - 22m €,-,-,700m €
,- - -,- -,30/6/2026,11.250 € p/m,N/D,N/D,Dolors Acevedo,70m € - 700m €,-,-,625m €
,- - -,- -,30/6/2026,8.250 € p/m,N/D,N/D,Antonio Valiente,45m € - 475m €,-,-,"1,1M €"
Seg,- - -,- -,30/6/2026,9.500 € p/m,N/D,N/D,Ignacio Tinoco,65m € - 650m €,-,-,"1,5M €"
Seg,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Marc Montalbán,275m €,-,-,"1,6M €"
Seg,- - -,- -,30/6/2027,10.000 € p/m,N/D,N/D,Pablo Fernández,"500m € - 1,6M €",-,-,800m €
Seg,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,Marcos Ariño,0€,-,-,725m €
Seg,- - -,- -,30/6/2024,5.250 € p/m,N/D,N/D,Quim Guillén,500 € - 5m €,-,-,325m €
,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,José Luis Ramos,100m € - 325m €,-,-,230m €
,- - -,- -,30/6/2025,12.750 € p/m,N/D,N/D,Pablo Fernández,"160m € - 1,6M €",-,-,"1,6M €"
Ret,- - -,- -,30/6/2025,13.750 € p/m,N/D,N/D,Edu Dieste,0 € - 110m €,-,-,1M €
,- - -,- -,30/6/2024,11.750 € p/m,N/D,N/D,Gabri Villar,1m € - 12m €,-,-,850m €
,- - -,- -,30/6/2026,14.500 € p/m,N/D,N/D,Marc Montalbán,"1M € - 2,2M €",-,-,"2,7M €"
,- - -,- -,30/6/2026,8.250 € p/m,N/D,N/D,Abdoulaye Seck,30m € - 300m €,-,-,215m €
Seg,- - -,- -,30/6/2024,8.500 € p/m,N/D,N/D,Marc Montalbán,0 € - 45m €,-,-,-
Seg,- - -,- -,30/6/2024,12.750 € p/m,N/D,N/D,Alfredo Ortí,0 € - 28m €,-,-,750m €
Seg,- - -,- -,30/6/2025,13.500 € p/m,N/D,N/D,David Hervás,"170m € - 1,7M €",-,-,50M €
,- - -,- -,30/6/2027,6.750 € p/m,N/D,N/D,José Luis Ramos,"700m € - 1,5M €",-,-,850m €
,- - -,- -,30/6/2025,4.400 € p/m,N/D,N/D,Antonio José Albarrán,"3,7M € - 7,6M €",-,-,-
,- - -,- -,30/6/2028,55.000 € p/m,N/D,N/D,José Luis Ramos,"5M € - 7,8M €",-,-,20M €
,- - -,- -,30/6/2026,9.500 € p/m,N/D,N/D,-,No a la venta,-,-,400m €
,- - -,- -,30/6/2025,11.250 € p/m,N/D,N/D,Humberto Guijarro,40m € - 400m €,-,-,625m €
,- - -,- -,30/6/2025,19.000 € p/m,N/D,N/D,Daniel Rodríguez,12m € - 130m €,-,-,350m €
,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Daniel Abal,14m € - 140m €,-,-,575m €
,- - -,- -,30/6/2026,9.000 € p/m,N/D,N/D,Javi Barbero,"160m € - 1,6M €",-,-,"1,6M €"
,- - -,- -,30/6/2027,25.500 € p/m,N/D,N/D,Alex Moody,17M € - 21M €,-,-,-
Ret,- - -,- -,30/6/2024,9.000 € p/m,N/D,N/D,Daniel Martín García,0€,-,-,96m €
,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Antonio Vargas,35m € - 350m €,-,-,"1,6M €"
,- - -,- -,30/6/2024,8.000 € p/m,N/D,N/D,Pablo Fernández,0 € - 35m €,-,-,750m €
,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,Ever Santos,0 € - 10m €,-,-,-
,- - -,- -,30/6/2026,7.500 € p/m,N/D,N/D,José Andrés Domínguez,"250m € - 2,5M €",-,-,1M €
,- - -,- -,30/6/2025,8.000 € p/m,N/D,N/D,Xavi Aguirre,14m € - 140m €,-,-,"4,1M €"
,- - -,- -,30/6/2024,9.000 € p/m,N/D,N/D,Javi Barbero,9m € - 28m €,-,-,725m €
,- - -,- -,30/6/2025,8.500 € p/m,N/D,N/D,Ernesto Cabrera,80m € - 800m €,-,-,950m €
Seg,- - -,- -,30/6/2024,9.750 € p/m,N/D,N/D,Antonio José Albarrán,"500m € - 1,5M €",-,-,50M €
,- - -,- -,30/6/2025,4.300 € p/m,N/D,N/D,Antonio Valiente,Sin datos,-,-,50M €
,- - -,- -,30/6/2026,16.000 € p/m,N/D,N/D,Juan Cano,No a la venta,-,-,1M €
,- - -,- -,30/6/2025,11.250 € p/m,N/D,N/D,Quim Guillén,20m € - 210m €,-,-,165m €
,- - -,- -,30/6/2025,3.500 € p/m,N/D,N/D,Ignacio Tinoco,40m € - 400m €,-,-,400m €
,- - -,- -,30/6/2025,8.500 € p/m,N/D,N/D,Iago Menéndez,"500m € - 1,6M €",-,-,"1,4M €"
,- - -,- -,30/6/2025,10.000 € p/m,N/D,N/D,Daniel Martín García,275m € - 850m €,-,-,625m €
,- - -,- -,30/6/2026,23.500 € p/m,N/D,N/D,Humberto Guijarro,35m € - 110m €,-,-,525m €
,- - -,- -,30/6/2026,3.900 € p/m,N/D,N/D,Julián Guillén,"230m € - 2,3M €",-,-,-
Seg,- - -,- -,30/6/2025,9.250 € p/m,N/D,N/D,Alfredo Ortí,95m € - 950m €,-,-,825m €
Pet,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,Nodar Koridze,0€,-,-,450m €
Les,- - -,- -,30/6/2024,8.500 € p/m,N/D,N/D,Daniel Rodríguez,0 € - 35m €,-,-,-
Seg,- - -,- -,30/6/2024,1.900 € p/m,N/D,N/D,Alfredo Ortí,0€,-,-,85m €
,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,Marc Montalbán,"210m € - 2,1M €",-,-,950m €
,- - -,- -,30/6/2025,8.000 € p/m,N/D,N/D,José Andrés Domínguez,90m € - 900m €,-,-,50M €
Opc,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Roy Römer,0€,-,-,-
,- - -,- -,30/6/2027,16.250 € p/m,N/D,N/D,Gabri Villar,"160m € - 1,6M €",-,-,"1,8M €"
,- - -,- -,30/6/2025,10.500 € p/m,N/D,N/D,Javier Llaneza,"120m € - 1,2M €",-,-,850m €
,- - -,- -,30/6/2025,17.500 € p/m,N/D,N/D,Gabri Villar,"110m € - 1,1M €",-,-,"1,2M €"
,- - -,- -,30/6/2025,17.250 € p/m,N/D,N/D,Juan Cano,1m € - 12m €,-,-,195m €
,- - -,- -,30/6/2026,16.000 € p/m,N/D,N/D,Humberto Guijarro,45m € - 475m €,-,-,"1,1M €"
,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Santiago Berrocal,"550m € - 1,7M €",-,-,"1,8M €"
,- - -,- -,30/6/2026,10.250 € p/m,N/D,N/D,Daniel Abal,70m € - 700m €,-,-,575m €
,- - -,- -,30/6/2026,16.000 € p/m,N/D,N/D,Daniel Rodríguez,40m € - 400m €,-,-,875m €
,- - -,- -,30/6/2029,6.250 € p/m,N/D,N/D,José Andrés Domínguez,"300m € - 3,1M €",-,-,20M €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,José Luis Ramos,0€,-,-,65m €
Ced,- - -,- -,30/6/2025,11.250 € p/m,N/D,N/D,Santiago Berrocal,20m € - 190m €,-,-,4M €
,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Daniel Rodríguez,160m € - 500m €,-,-,475m €
,- - -,- -,30/6/2026,2.700 € p/m,N/D,N/D,Juan Antonio Yubero,200m € - 650m €,-,-,425m €
,- - -,- -,30/6/2026,7.750 € p/m,N/D,N/D,Diogo Ferreira,40m € - 425m €,-,-,925m €
,- - -,- -,30/6/2025,8.500 € p/m,N/D,N/D,Daniel Martín García,18m € - 190m €,-,-,600m €
,- - -,- -,30/6/2026,8.500 € p/m,N/D,N/D,Julián Guillén,"2,5M € - 5,2M €",-,-,4M €
,- - -,- -,30/6/2025,5.500 € p/m,N/D,N/D,Gabri Villar,16m € - 170m €,-,-,500m €
Seg,- - -,- -,30/6/2028,10.250 € p/m,N/D,N/D,Juan Antonio Yubero,70m € - 700m €,-,-,"1,5M €"
,- - -,- -,30/6/2024,4.100 € p/m,N/D,N/D,Pablo Fernández,"4,5m € - 14m €",-,-,300m €
,- - -,- -,30/6/2025,13.000 € p/m,N/D,N/D,José Antonio Corbacho,50m € - 500m €,-,-,500m €
Opc,- - -,- -,30/6/2024,4.700 € p/m,N/D,N/D,Javier Llaneza,"4,5m € - 14m €",-,-,325m €
,- - -,- -,30/6/2024,5.750 € p/m,N/D,N/D,Baljit Chothe,0€,-,-,245m €
,- - -,- -,30/6/2026,16.750 € p/m,N/D,N/D,Quim Guillén,18m € - 180m €,-,-,325m €
,- - -,- -,30/6/2026,11.500 € p/m,N/D,N/D,Edu Dieste,No a la venta,-,-,115m €
,- - -,- -,30/6/2026,3.500 € p/m,N/D,N/D,Juan Antonio Yubero,23M € - 29M €,-,-,50M €
Seg,- - -,- -,30/6/2024,4.100 € p/m,N/D,N/D,Antonio Vargas,"110m € - 1,1M €",-,-,"1,1M €"
,- - -,- -,30/6/2027,8.750 € p/m,N/D,N/D,Antonio José Albarrán,"450m € - 4,4M €",-,-,60M €
Seg,- - -,- -,30/6/2027,7.750 € p/m,N/D,N/D,Juan Antonio Yubero,"4,5M € - 5,8M €",-,-,"7,75M €"
,- - -,- -,30/6/2024,7.750 € p/m,N/D,N/D,Julián Guillén,35m € - 325m €,-,-,"3,8M €"
,- - -,- -,30/6/2026,6.250 € p/m,N/D,N/D,José Luis Ramos,30m € - 325m €,-,-,235m €
,- - -,- -,30/6/2026,16.500 € p/m,N/D,N/D,Daniel Martín García,"140m € - 1,4M €",-,-,"1,1M €"
Seg,- - -,- -,30/6/2026,7.750 € p/m,N/D,N/D,Ramón Siles,250m €,-,-,450m €
Seg,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Quim Guillén,10m € - 30m €,-,-,225m €
Seg,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,Antonio Marcén,0 € - 14m €,-,-,500m €
,- - -,- -,30/6/2026,7.500 € p/m,N/D,N/D,Antonio Marcén,50m € - 500m €,-,-,575m €
Seg,- - -,- -,30/6/2024,8.500 € p/m,N/D,N/D,Marcos Ariño,0 € - 30m €,-,-,800m €
Ret,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,Juan Cano,0€,-,-,115m €
,- - -,- -,30/6/2026,45.000 € p/m,N/D,N/D,Santiago Berrocal,100m € - 1M €,-,-,875m €
,- - -,- -,31/12/2025,33.000 € p/m,N/D,N/D,Francisco da Silva Souza,"450m € - 4,4M €",-,-,-
,- - -,- -,30/6/2025,7.250 € p/m,N/D,N/D,Antonio José Albarrán,"180m € - 1,8M €",-,-,"13,5M €"
Seg,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,Ernesto Cabrera,1m € - 4m €,-,-,"1,3M €"
Seg,- - -,- -,30/6/2024,4.500 € p/m,N/D,N/D,Pablo Fernández,"0 € - 1,5m €",-,-,350m €
Fic,- - -,- -,30/6/2024,4.700 € p/m,N/D,N/D,Juan Cano,0€,-,-,110m €
,- - -,- -,30/6/2025,9.000 € p/m,N/D,N/D,Daniel Martín García,"120m € - 1,2M €",-,-,950m €
,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,José Antonio Corbacho,0€,-,-,250m €
,- - -,- -,30/6/2024,10.000 € p/m,N/D,N/D,Daniel Rodríguez,0€,-,-,20M €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Marc Montalbán,0 € - 6m €,-,-,155m €
Ced,- - -,- -,30/6/2027,32.500 € p/m,N/D,N/D,Julio César Rodríguez,"600m € - 6,2M €",-,-,"3,9M €"
,- - -,- -,30/6/2026,15.750 € p/m,N/D,N/D,Alfredo Ortí,No a la venta,-,-,210m €
,- - -,- -,30/6/2025,7.250 € p/m,N/D,N/D,Ernesto Cabrera,"140m € - 1,4M €",-,-,750m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Javier Llaneza,0€,-,-,300m €
Seg,- - -,- -,30/6/2025,1.700 € p/m,N/D,N/D,Antonio Valiente,85m €,-,-,225m €
Seg,- - -,- -,30/6/2024,8.000 € p/m,N/D,N/D,Pablo Fernández,0 € - 40m €,-,-,-
Ced,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,Antonio Vargas,0 € - 35m €,-,-,375m €
,- - -,- -,30/6/2025,4.400 € p/m,N/D,N/D,Javi Barbero,40m € - 425m €,-,-,375m €
Seg,- - -,- -,30/6/2025,10.750 € p/m,N/D,N/D,José Antonio Corbacho,120m €,-,-,1M €
Seg,- - -,- -,30/6/2024,8.500 € p/m,N/D,N/D,Xavi Aguirre,"550m € - 1,7M €",-,-,"1,7M €"
Des,- - -,- -,30/6/2025,4.000 € p/m,N/D,N/D,Antonio Vargas,"1,8M € - 4M €",-,-,-
,- - -,- -,30/6/2026,8.750 € p/m,N/D,N/D,Aina Andreu,30m € - 300m €,-,-,220m €
,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Humberto Guijarro,16m € - 160m €,-,-,600m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Gabri Villar,Sin datos,-,-,-
,- - -,- -,30/6/2024,7.750 € p/m,N/D,N/D,Javier Llaneza,0 € - 22m €,-,-,-
,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,Emanuele De Tommaso,60m € - 600m €,-,-,-
,- - -,- -,30/6/2026,15.000 € p/m,N/D,N/D,Dolores Muñiz,"140m € - 1,4M €",-,-,"1,2M €"
Seg,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Michel Riehl,350m €,-,-,"2,3M €"
,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,Antonio Vargas,50m € - 500m €,-,-,825m €
,- - -,- -,30/6/2026,14.000 € p/m,N/D,N/D,Pablo Fernández,14m € - 150m €,-,-,275m €
,- - -,- -,30/6/2025,15.500 € p/m,N/D,N/D,Edu Dieste,7m € - 70m €,-,-,230m €
,- - -,- -,30/6/2025,9.000 € p/m,N/D,N/D,Nikola Ivančić,30m € - 300m €,-,-,700m €
Seg,- - -,- -,30/6/2024,5.500 € p/m,N/D,N/D,Antonio Vargas,26m € - 275m €,-,-,"3,6M €"
,- - -,- -,30/6/2025,5.250 € p/m,N/D,N/D,Gabri Villar,10m € - 100m €,-,-,350m €
,- - -,- -,30/6/2026,16.500 € p/m,N/D,N/D,Dolores Muñiz,18m € - 170m €,-,-,350m €
Seg,- - -,- -,30/6/2024,7.750 € p/m,N/D,N/D,Xavi Aguirre,10m € - 30m €,-,-,-
,- - -,- -,30/6/2025,29.000 € p/m,N/D,N/D,Dolors Acevedo,100m € - 1M €,-,-,625m €
,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Pablo Fernández,60m € - 600m €,-,-,525m €
,- - -,- -,30/6/2026,8.000 € p/m,N/D,N/D,Pablo Fernández,12m € - 120m €,-,-,350m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Aina Andreu,0€,-,-,68m €
Seg,- - -,- -,30/6/2025,4.100 € p/m,N/D,N/D,Iago Menéndez,35m € - 110m €,-,-,"1,2M €"
,- - -,- -,30/6/2026,20.500 € p/m,N/D,N/D,José Andrés Domínguez,"150m € - 1,5M €",-,-,"1,3M €"
,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,Marc Montalbán,0 € - 9m €,-,-,400m €
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,Marc Montalbán,0 € - 8m €,-,-,145m €
Ced,- - -,- -,30/6/2024,2.700 € p/m,N/D,N/D,José Luis Ramos,1m € - 10m €,-,-,10M €
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,José Andrés Domínguez,0 € - 100m €,-,-,155m €
Seg,- - -,- -,30/6/2024,9.500 € p/m,N/D,N/D,Daniel Abal,20m € - 190m €,-,-,850m €
Trn,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,Gabri Villar,110m €,-,-,350m €
,- - -,- -,30/6/2026,9.500 € p/m,N/D,N/D,Daniel Abal,30m € - 325m €,-,-,240m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Aina Andreu,0 € - 6m €,-,-,-
Opc,- - -,- -,30/6/2024,7.750 € p/m,N/D,N/D,Juan Cano,0 € - 5m €,-,-,500m €
Seg,- - -,- -,30/6/2024,7.250 € p/m,N/D,N/D,Ignacio Tinoco,8m € - 26m €,-,-,650m €
,- - -,- -,30/6/2025,4.500 € p/m,N/D,N/D,Ignacio Tinoco,45m € - 425m €,-,-,275m €
,- - -,- -,30/6/2025,7.250 € p/m,N/D,N/D,Dolores Muñiz,35m € - 350m €,-,-,425m €
Ced,- - -,- -,30/6/2026,4.900 € p/m,N/D,N/D,Leon Whalley,"170m € - 1,7M €",-,-,875m €
Seg,- - -,- -,30/6/2025,6.750 € p/m,N/D,N/D,Alfredo Ortí,24m € - 230m €,-,-,500m €
Les,- - -,- -,30/6/2027,23.000 € p/m,N/D,N/D,José Andrés Domínguez,"5,8M € - 7,2M €",-,-,6M €
,- - -,- -,30/6/2025,4.200 € p/m,N/D,N/D,David Hervás,28m € - 90m €,-,-,125m €
,- - -,- -,30/6/2025,27.000 € p/m,N/D,N/D,Alfredo Ortí,18m € - 190m €,-,-,400m €
Seg,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,José Luis Ramos,0€,-,-,-
Lib,- - -,- -,30/6/2024,3.700 € p/m,N/D,N/D,Daniel Abal,0€,-,-,250m €
,- - -,- -,30/6/2025,27.000 € p/m,N/D,N/D,Antonio Marcén,70m € - 700m €,-,-,575m €
Seg,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Quim Guillén,20m € - 60m €,-,-,215m €
Les,- - -,- -,30/6/2028,6.250 € p/m,N/D,N/D,Julio César Rodríguez,"275m € - 2,8M €",-,-,"1,4M €"
Seg,- - -,- -,30/6/2024,7.750 € p/m,N/D,N/D,Antonio Marcén,1m € - 10m €,-,-,600m €
,- - -,- -,30/6/2025,28.500 € p/m,N/D,N/D,Javier Llaneza,28m € - 275m €,-,-,575m €
Seg,- - -,- -,30/6/2024,6.750 € p/m,N/D,N/D,David Hervás,0 € - 20m €,-,-,550m €
Seg,- - -,- -,30/6/2025,5.750 € p/m,N/D,N/D,Santiago Berrocal,100m € - 1M €,-,-,900m €
,- - -,- -,30/6/2026,12.250 € p/m,N/D,N/D,Javier Llaneza,24m € - 240m €,-,-,925m €
Seg,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,Ignacio Tinoco,"0 € - 2,5m €",-,-,160m €
,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Antonio Vargas,70m € - 700m €,-,-,"1,7M €"
,- - -,- -,30/6/2025,14.000 € p/m,N/D,N/D,Dolors Acevedo,75m € - 750m €,-,-,750m €
,- - -,- -,30/6/2025,31.000 € p/m,N/D,N/D,Pablo Fernández,325m € - 1M €,-,-,600m €
,- - -,- -,30/6/2026,8.000 € p/m,N/D,N/D,Santiago Berrocal,"140m € - 1,4M €",-,-,700m €
,- - -,- -,30/6/2026,9.000 € p/m,N/D,N/D,Gabri Villar,No a la venta,-,-,650m €
Opc,- - -,- -,30/6/2024,4.000 € p/m,N/D,N/D,Daniel Abal,0€,-,-,275m €
,- - -,- -,30/6/2024,8.000 € p/m,N/D,N/D,Pablo Fernández,500 € - 4m €,-,-,525m €
Pet,- - -,- -,30/6/2024,7.500 € p/m,N/D,N/D,David Hervás,0€,-,-,375m €
,- - -,- -,30/6/2026,15.500 € p/m,N/D,N/D,Humberto Guijarro,No a la venta,-,-,275m €
Opc,- - -,- -,30/6/2024,7.250 € p/m,N/D,N/D,Antonio Marcén,2m € - 6m €,-,-,475m €
,- - -,- -,30/6/2025,7.250 € p/m,N/D,N/D,Antonio Marcén,100m € - 1M €,-,-,925m €
Seg,- - -,- -,30/6/2024,8.250 € p/m,N/D,N/D,Dolors Acevedo,1m € - 10m €,-,-,600m €
,- - -,- -,30/6/2025,7.500 € p/m,N/D,N/D,Santiago Berrocal,"130m € - 1,3M €",-,-,"1,2M €"
,- - -,- -,30/6/2025,8.000 € p/m,N/D,N/D,Juan Antonio Yubero,"7M € - 8,4M €",-,-,50M €
Seg,- - -,- -,30/6/2027,10.500 € p/m,N/D,N/D,Marcos Ariño,150m €,-,-,"1,6M €"
Seg,- - -,- -,30/6/2026,11.250 € p/m,N/D,N/D,Julián Guillén,100m € - 1M €,-,-,750m €
,- - -,- -,30/6/2025,8.250 € p/m,N/D,N/D,Javier Llaneza,70m € - 700m €,-,-,550m €
Les,- - -,- -,30/6/2025,1.700 € p/m,N/D,N/D,Antonio José Albarrán,45m €,-,-,625m €
Fic,- - -,- -,30/6/2026,4.800 € p/m,N/D,N/D,José Ortiz,0€,-,-,450m €
,- - -,- -,30/6/2026,23.000 € p/m,N/D,N/D,Daniel Rodríguez,45m € - 450m €,-,-,275m €
Seg,- - -,- -,30/6/2027,7.750 € p/m,N/D,N/D,Santiago Berrocal,"6,4M € - 8M €",-,-,100M €
,- - -,- -,30/6/2026,24.500 € p/m,N/D,N/D,Xavi Aguirre,No a la venta,-,-,525m €
,- - -,- -,30/6/2025,4.300 € p/m,N/D,N/D,Antonio Valiente,"6,8M € - 10,5M €",-,-,50M €
,- - -,- -,30/6/2025,4.600 € p/m,N/D,N/D,Dolors Acevedo,55m € - 550m €,-,-,525m €
,- - -,- -,30/6/2026,12.250 € p/m,N/D,N/D,Marcos Ariño,10m € - 100m €,-,-,300m €
Seg,- - -,- -,30/6/2026,1.800 € p/m,N/D,N/D,José Luis Ramos,"375m € - 9,8M €",-,-,"17,5M €"
Seg,- - -,- -,30/6/2024,6.750 € p/m,N/D,N/D,Gabri Villar,0 € - 26m €,-,-,600m €
,- - -,- -,30/6/2026,15.000 € p/m,N/D,N/D,Baljit Chothe,No a la venta,-,-,145m €
,- - -,- -,30/6/2026,11.000 € p/m,N/D,N/D,Pablo Fernández,"110m € - 1,1M €",-,-,975m €
Ret,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Ramón Siles,0€,-,-,-
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,Julio César Rodríguez,80m € - 800m €,-,-,220m €
,- - -,- -,30/6/2026,8.500 € p/m,N/D,N/D,José Luis Ramos,"275m € - 2,7M €",-,-,"1,5M €"
,- - -,- -,30/6/2027,4.400 € p/m,N/D,N/D,Marcos Ariño,10m € - 110m €,-,-,-
,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,Edu Dieste,"3,5m € - 35m €",-,-,220m €
,- - -,- -,30/6/2026,6.250 € p/m,N/D,N/D,Nikos Meletidis,"120m € - 1,2M €",-,-,800m €
Seg,- - -,- -,30/6/2024,7.250 € p/m,N/D,N/D,Ignacio Tinoco,16m € - 160m €,-,-,"1,2M €"
,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,Antonio Vargas,35m € - 375m €,-,-,850m €
,- - -,- -,30/6/2026,7.500 € p/m,N/D,N/D,Matteo Maistrello,"950m € - 9,6M €",-,-,"12,5M €"
,- - -,- -,30/6/2025,9.500 € p/m,N/D,N/D,Marcin Sobczyk,65m € - 650m €,-,-,875m €
Seg,- - -,- -,30/6/2024,6.750 € p/m,N/D,N/D,Humberto Guijarro,5m € - 16m €,-,-,550m €
