,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Club,Posición,Altura,Peso,Edad,Pierna buena,Personalidad,Conocimientos,Felicidad general,Media,Nac,RM,Estilo
- - -,,David Torres,Valladolid,DF (C),187 cm,77 kg,21,Izquierda,,---,,6.98,ESP,Buena+,Técnico
- - -,,Iván Morante,R. Santander,"MC, ME (C)",181 cm,76 kg,23,Izquierda,,---,,6.98,ESP,Buena+,Físico
- - -,,Ángel Algobia,Levante,"MC, ME (C)",180 cm,78 kg,24,Derecha,,---,,6.81,ESP,Buena+,Físico
- - -,,Juan Carlos Arana,R. Santander,DL (C),182 cm,72 kg,24,Derecha,,---,,6.78,ESP,Buena+,Inteligente
- - -,,Derick Poloni,Eldense,"DF/CR/ME (I), MP (DI)",173 cm,67 kg,30,Solo izquierda,,---,,6.97,BRA,Buena+,Físico
- - -,Fic,Pol Lozano,Las Palmas,"MC, ME (C)",176 cm,68 kg,24,Derecha,,---,,6.76,ESP,Buena+,Inteligente
- - -,Seg,Dani Raba,Leganés,"MP (DC), DL (C)",184 cm,76 kg,28,Izquierda,,---,,6.65,ESP,Buena+,Técnico
- - -,Seg,Carlos Álvarez,Levante,"ME (D), MP (DIC)",168 cm,64 kg,20,Izquierda,,---,,7.13,ESP,Buena+,Técnico
- - -,Seg,Ximo Navarro,Coruña,"DF (DC), CR (D)",178 cm,70 kg,34,Derecha,,---,,07.04,ESP,Buena+,Inteligente
- - -,Seg,Roger Brugué,Levante,"ME (D), MP (DIC), DL (C)",174 cm,68 kg,27,Izquierda,,---,,07.05,ESP,Buena+,Técnico
- - -,,James Igbekeme,Ponferrada,"MC, ME (IC)",170 cm,66 kg,28,Solo izquierda,,---,,6.85,NGA,Buena+,Técnico
- - -,,Alberto Guitián,Leonesa,DF (C),182 cm,73 kg,33,Derecha,,---,,6.88,ESP,Buena+,Inteligente
- - -,,Stanko Jurić,Valladolid,"MC, ME (C)",189 cm,83 kg,27,Derecha,,---,,6.72,CRO,Buena+,Líder
- - -,,Pablo Pérez,R. Majadahonda,"MP (IC), DL (C)",188 cm,83 kg,30,Derecha,,---,,6.85,ESP,Buena+,Líder
- - -,,Ander Martín,Burgos,"DF/CR (I), ME/MP (DI)",177 cm,78 kg,23,Izquierda,,---,,6.80,ESP,Buena+,Líder
- - -,Seg,Álvaro Mantilla,R. Santander,DF (DC),182 cm,71 kg,24,Solo derecha,,---,,6.81,ESP,Buena+,Líder
- - -,Opc,Javier Eraso,Amorebieta,"MC, ME/MP (C)",180 cm,70 kg,34,Derecha,,---,,6.77,ESP,Buena+,Líder
- - -,,Borja Bastón,Oviedo,DL (C),186 cm,83 kg,31,Derecha,,---,,6.76,ESP,Buena+,Técnico
- - -,,Mumo,Burgos,"MC, ME (C)",180 cm,82 kg,29,Derecha,,---,,6.89,ESP,Buena+,Físico
- - -,,Luismi Sánchez,Oviedo,"DF (C), MC, ME (C)",180 cm,73 kg,32,Derecha,,---,,6.86,ESP,Buena+,Físico
- - -,Les,Nacho,Tenerife,DF/CR/ME/MP (I),174 cm,69 kg,35,Solo izquierda,,---,,6.76,ESP,Buena+,Inteligente
- - -,,Óscar Pinchi,Ferrol,"ME (DI), MP (I), DL (C)",171 cm,65 kg,28,Derecha,,---,,6.82,ESP,Buena+,Físico
- - -,Les,Jofré Carreras,Espanyol,ME/MP (DI),175 cm,68 kg,23,Derecha,,---,,6.87,ESP,Buena+,Técnico
- - -,Opc,Nacho Castillo,Teruel,"ME (C), MP (IC)",183 cm,76 kg,23,Derecha,,---,,6.76,ESP,Buena+,Técnico
- - -,,Mario Martín,R. Madrid B,"MC, ME (C)",178 cm,74 kg,20,Derecha,,---,,6.95,ESP,Buena+,Líder
- - -,Seg,Alfredo Ortuño,Cartagena,DL (C),184 cm,77 kg,33,Izquierda,,---,,6.82,ESP,Buena+,Técnico
- - -,,Juanma,Albacete,"MP (DI), DL (C)",166 cm,64 kg,31,Derecha,,---,,6.90,ESP,Buena+,Inteligente
- - -,Les,Rubén Sánchez,Espanyol,DF/CR/ME/MP (D),184 cm,79 kg,23,Derecha,,---,,6.62,ESP,Buena+,Inteligente
- - -,Seg,Lluís,Zaragoza,DF (C),182 cm,79 kg,27,Derecha,,---,,6.76,ESP,Buena+,Líder
- - -,Seg,Sebas Moyano,Oviedo,"ME (DI), MP (DIC)",173 cm,66 kg,27,Solo derecha,,---,,6.94,ESP,Buena+,Creativo
- - -,,Tadeo Allende,Vigo,"MP (DI), DL (C)",185 cm,79 kg,25,Derecha,,---,,6.80,ARG,Buena+,Líder
- - -,,Joan García,Espanyol,POR,181 cm,79 kg,23,Derecha,,---,,6.65,ESP,Buena+,Con autoridad
- - -,Seg,Diego Pampín,F.C. Andorra,DF/CR (I),175 cm,68 kg,24,Izquierda,,---,,6.83,ESP,Buena+,Inteligente
- - -,,Marc Vales,Europa,"DF (C), MC",184 cm,78 kg,34,Derecha,,---,,6.68,AND,Buena+,Líder
- - -,Seg,Lander Olaetxea,Albacete,ME/MP (C),179 cm,75 kg,31,Derecha,,---,,6.78,ESP,Buena+,Técnico
- - -,,Iván Chapela,Eldense,"ME/MP (D), DL (C)",170 cm,70 kg,25,Derecha,,---,,6.94,ESP,Buena+,Técnico
- - -,Seg,Xavi Quintillà,Alcorcón,DF (IC),179 cm,73 kg,27,Solo izquierda,,---,,6.89,ESP,Buena+,Líder
- - -,,Sabin Merino,Ferrol,"ME (I), MP (DI), DL (C)",187 cm,77 kg,32,Derecha,,---,,6.84,ESP,Buena+,Técnico
- - -,Opc,Ager Aketxe,Eibar,"ME (IC), MP (DIC)",174 cm,69 kg,30,Izquierda,,---,,6.89,ESP,Buena,Creativo
- - -,,Cristian Gutiérrez,Eibar,"DF/CR/ME (I), MP (DI)",177 cm,70 kg,23,Izquierda,,---,,6.84,ESP,Buena,Técnico
- - -,,Julio Alonso,Albacete,DF/CR (I),171 cm,62 kg,25,Izquierda,,---,,6.91,ESP,Buena,Técnico
- - -,,Augusto Batalla,Granada,POR,185 cm,86 kg,28,Derecha,,---,,6.57,ARG,Buena,Guardameta
- - -,,Álex Alegría,Badajoz,DL (C),189 cm,82 kg,31,Derecha,,---,,6.97,ESP,Buena,Físico
- - -,Ced,Carlos Romero,Villarreal,DF/CR (I),173 cm,67 kg,22,Izquierda,,---,,7.10,ESP,Buena,Técnico
- - -,,Faitout Maouassa,Granada,ME/MP (I),170 cm,77 kg,25,Izquierda,,---,,6.61,FRA,Buena,Creativo
- - -,,Sergi Samper,Badalona Fut,"MC, ME (C)",181 cm,71 kg,29,Derecha,,---,,7.27,ESP,Buena,Inteligente
- - -,,Miquel Parera,R. Santander,POR,180 cm,76 kg,28,Solo derecha,,---,,6.68,ESP,Buena,Guardameta
- - -,,Davo,Coruña,"ME (DI), MP (DIC), DL (C)",178 cm,71 kg,29,Derecha,,---,,6.99,ESP,Buena,Físico
- - -,Seg,Santi Rublico,A. Madrid,DF/CR/ME (D),176 cm,63 kg,18,Sin datos,,---,,6.20,PHI,Buena,Físico
- - -,Les,Fernando Medrano,Tenerife,DF/CR (I),172 cm,68 kg,24,Solo izquierda,,---,,6.82,ESP,Buena,Líder
- - -,,Álex Petxarromán,F.C. Andorra,"DF (DIC), MC",178 cm,67 kg,27,Derecha,,---,,6.76,ESP,Buena,Técnico
- - -,,Adrià Altimira,Villarreal B,DF/CR/ME/MP (D),173 cm,68 kg,23,Derecha,,---,,6.78,ESP,Buena,Físico
- - -,,Chema,Alcorcón,DF (C),189 cm,80 kg,32,Solo izquierda,,---,,6.74,ESP,Buena,Líder
- - -,,Iker Undabarrena,Leganés,"MC, ME (C)",181 cm,77 kg,29,Derecha,,---,,6.93,ESP,Buena,Técnico
- - -,Trn,Álvaro Lemos,Las Palmas,DF/CR/ME (D),175 cm,72 kg,31,Derecha,,---,,6.37,ESP,Buena,Físico
- - -,Seg,Stefan Simić,Eibar,DF (C),189 cm,79 kg,29,Derecha,,---,,6.63,CZE,Buena,Físico
- - -,,Raúl Moro,Valladolid,MP (DIC),172 cm,65 kg,21,Derecha,,---,,7.10,ESP,Buena,Creativo
- - -,Seg,Joaquín,Huesca,"ME/MP (DI), DL (C)",173 cm,59 kg,25,Derecha,,---,,6.76,ESP,Buena,Creativo
- - -,Opc,Josep Señé,Ferrol,"MC, ME/MP (DIC)",185 cm,71 kg,32,Derecha,,---,,6.77,ESP,Buena,Técnico
- - -,,Pablo Ramón,Mirandés,DF (DC),184 cm,76 kg,22,Derecha,,---,,6.76,ESP,Buena,Técnico
- - -,,Marcos Barbeiro,Pontevedra,"DF/CR/ME (D), MP (DC)",173 cm,58 kg,28,Solo derecha,,---,,6.86,STP,Buena,Técnico
- - -,,Julián Delmás,Ferrol,DF/CR (D),174 cm,63 kg,29,Derecha,,---,,6.82,ESP,Buena,Líder
- - -,,Niko Kata,Cerdanyola,"ME/MP (C), DL (C)",187 cm,78 kg,31,Derecha,,---,,6.79,EQG,Buena,Físico
- - -,,Antonino La Gumina,Mirandés,DL (C),182 cm,72 kg,28,Derecha,,---,,6.78,ITA,Buena,Líder
- - -,,Clément Grenier,R. Santander,"MC, ME (C)",187 cm,79 kg,33,Derecha,,---,,6.60,FRA,Buena,Creativo
- - -,Seg,Omar El Hilali,Espanyol,"DF (DI), CR (D)",183 cm,79 kg,20,Derecha,,---,,6.86,ESP,Buena,Físico
- - -,,Mario Soriano,Eibar,ME/MP (DIC),163 cm,56 kg,22,Derecha,,---,,6.92,ESP,Buena,Técnico
- - -,,Víctor García,Alcorcón,DF/CR/ME/MP (D),177 cm,70 kg,27,Solo derecha,,---,,6.88,ESP,Buena,Físico
- - -,,Germán,R. Santander,DF (C),188 cm,81 kg,37,Solo derecha,,---,,6.85,ESP,Buena,Inteligente
- - -,,Nacho Méndez,S. Gijón,ME/MP (C),178 cm,77 kg,26,Izquierda,,---,,6.65,ESP,Buena,Técnico
- - -,Ret,Salva Sevilla,Coruña,ME/MP (DC),178 cm,70 kg,40,Derecha,,---,,6.91,ESP,Buena,Creativo
- - -,,Raúl Navas,Huelva,DF (C),185 cm,81 kg,36,Derecha,,---,,6.86,ESP,Buena,Líder
- - -,,Christos Albanis,F.C. Andorra,"ME (I), MP (DI)",184 cm,80 kg,29,Derecha,,---,,6.63,GRE,Buena,Técnico
- - -,,Roko Baturina,R. Santander,DL (C),187 cm,82 kg,24,Izquierda,,---,,6.80,CRO,Buena,Físico
- - -,,Bernabé,Albacete,POR,189 cm,76 kg,31,Solo derecha,,---,,6.67,ESP,Buena,Guardameta
- - -,Seg,Tomeu Nadal,Tenerife,POR,187 cm,82 kg,35,Derecha,,---,,7.13,ESP,Buena,Guardameta
- - -,,Yac Diori,Algeciras,DF (DC),180 cm,79 kg,26,Derecha,Equilibrada,---,,6.65,NIG,Buena,Inteligente
- - -,,Noel López,R. Madrid,"MP (DI), DL (C)",182 cm,72 kg,21,Derecha,,---,,7.00,ESP,Buena,Técnico
- - -,Seg,Alpha Dionkou,Granada,"DF (DC), CR (D)",183 cm,75 kg,22,Derecha,,---,,-,SEN,Buena,Físico
- - -,Seg,Iván Calero,Cartagena,"DF/CR (D), ME/MP (DI)",174 cm,70 kg,29,Derecha,,---,,6.86,ESP,Buena,Técnico
- - -,Int,Diyaeddine Abzi,Leganés,DF/CR (I),183 cm,75 kg,25,Izquierda,,---,,6.65,CAN,Buena,Físico
- - -,Ret,Jozabed,Lugo,ME/MP (C),180 cm,70 kg,33,Derecha,,---,,07.06,ESP,Buena,Técnico
- - -,,Adrián Lapeña,Córdoba,DF (C),182 cm,70 kg,28,Derecha,,---,,6.97,ESP,Buena,Físico
- - -,,Álex Bermejo,Burgos,MP (DIC),183 cm,70 kg,25,Derecha,,---,,6.76,ESP,Buena,Técnico
- - -,,Akim Zedadka,Zaragoza,"DF (DI), CR/ME (D)",173 cm,72 kg,29,Derecha,,---,,6.92,ALG,Buena,Técnico
- - -,,Jonathan Gómez,Mirandés,DF (DI),178 cm,71 kg,20,Izquierda,,---,,6.82,USA,Buena,Físico
- - -,,Nico Paz,R. Madrid B,ME/MP (DI),186 cm,83 kg,19,Izquierda,,---,,6.96,ARG,Buena,Técnico
- - -,,Ivan Durdov,Mirandés,DL (C),192 cm,81 kg,23,Izquierda,,---,,6.56,CRO,Buena,Físico
- - -,,Roger Riera,Real Irún,"DF (DC), MC",186 cm,75 kg,29,Derecha,,---,,6.86,ESP,Buena,Líder
- - -,Ret,Jonathan Biabiany,San Fernando,ME/MP (D),177 cm,72 kg,36,Solo derecha,,---,,07.02,FRA,Buena,Técnico
- - -,,Víctor Narro,Lugo,"MP (DI), DL (C)",184 cm,82 kg,24,Solo izquierda,,---,,07.01,ESP,Buena,Inteligente
- - -,,Víctor Campuzano,S. Gijón,"MP (DC), DL (C)",174 cm,72 kg,27,Izquierda,,---,,6.64,ESP,Buena,Técnico
- - -,,Agus Medina,Albacete,"MC, ME (C)",176 cm,71 kg,29,Derecha,,---,,6.74,ESP,Buena,Físico
- - -,,Darío Poveda,Cartagena,DL (C),187 cm,74 kg,27,Derecha,,---,,6.78,ESP,Buena,Físico
- - -,Seg,Juan Antonio Ros,Albacete,"DF (C), MC, ME (C)",188 cm,83 kg,28,Derecha,,---,,6.77,ESP,Buena,Inteligente
- - -,,Joaquín Panichelli,Alavés B,"MP (C), DL (C)",187 cm,81 kg,21,Derecha,,---,,07.01,ARG,Buena,Técnico
- - -,,Alejandro Sotillos,Fuenlabrada,DF (DC),178 cm,73 kg,26,Derecha,,---,,6.99,ESP,Buena,Técnico
- - -,,Saturday Erimuya,Ceuta,DF (C),190 cm,87 kg,26,Solo derecha,,---,,6.69,NGA,Buena,Físico
- - -,,Arnau Ortiz,Cartagena,MP (DIC),175 cm,68 kg,22,Derecha,,---,,6.95,ESP,Buena,Creativo
- - -,,Jaume Grau,Zaragoza,"MC, ME (C)",184 cm,70 kg,27,Izquierda,,---,,6.61,ESP,Buena,Técnico
- - -,,Saúl,R. Santander,DF/CR (I),183 cm,71 kg,29,Izquierda,,---,,6.84,ESP,Buena,Físico
- - -,,Manu Nieto,Elche,"MP (D), DL (C)",183 cm,72 kg,26,Derecha,,---,,6.79,ESP,Buena,Físico
- - -,,Adrián Ortolà,Sabadell,POR,187 cm,75 kg,30,Izquierda,,---,,6.73,ESP,Buena,Con autoridad
- - -,Ced,Carlo Adriano,Villarreal B,"ME/MP (C), DL (C)",181 cm,76 kg,23,Derecha,,---,,6.72,ESP,Buena,Técnico
- - -,,José Ángel,Coruña,"MC, ME (C)",182 cm,75 kg,32,Izquierda,,---,,6.90,ESP,Buena,Líder
- - -,Ced,Jeremy de León,R. Madrid B,MP (DI),173 cm,63 kg,20,Izquierda,Equilibrada,---,,6.79,PUR,Buena,Técnico
- - -,Seg,Luis Muñoz,Cartagena,"DF (C), MC, ME (C)",181 cm,76 kg,27,Derecha,,---,,6.86,ESP,Buena,Líder
- - -,,Elady,Huesca,"MP (DIC), DL (C)",178 cm,75 kg,33,Derecha,,---,,6.81,ESP,Buena,Creativo
- - -,Ofer,Rubén Bover,F.C. Andorra,"ME (DC), MP (DIC)",170 cm,65 kg,31,Izquierda,,---,,6.81,ESP,Buena,Técnico
- - -,,Juan Pérez,Huesca,POR,191 cm,82 kg,27,Derecha,,---,,6.77,ESP,Buena,Guardameta
- - -,Seg,Sergi Maestre,Sabadell,"MC, ME (C)",187 cm,76 kg,33,Izquierda,,---,,6.92,ESP,Buena,Inteligente
- - -,Seg,Iker Losada,Ferrol,"ME/MP (C), DL (C)",175 cm,70 kg,22,Solo derecha,,---,,6.74,ESP,Buena,Inteligente
- - -,Ret,Pedro Alcalá,Cartagena,DF (C),196 cm,84 kg,35,Derecha,,---,,6.86,ESP,Buena,Inteligente
- - -,,Javi Jiménez,Ibiza,DF/CR/ME (I),170 cm,70 kg,28,Izquierda,,---,,07.02,ESP,Buena,Técnico
- - -,Trn,Grego Sierra,Burgos,"DF (C), MC",186 cm,74 kg,31,Izquierda,,---,,6.80,ESP,Buena,Inteligente
- - -,Trn,Viti Rozada,Oviedo,MP (DI),180 cm,75 kg,26,Solo derecha,,---,,6.84,ESP,Buena,Físico
- - -,,Cedric,Ibiza,"MP (I), DL (C)",181 cm,74 kg,29,Izquierda,,---,,6.76,NGA,Buena,Técnico
- - -,Ret,Álex López,Ferrol,"MC, ME (C)",177 cm,71 kg,36,Derecha,,---,,6.65,ESP,Buena,Técnico
- - -,Seg,Carlos Isaac,Albacete,"DF (DC), CR (D)",184 cm,74 kg,26,Derecha,,---,,6.98,ESP,Buena,Físico
- - -,,Raúl Lizoáin,Cartagena,POR,188 cm,80 kg,33,Izquierda,,---,,6.71,ESP,Buena,Con autoridad
- - -,,Diegui,Albacete,DF (D),175 cm,70 kg,30,Derecha,,---,,6.64,ISL,Buena,Físico
- - -,,Gianfranco Gazzaniga,Ferrol,POR,184 cm,82 kg,30,Derecha,,---,,7.40,ARG,Buena,Distribuidor
- - -,,Mauro dos Santos,Avilés,DF (C),188 cm,74 kg,34,Derecha,,---,,6.79,ARG,Buena,Líder
- - -,Ret,Alberto Escassi,Ibiza,"DF (C), MC, ME (C)",185 cm,79 kg,35,Derecha,,---,,6.69,ESP,Buena,Líder
- - -,Seg,Emmanuel Addai,Alcorcón,ME/MP (DI),170 cm,61 kg,22,Derecha,,---,,6.78,GHA,Buena,Técnico
- - -,,Alain Oyarzun,Real Irún,"ME (I), MP (IC)",182 cm,77 kg,30,Izquierda,,---,,7.11,ESP,Buena,Creativo
- - -,,Carlos Julio Martínez,Numantia,"DF (DI), CR/MP (D)",170 cm,72 kg,30,Derecha,,---,,6.71,DOM,Buena,Técnico
- - -,,Ilyas Chaira,Mirandés,"MP (DIC), DL (C)",181 cm,71 kg,23,Derecha,,---,,6.68,MAR,Buena,Técnico
- - -,Ced,Álex Forés,Villarreal B,DL (C),180 cm,67 kg,23,Derecha,,---,,6.74,ESP,Buena,Físico
- - -,Seg,Dani Escriche,Albacete,"MP (DIC), DL (C)",178 cm,75 kg,26,Derecha,,---,,6.85,ESP,Buena,Técnico
- - -,Seg,Nico Ratti,F.C. Andorra,POR,179 cm,72 kg,30,Derecha,,---,,6.76,ARG,Buena,Guardameta
- - -,,Jeremy Blasco,Huesca,DF (C),185 cm,79 kg,25,Derecha,,---,,6.81,FRA,Buena,Físico
- - -,,David Rodríguez,A. Baleares,DL (C),178 cm,71 kg,38,Derecha,,---,,6.80,ESP,Buena,Inteligente
- - -,,Marc Andre Schmerböck,Logroñés,"ME (I), MP (DIC), DL (C)",178 cm,73 kg,30,Izquierda,,---,,6.40,AUT,Buena,Inteligente
- - -,Int,Theo Corbeanu,Granada,"MP (DI), DL (C)",190 cm,68 kg,22,Izquierda,,---,,6.60,CAN,Buena,Técnico
- - -,Seg,Edu Espiau,Burgos,"MP (DI), DL (C)",185 cm,78 kg,29,Derecha,,---,,6.80,ESP,Buena,Físico
- - -,,Enrique Clemente,Ferrol,DF (C),183 cm,79 kg,25,Solo izquierda,,---,,6.91,ESP,Buena,Técnico
- - -,Les,Diego Alende,F.C. Andorra,"DF (DC), MC",183 cm,81 kg,26,Derecha,,---,,6.73,ESP,Buena,Técnico
- - -,,Dorian Jr.,A. Madrid B,DL (C),187 cm,83 kg,23,Derecha,,---,,6.77,EQG,Buena,Inteligente
- - -,,Raúl Navarro,Burgos,"DF (DIC), CR (D), MC",170 cm,61 kg,30,Derecha,,---,,6.77,ESP,Buena,Técnico
- - -,Seg,Mario De Luis,R. Madrid B,POR,185 cm,75 kg,22,Derecha,,---,,7.11,ESP,Buena,Guardameta
- - -,Ret,Aitor Sanz,Tenerife,"MC, ME (C)",181 cm,70 kg,39,Derecha,,---,,6.84,ESP,Buena,Líder
- - -,,Álex Sancris,Burgos,"ME (DI), MP (DIC)",181 cm,75 kg,27,Derecha,,---,,6.72,ESP,Buena,Técnico
- - -,,Miguel Atienza,Burgos,"MC, ME (C)",186 cm,82 kg,25,Derecha,,---,,6.87,ESP,Buena,Físico
- - -,,Antonio Pacheco,Albacete,"MC, ME (C)",184 cm,78 kg,22,Derecha,,---,,6.61,ESP,Buena,Inteligente
- - -,,Mourad,Elche,DL (C),190 cm,86 kg,26,Derecha,,---,,07.04,MAR,Buena,Físico
- - -,,Patrick Sequeira,Elche,POR,190 cm,70 kg,25,Solo derecha,,---,,6.70,CRC,Buena,Guardameta
- - -,Seg,Juan Carlos,Cartagena,"ME (C), MP (DC)",183 cm,72 kg,33,Derecha,,---,,6.72,ESP,Buena,Creativo
- - -,,Jesús Ruiz,Alcorcón,POR,180 cm,79 kg,27,Derecha,,---,,6.82,ESP,Buena,Distribuidor
- - -,,Jacobo,Alcorcón,ME/MP (DI),179 cm,66 kg,27,Derecha,,---,,6.93,ESP,Buena,Creativo
- - -,,Lautaro De León,Mirandés,DL (C),185 cm,80 kg,23,Derecha,,---,,6.76,URU,Buena,Físico
- - -,Seg,Jaime Sánchez,Coruña,DF (C),184 cm,76 kg,29,Derecha,,---,,6.70,ESP,Buena,Inteligente
- - -,,Iván Rodríguez,Córdoba,DF/CR (D),180 cm,70 kg,28,Solo derecha,,---,,6.79,ESP,Buena,Líder
- - -,,Álex Balboa,Huesca,"ME (DC), MP (D)",181 cm,75 kg,23,Derecha,,---,,-,EQG,Buena,Creativo
- - -,,Rodri,Ceuta,"MP (C), DL (C)",175 cm,74 kg,34,Derecha,,---,,6.67,ESP,Buena,Inteligente
- - -,Trn,Loïc Badiashile,Burgos,POR,187 cm,85 kg,26,Solo derecha,,---,,7.30,COD,Buena,Guardameta
- - -,Seg,Dani Fernández,R. Santander,DF/CR (D),176 cm,70 kg,27,Derecha,,---,,6.67,ESP,Buena,Físico
- - -,,Luca Sangalli,Málaga,"MC, ME/MP (C)",167 cm,62 kg,29,Derecha,,---,,07.03,ESP,Buena,Líder
- - -,Ced,Dani Tasende,Villarreal B,DF/CR (I),185 cm,77 kg,23,Izquierda,,---,,6.71,ESP,Buena,Inteligente
- - -,,Edu Campabadal,A. Baleares,"DF (DC), CR (D)",176 cm,76 kg,31,Solo derecha,,---,,6.81,ESP,Buena,Físico
- - -,,Cristo Romero,Intercity,DF/CR/ME/MP (I),173 cm,62 kg,24,Izquierda,,---,,6.86,ESP,Buena,Técnico
- - -,,Abraham Del Moral,Villarreal B,DF (C),184 cm,79 kg,22,Derecha,,---,,6.75,ESP,Buena,Técnico
- - -,Seg,Juanjo Narváez,Cartagena,"MP (DIC), DL (C)",180 cm,80 kg,29,Derecha,,---,,6.68,COL,Buena,Físico
- - -,,Ramón Juan,Mirandés,POR,179 cm,79 kg,24,Derecha,,---,,6.73,ESP,Buena,Guardameta
- - -,Seg,Brais Martínez,Ferrol,DF (IC),175 cm,70 kg,22,Solo izquierda,,---,,6.81,ESP,Buena,Inteligente
- - -,,Antoñín,Lugo,"MP (DI), DL (C)",182 cm,71 kg,24,Derecha,,---,,6.92,ESP,Buena,Físico
- - -,Les,Jorge Pombo,F.C. Andorra,ME/MP (C),177 cm,76 kg,30,Derecha,,---,,-,ESP,Buena,Creativo
- - -,Seg,Uriel Jové,Torrent,"DF (DC), MC",189 cm,75 kg,24,Derecha,,---,,6.90,ARG,Buena,Técnico
- - -,,Armando Shashoua,A. Baleares,ME/MP (C),178 cm,71 kg,23,Derecha,,---,,6.83,ENG,Buena,Técnico
- - -,,Diego Villares,Coruña,"MC, ME (C)",186 cm,75 kg,28,Derecha,,---,,7.15,ESP,Buena,Físico
- - -,,Borja Garcés,Elche,DL (C),183 cm,75 kg,24,Derecha,,---,,6.75,ESP,Buena,Físico
- - -,Ret,Sergi Enrich,Zaragoza,"MP (C), DL (C)",181 cm,77 kg,34,Solo derecha,,---,,6.68,ESP,Buena,Inteligente
- - -,,Álvaro Bastida,Sanluqueño,"MC, ME (C)",170 cm,70 kg,20,Derecha,,---,,6.82,ESP,Buena,Inteligente
- - -,Seg,Andy,Cartagena,"MC, ME (C)",185 cm,78 kg,34,Izquierda,,---,,6.82,ESP,Buena,Técnico
- - -,Seg,Ryan Edwards,Amorebieta,ME/MP (C),170 cm,73 kg,30,Derecha,,---,,6.66,SGP,Buena,Físico
- - -,,Quentin Lecoeuche,Zaragoza,DF/CR/ME (I),174 cm,68 kg,30,Solo izquierda,,---,,6.68,FRA,Buena,Físico
- - -,,Cristian Salvador,Elche,"MC, ME (C)",183 cm,79 kg,29,Derecha,,---,,6.65,ESP,Buena,Físico
- - -,,Näis Djouahra,Leganés,"ME (I), MP (IC)",172 cm,67 kg,24,Derecha,,---,,6.92,FRA,Buena,Físico
- - -,Seg,Pol Fornell,Sabadell,DF (IC),187 cm,81 kg,19,Izquierda,,---,,6.70,ESP,Buena,Físico
- - -,Seg,Lucas Cañizares,R. Madrid B,POR,188 cm,83 kg,22,Derecha,,---,,6.98,ESP,Buena,Con autoridad
- - -,Seg,Hugo Sotelo,Vigo,"MC, ME (DC)",180 cm,75 kg,20,Solo derecha,,---,,6.64,ESP,Buena,Técnico
- - -,,Jhegson Méndez,Elche,"MC, ME/MP (C)",175 cm,70 kg,27,Derecha,,---,,07.04,ECU,Buena,Físico
- - -,,Aurélien Scheidler,F.C. Andorra,DL (C),192 cm,90 kg,26,Solo derecha,,---,,6.78,FRA,Buena,Físico
- - -,Ret,Cristóbal,Fuenlabrada,"MC, ME/MP (C)",181 cm,76 kg,40,Derecha,,---,,07.02,ESP,Buena,Creativo
- - -,,Mateo Joseph,Leonesa,DL (C),180 cm,73 kg,20,Derecha,,---,,6.86,ESP,Buena,Físico
- - -,,Pibe,Arenteiro,"ME (I), MP (IC)",177 cm,68 kg,28,Izquierda,,---,,6.79,ARG,Buena,Técnico
- - -,Seg,Antonio Moyano,Sabadell,"MC, ME/MP (C)",178 cm,66 kg,23,Derecha,,---,,6.93,ESP,Buena,Técnico
- - -,,Julen Lobete,F.C. Andorra,"MP (DI), DL (C)",178 cm,71 kg,23,Derecha,,---,,6.81,ESP,Buena,Inteligente
- - -,,Eugeni,Ibiza,"MC, ME/MP (C)",182 cm,73 kg,29,Derecha,,---,,6.66,ESP,Buena,Creativo
- - -,,Johan Guzmán,Formentera,POR,180 cm,71 kg,26,Izquierda,,---,,6.91,DOM,Buena,Con autoridad
- - -,Seg,Baptiste Reynet,Ibiza,POR,185 cm,87 kg,33,Solo derecha,,---,,6.63,FRA,Buena,Distribuidor
- - -,,Alejandro Cantero,Levante,"ME/MP (DI), DL (C)",184 cm,72 kg,24,Derecha,,---,,6.97,ESP,Buena,Físico
- - -,Seg,Iván Gil,F.C. Andorra,ME/MP (IC),168 cm,61 kg,23,Derecha,,---,,6.83,ESP,Buena,Técnico
- - -,,Álex Martín,Ferrol,DF (C),183 cm,78 kg,26,Derecha,,---,,6.94,ESP,Buena,Físico
- - -,Opc,Josiel Nuñez,Huelva,ME (C),183 cm,75 kg,31,Derecha,,---,,6.71,PAN,Buena,Líder
- - -,,Sergio Aguza,Lugo,"MC, ME (C)",176 cm,71 kg,31,Derecha,,---,,7.12,ESP,Buena,Creativo
- - -,,Beka Kavtaradze,Melilla,DL (C),185 cm,80 kg,25,Solo derecha,,---,,6.74,GEO,Buena,Inteligente
- - -,,Stanis Idumbo Muzambo,Sevilla,"MC, ME (C), MP (IC)",171 cm,65 kg,18,Derecha,,---,,-,BEL,Buena,Técnico
- - -,Seg,Álvaro Carrillo,R. Madrid,DF (DC),182 cm,71 kg,22,Solo derecha,,---,,6.47,ESP,Buena,Físico
- - -,,Isma Ruiz,Córdoba,"MC, ME (C)",180 cm,69 kg,23,Derecha,,---,,6.70,ESP,Buena,Inteligente
- - -,,Nikolay Obolskiy,Ibiza,"MP (C), DL (C)",186 cm,82 kg,27,Izquierda,,---,,6.77,RUS,Buena,Físico
