,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,FC,FR,Ama,Roj.,Rob,Pos Gan/90,Pos Perd/90,Disparos,TaP,Disparos fuera área/90,Gol,Goles fuera del área,xG,xG- SP,Cab Int,Cen.In,Cab,Cen.Com,Cen I-Ab,Cen C-Ab,Fdj,GlEq
- - -,Seg,Yan Eteki,"MC, ME (C)",37,3.171,1.793,1.630,159,26,5,"5,35",10,29,354,83,"450,7 km","11,95",50,28,5,1,49,"13,74","6,47",14,1,"0,06",0,0,"1,11","1,11",162,8,84,3,8,3,1,33
- - -,Seg,Juan Miranda,DF/CR (I),8 (3),552,357,311,49,20,0,"0,69",0,14,51,19,"72,3 km","14,18",13,16,1,3,15,"10,43","14,84",1,0,0,0,0,"0,02","0,02",28,37,17,6,12,1,0,5
- - -,Seg,Adrián Embarba,"ME (DI), MP (DIC)",18 (18),1.636,656,550,55,29,2,"2,33",4,42,255,70,"225,9 km","13,31",12,26,2,0,23,"3,74","17,33",52,16,"0,94",4,0,"5,15","5,15",72,64,9,7,64,7,5,15
- - -,,Dion Lopy,"MC, ME (C)",18 (8),1.713,964,857,89,17,2,"2,21",5,13,184,47,"230,6 km","10,82",13,13,0,0,41,"8,09","6,57",6,1,"0,11",0,0,"0,82","0,82",59,7,28,1,7,1,1,20
- - -,Seg,Hugo Guillamón,"DF (C), MC, ME (C)",31 (5),2.581,1.559,1.408,124,21,4,"1,94",7,15,274,69,"360,9 km","11,68",43,20,7,0,56,"13,29","5,65",10,3,"0,14",0,0,"0,91","0,91",115,5,59,1,5,1,1,41
- - -,Trn,Oscar Trejo,ME/MP (C),0 (2),49,23,20,3,1,0,0,0,0,6,2,"8,2 km",-,0,1,0,0,0,-,-,0,-,-,0,0,0,0,1,0,0,0,0,0,1,0
- - -,,Íñigo Lekue,"DF/CR (DI), ME/MP (D)",12 (8),1.130,627,553,84,12,2,"2,7",2,20,108,25,"159,2 km","15,29",11,9,3,0,22,"9,48","13,38",3,1,"0,08",0,1,"0,24","0,24",64,31,42,3,31,3,0,17
- - -,,Juanmi,"MP (IC), DL (C)",24 (10),2.015,693,595,37,21,1,"1,63",1,30,241,59,"269,4 km","11,17",37,45,2,0,23,"3,75","18,45",60,27,"0,76",5,2,"7,65","7,65",134,47,33,7,47,7,12,18
- - -,,Mohammed Bouldini,DL (C),23 (9),2.027,513,435,21,16,1,"1,86",1,30,163,42,"267,7 km","7,06",34,33,1,0,18,"2,18","16,92",110,50,"1,07",17,1,"13,11","13,11",241,15,110,5,15,5,14,41
- - -,,Gonzalo Escalante,"MC, ME (C)",32,2.489,1.495,1.324,140,23,4,"5,49",4,18,268,76,"364,7 km","12,58",55,22,4,1,48,"13,02","6,73",14,5,"0,14",0,0,"2,45","2,45",89,12,46,0,12,0,2,29
- - -,Fic,José Ángel Carmona,"DF (DC), CR (D)",36 (1),3.131,1.663,1.447,193,36,1,"1,22",4,44,318,81,"450,8 km","16,27",53,31,8,0,81,"12,71","14,49",14,2,"0,14",1,2,"1,95","1,95",150,54,98,11,54,11,3,50
- - -,,Julen Agirrezabala,POR,6 (2),685,192,134,0,0,0,0,0,0,0,0,"46,5 km",0,0,2,0,0,0,"3,02","6,31",0,-,-,0,-,0,0,-,-,-,-,-,-,0,7
- - -,,Aleksandar Sedlar,"DF (DC), CR (D)",6 (4),598,325,286,32,2,0,"0,44",2,0,22,5,"70,9 km","4,36",4,0,2,0,11,"9,78","4,36",1,1,0,0,0,"0,09","0,09",37,2,21,0,2,0,0,7
- - -,Seg,Edgar,"DF (C), MC",30,2.275,1.391,1.269,110,22,4,"5,3",3,11,219,64,"310,3 km","10,92",31,23,4,0,47,"12,86","7,79",5,0,"0,08",0,0,"0,4","0,4",112,11,71,1,11,1,1,29
- - -,Les,Emilio Nsué,"DF/CR/ME/MP (D), DL (C)",17 (3),1.579,580,509,37,14,0,"0,82",1,32,144,28,"215,3 km","11,51",14,41,1,0,42,"5,02","18,58",22,11,"0,46",4,1,"1,98","1,98",119,36,31,6,36,6,2,17
- - -,Seg,Pablo Barrios,"MC, ME (C)",3 (23),685,347,318,35,11,0,"2,41",4,6,86,23,"94,3 km","10,38",6,2,1,0,11,"9,85","16,55",5,1,"0,26",0,0,"0,41","0,41",22,2,7,0,2,0,1,5
- - -,,Iván Romero,"MP (DI), DL (C)",40,2.761,675,572,19,20,5,"5,81",9,40,199,61,"358,2 km","6,39",32,75,2,0,30,"2,58","13,85",100,61,"0,78",20,2,"12,15","12,15",236,20,44,1,20,1,21,52
- - -,,Antonio Blanco,"MC, ME (C)",41,3.054,1.501,1.305,103,36,2,"4,61",7,28,390,101,"416,6 km","10,9",37,20,3,0,56,"10,2","14,85",17,8,"0,12",1,0,"1,47","1,47",158,45,80,5,45,5,3,33
- - -,,Carlos Clerc,DF/CR (I),35,3.100,1.780,1.520,214,35,3,"4,75",7,55,313,100,"416,2 km","14,72",31,45,4,0,79,"14,14","13,99",2,0,0,0,0,"0,31","0,31",159,75,101,12,75,12,3,52
- - -,Int,Luís Maximiano,POR,23 (1),2.043,663,515,0,0,0,0,0,0,0,0,"146,4 km",0,1,10,1,0,0,"2,95","7,93",0,-,-,0,-,0,0,-,-,-,-,-,-,0,24
- - -,Seg,Abdul Mumin,DF (C),30 (1),2.527,1.675,1.548,130,6,3,"0,55",4,9,98,39,"323,9 km","5,2",24,15,7,0,45,13,"3,99",10,2,"0,14",1,0,"0,96","0,96",196,2,120,2,2,2,0,26
- - -,,Mickaël Malsa,"MC, ME (C)",11 (10),1.061,624,555,50,13,0,"2,83",2,6,117,36,"155,5 km","12,81",17,7,3,0,23,"12,05","5,26",12,2,"0,51",1,0,"1,89","1,89",47,4,14,0,4,0,0,16
- - -,Seg,Sory Kaba,DL (C),0 (9),149,34,28,0,1,1,"0,3",0,1,10,0,"19,9 km","7,85",1,2,1,0,2,0,"22,95",9,7,"3,62",2,0,"0,43","0,43",16,0,6,0,0,0,0,4
- - -,,Kike Barja,ME/MP (DI),39,2.738,1.027,873,72,43,0,"2,94",6,72,369,96,"375,0 km","15,35",53,35,2,0,59,"3,91","19,92",46,17,"0,62",4,1,"2,96","2,96",156,116,36,22,80,14,11,30
- - -,Seg,Sergi Gómez,DF (C),43,3.664,2.553,2.354,168,13,2,"1,49",3,4,142,59,"454,8 km","4,91",25,8,4,0,62,"20,17","2,33",15,2,"0,1",2,0,"1,34","1,34",305,19,222,0,19,0,3,63
- - -,,Aitor Fernández,POR,15 (1),1.310,421,398,0,0,0,0,0,0,0,0,"94,9 km",0,0,4,0,0,0,"3,64","7,15",0,-,-,0,-,0,0,-,-,-,-,-,-,0,16
- - -,,Javi Manquillo,"DF (DI), CR (D)",1 (6),176,98,89,9,1,0,"0,16",0,0,14,12,"25,1 km","17,9",3,3,0,0,1,"5,11","14,32",4,0,"1,53",0,0,"0,41","0,41",12,3,5,1,3,1,0,1
- - -,,Lucas Pérez,"MP (DIC), DL (C)",33 (1),2.603,624,531,32,35,3,"4,19",4,39,207,42,"334,6 km","6,5",38,97,3,0,36,"3,08","15,94",78,40,"0,69",13,0,"10,39","9,58",240,29,36,3,16,2,11,52
- - -,,Víctor Ruiz,DF (C),14 (1),1.222,819,724,53,3,0,"0,89",1,1,32,12,"149,5 km","5,38",11,4,2,1,22,"18,93","2,73",5,0,"0,22",0,0,"0,55","0,55",106,2,60,0,2,0,1,20
- - -,,Pablo Insua,DF (C),42 (1),3.551,2.317,2.141,168,10,4,"1,81",3,5,131,41,"443,6 km","5,17",16,9,3,0,77,"19,06","2,48",19,4,"0,03",1,0,"2,33","2,33",276,5,182,1,5,1,1,60
- - -,,Sergio Arribas,ME/MP (DIC),4 (20),466,175,141,12,22,2,"0,44",0,4,54,10,"66,5 km","11,59",1,5,0,0,8,"4,83","16,22",14,5,"0,97",1,0,"1,44","1,44",22,40,3,5,6,1,0,7
- - -,,Jaime Seoane,"MC, ME/MP (C)",32 (1),2.477,1.554,1.384,162,35,1,"5,53",10,29,262,78,"355,8 km","11,34",34,22,3,1,43,"13,88","5,09",19,1,"0,18",0,1,"3,43","3,43",81,9,23,2,9,2,1,27
- - -,,Arnau Martínez,"DF (DC), CR (D)",8 (7),546,336,313,46,3,0,"0,18",1,5,42,12,"80,2 km","15,16",6,6,2,0,10,"12,86","15,16",1,0,"0,16",0,0,0,0,30,10,20,0,10,0,0,6
- - -,,Marvin Park,CR/ME/MP (D),36,2.746,1.005,843,88,43,2,"2,66",8,90,339,94,"370,7 km","13,54",46,32,0,0,53,"3,7","20,45",30,14,"0,26",3,3,"3,04","3,04",140,95,18,18,95,18,14,28
- - -,Seg,Manu Morlanes,"MC, ME/MP (C)",3 (3),288,149,137,16,5,1,"1,1",5,3,42,5,"37,7 km","10,94",4,3,0,0,2,"12,5","12,19",3,1,"0,31",0,0,"0,11","0,11",12,6,5,1,6,1,2,3
- - -,,Adrià Pedrosa,DF/CR (I),13 (16),1.433,717,625,63,24,2,"2,97",2,28,215,45,"213,6 km","16,14",31,13,2,0,45,"10,11","14,57",5,1,0,0,0,"0,59","0,59",42,53,15,4,53,4,3,22
- - -,Ret,Fabricio,POR,36,3.261,809,548,0,0,0,0,0,0,0,0,"208,0 km",0,0,33,0,0,0,"5,52","6,26",0,-,-,0,-,0,0,-,-,-,-,-,-,0,43
- - -,,Jonathan Dubasin,"ME (I), MP (DI), DL (C)",33,2.594,886,741,66,35,2,"3,72",1,103,370,88,"357,2 km","15,34",47,36,0,0,60,"4,75","18,53",63,17,"0,49",1,1,"5,27","5,27",169,106,51,21,106,21,11,28
- - -,Les,Federico Gattoni,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Lucas Torró,"MC, ME (C)",30 (4),2.358,1.429,1.264,106,14,1,"2,27",5,18,251,63,"333,9 km","11,11",44,12,7,2,42,"12,82","6,03",7,2,"0,08",0,0,"0,37","0,37",115,6,63,1,6,1,1,26
- - -,Seg,Nikola Šipčić,DF (C),10 (7),1.132,665,592,58,4,1,"1,14",4,7,38,12,"141,0 km","6,12",7,7,0,1,15,"17,17","2,62",4,1,0,0,0,"0,22","0,22",95,0,68,0,0,0,0,20
- - -,,Juanpe,"DF (C), MC",37 (1),3.216,2.249,2.051,145,9,1,"0,53",2,6,119,44,"402,9 km","5,07",17,14,2,0,48,"13,49","3,97",6,1,0,0,0,1,1,274,2,208,2,2,2,1,46
- - -,,Máximo Perrone,"MC, ME (C)",36 (1),2.821,1.571,1.414,144,36,1,"2,38",10,31,296,88,"408,4 km","10,94",48,26,3,0,57,"11,07","7,5",11,2,"0,16",1,1,"0,68","0,68",118,11,50,0,11,0,0,35
- - -,,Juan Otero,"ME/MP (D), DL (C)",26,2.176,784,658,81,36,7,"8,59",10,76,256,62,"303,8 km","13,81",31,25,1,0,41,"5,67","13,07",45,16,"0,66",4,0,"3,53","3,53",134,80,55,14,80,14,9,38
- - -,,José Arnáiz,"ME/MP (DI), DL (C)",7 (23),919,333,284,25,14,1,"1,36",5,22,131,43,"128,6 km","14,1",14,17,0,0,14,"3,13","19,78",19,4,"0,78",3,2,"1,63","1,63",33,48,13,4,28,3,5,10
- - -,,Pablo Torre,"ME (C), MP (IC)",2 (8),241,123,112,10,4,0,"0,53",1,3,28,4,"35,5 km","11,95",0,4,0,0,3,"10,46","15,31",2,1,0,0,0,"0,1","0,1",7,8,0,2,0,0,0,2
- - -,,Vicente Guaita,POR,15 (3),1.386,445,334,0,0,0,0,0,0,0,0,"101,0 km",0,0,5,0,0,0,"3,64","8,12",0,-,-,0,-,0,0,-,-,-,-,-,-,0,17
- - -,,Juanlu,DF/CR/ME (D),8 (37),1.749,764,658,94,27,1,"2,64",1,35,245,51,"254,2 km","16,42",22,19,0,0,61,"9,67","16,42",9,1,"0,05",0,0,"1,16","1,16",82,118,52,11,118,11,0,24
- - -,,Kike,ME/MP (C),32 (1),2.382,1.212,1.085,86,34,2,"2,9",8,28,312,65,"323,6 km","10,54",24,23,1,0,49,"10,5","16,25",27,9,"0,38",1,1,"2,33","2,33",88,22,33,0,22,0,6,28
- - -,Ret,Vitolo,MP (DI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Santiago Colombatto,"MC, ME (C)",34,2.915,1.584,1.417,155,52,5,"7,24",14,23,302,100,"404,4 km","9,85",56,26,11,1,53,"13,86","6,05",16,3,"0,15",0,0,"1,86","1,86",102,11,49,3,11,3,1,32
- - -,Seg,Iñaki Peña,POR,10,841,267,229,0,0,0,0,0,0,0,0,"59,0 km",0,0,2,0,0,0,3,"12,73",0,-,-,0,-,0,0,-,-,-,-,-,-,0,14
- - -,,Javi Muñoz,"MC, ME (DC), MP (C)",7 (16),768,392,346,38,22,1,"2,26",3,11,97,15,"108,1 km","10,66",4,7,1,0,15,"9,84","10,08",11,4,"0,7",1,0,"1,5","1,5",14,69,4,13,3,0,0,8
- - -,Seg,Aitor Paredes,DF (C),20 (8),2.157,1.698,1.581,100,7,2,"1,31",2,2,68,22,"268,3 km","5,42",16,4,1,0,39,"14,14","2,8",5,2,"0,08",1,0,"0,08","0,08",138,4,97,0,4,0,0,30
- - -,,Luca Zidane,POR,27 (1),2.232,601,406,0,0,0,0,0,0,0,0,"144,4 km",0,0,15,0,0,0,"3,79","8,23",0,-,-,0,-,0,0,-,-,-,-,-,-,0,33
- - -,Seg,Chris Ramos,"MP (DI), DL (C)",29,2.248,579,495,20,19,3,"4,63",9,22,181,53,"289,5 km","6,45",29,57,1,1,31,"1,8","18,5",77,39,"0,88",15,1,"9,09","8,28",208,26,120,3,26,3,20,27
- - -,,Kike García,"MP (I), DL (C)",5 (30),1.115,305,264,11,6,1,"0,21",0,11,94,23,"153,7 km","9,12",16,27,0,0,6,"1,45","17,52",45,19,"1,61",6,0,"5,53","5,53",113,9,49,3,9,3,6,15
- - -,,Jon Guridi,"MC, ME/MP (C)",34 (1),2.666,1.412,1.247,86,24,2,3,6,34,339,88,"369,2 km","12,22",39,20,6,0,47,"10,4","14,52",15,8,"0,14",1,0,"0,89","0,89",111,27,25,2,27,2,4,25
- - -,,Pep Chavarría,DF/CR/ME (I),28 (1),2.205,1.078,922,90,32,3,"1,5",5,45,291,67,"319,9 km","15,43",32,18,3,0,63,"8,24","17,71",1,0,0,0,0,"0,13","0,13",62,130,24,19,130,19,2,22
- - -,,Juan Cruz,ME/MP (D),40,2.959,1.029,880,81,65,3,"2,54",5,123,364,98,"412,2 km","12,81",34,44,4,0,71,"4,62","16,33",64,24,"0,49",6,2,"9,14","9,14",128,212,34,40,113,20,9,46
- - -,,Cote,DF/CR/ME/MP (I),36 (3),2.886,1.498,1.320,209,96,5,"5,1",14,39,315,82,"399,9 km","15,59",27,34,1,0,69,"13,81","12,41",3,0,0,0,0,"0,31","0,31",134,281,78,51,85,15,2,52
- - -,Ret,Cristian Álvarez,POR,10,815,251,176,0,1,0,0,0,0,0,0,"54,0 km",0,0,2,0,0,0,"3,87","7,07",0,-,-,0,-,0,0,-,-,-,-,-,-,0,9
- - -,,Jaume Domènech,POR,8 (1),677,197,123,0,0,0,0,0,0,0,0,"42,9 km",0,0,4,0,0,0,"3,99","7,58",0,-,-,0,-,0,0,-,-,-,-,-,-,0,13
- - -,,Sergio Herrera,POR,28 (2),2.590,684,496,0,1,0,0,0,0,0,0,"178,8 km",0,0,12,0,0,0,"3,06","8,65",0,-,-,0,-,0,0,-,-,-,-,-,-,0,27
- - -,,Dario Đumić,DF (C),27 (1),2.492,1.570,1.399,113,3,0,"0,73",0,3,99,42,"311,1 km","5,42",15,8,7,0,52,"17,05","3,07",11,6,"0,18",1,0,"1,5","1,5",218,3,161,0,3,0,1,25
- - -,Seg,Martín Merquelanz,ME/MP (I),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Ret,Álvaro Negredo,"MP (C), DL (C)",3 (14),568,144,120,7,5,1,"0,71",1,3,41,7,"67,4 km","4,91",10,10,0,0,5,"1,43","24,72",38,23,"2,06",4,0,"4,87","4,87",69,1,26,1,1,1,4,8
- - -,,Sergio Escudero,DF/CR/ME (I),33 (1),2.515,957,828,83,32,1,"2,19",3,50,360,83,"359,8 km","16,35",35,34,3,1,98,"11,38","15,92",1,0,0,0,0,"0,15","0,15",153,160,101,21,160,21,5,37
- - -,,Roque Mesa,"MC, ME (DC)",37,2.426,1.152,1.007,88,26,2,"5,39",6,40,317,73,"331,1 km","10,2",42,20,7,0,57,"14,69","12,95",23,11,"0,3",2,2,"3,7","3,7",90,25,25,5,23,4,1,39
- - -,,Raúl García,DL (C),4 (25),702,162,139,4,3,1,"0,14",1,8,60,12,"91,2 km","6,03",8,18,1,0,3,"1,03","16,67",31,16,"1,15",3,0,4,"3,19",73,2,29,0,2,0,5,9
- - -,Seg,Asier Villalibre,DL (C),26 (8),2.250,553,475,13,7,1,"1,27",2,27,157,49,"301,3 km","7,4",47,62,5,0,25,"1,72","22,36",99,43,"1,44",8,0,11,"10,19",231,12,93,3,12,3,22,30
- - -,Seg,Randy Nteka,"MC, ME/MP (C), DL (C)",10 (8),970,449,389,43,22,3,"1,39",1,7,100,26,"127,3 km","9,93",12,11,1,0,14,"7,52","19,39",9,3,"0,56",1,1,"0,67","0,67",66,8,35,2,8,2,1,11
- - -,,Sergi Guardiola,"MP (DIC), DL (C)",1 (13),389,119,103,8,6,0,"0,42",0,3,38,15,"53,5 km","10,18",2,8,0,0,4,"6,02","13,88",13,6,"1,62",4,1,"0,99","0,99",33,5,15,2,5,2,0,7
- - -,Seg,Cristhian Mosquera,DF (DC),38,3.380,2.435,2.223,168,18,2,"0,99",2,5,117,45,"423,4 km","5,88",20,15,1,0,73,"13,21","3,99",15,1,"0,13",1,0,"2,83","2,83",268,9,198,1,9,1,1,49
- - -,,Christian Rivera,"MC, ME (C)",35 (1),2.624,1.319,1.143,91,35,1,"2,15",7,23,302,83,"368,8 km","10,26",24,12,3,0,51,"15,02",12,10,4,"0,1",3,0,"1,87","1,87",116,24,78,7,24,7,2,43
- - -,,Sergio Carreira,DF/CR (D),39,3.427,1.810,1.624,259,33,3,"5,16",5,28,325,92,"499,5 km","15,21",47,31,2,0,97,"13,71","9,14",33,9,"0,39",3,2,"4,32","4,32",143,61,73,16,61,16,2,56
- - -,,Williot Swedberg,"MC, ME (C), MP (DIC), DL (C)",2 (11),363,162,147,11,4,1,"0,29",0,7,38,12,"54,2 km","13,14",2,6,0,0,8,"6,94","10,41",10,4,"0,99",0,0,"0,78","0,78",9,3,3,0,3,0,1,5
- - -,,Mauro Júnior,"DF (I), CR (DI), ME (I), MP (IC)",3 (1),343,154,128,13,7,0,"0,25",1,5,37,11,"47,6 km","14,17",3,7,1,0,7,"6,82","17,06",9,3,"1,05",0,1,"0,79","0,79",17,8,1,2,8,2,2,5
- - -,Ofer,Javi Puado,"MP (DIC), DL (C)",15 (24),1.634,394,332,6,6,0,"1,59",4,26,114,23,"210,0 km","6,11",21,38,0,0,23,"2,2","14,54",73,40,"1,21",10,1,"6,5","6,5",130,7,26,1,7,1,15,25
- - -,,Iker Álvarez,POR,2,180,52,51,0,0,0,0,0,0,0,0,"9,0 km",0,0,0,0,0,0,3,9,0,-,-,0,-,0,0,-,-,-,-,-,-,0,4
- - -,Seg,Ilias Akhomach,ME/MP (DC),3 (10),402,171,151,24,9,2,"1,42",5,9,48,14,"59,8 km","13,43",3,3,1,0,13,"3,58","14,1",9,5,"0,9",1,1,"1,71","1,71",15,12,2,1,12,1,2,8
- - -,,Carlos Vicente,ME/MP (D),27 (10),1.940,736,625,51,27,2,"1,92",5,71,264,66,"274,8 km","15,63",31,31,0,0,44,"3,94","22,41",43,20,"0,65",4,0,"3,85","3,85",130,70,63,10,70,10,5,26
- - -,Seg,José Marsà,"DF (IC), MC",42,3.714,2.250,2.065,143,21,3,"3,26",7,4,153,41,"473,3 km","5,53",23,18,2,0,67,"16,84","3,08",10,1,"0,07",0,1,"0,8","0,8",302,9,195,2,9,2,0,48
- - -,Seg,Dani Rodríguez,"MC, ME (C), MP (DIC)",37,2.616,932,775,69,46,3,"4,06",11,53,369,76,"360,8 km","14,59",44,28,1,0,35,"3,68","24,19",51,22,"0,38",2,1,"5,98","5,98",159,92,29,12,92,12,13,19
- - -,,Diadié Samassékou,"MC, ME (C)",8 (16),857,483,432,32,5,2,"0,53",2,5,97,22,"126,9 km","12,71",11,7,0,0,12,"10,71","5,88",7,3,"0,11",0,1,"0,41","0,41",36,4,18,1,4,1,1,14
- - -,Seg,Famara Diédhiou,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Isaac Romero,"MP (I), DL (C)",18 (25),1.659,412,354,14,10,1,"2,04",2,24,140,30,"213,8 km","6,67",25,31,1,0,18,"1,57","21,37",93,34,"1,79",10,2,"9,73","9,73",188,8,63,2,8,2,13,23
- - -,Seg,Fidel Chaves,"ME (I), MP (IC)",26 (17),1.871,662,561,53,51,9,"4,61",8,42,280,75,"256,1 km","14,82",12,33,0,0,33,"6,21","15,87",68,21,"0,91",4,0,"9,13","9,13",114,240,37,49,70,15,9,32
- - -,Int,Vitor Roque,"MP (DI), DL (C)",3 (16),530,131,110,5,5,2,"0,25",0,6,42,5,"64,2 km","5,43",4,10,0,0,6,"1,19","19,53",27,13,"1,19",4,1,"2,39","2,39",34,1,5,0,1,0,1,12
- - -,,Xabi Etxeita,DF (C),38 (1),3.245,2.011,1.801,156,7,0,"1,47",1,3,119,51,"411,1 km","6,32",33,8,5,2,64,"14,14","4,19",16,4,"0,14",1,0,"2,09","2,09",287,5,201,3,5,3,0,29
- - -,,Jesús Areso,DF/CR (D),13 (10),1.369,776,683,107,10,0,"0,61",2,18,114,33,"196,2 km","15,19",17,14,2,0,24,"9,99","16,44",13,4,"0,2",0,0,"0,7","0,7",62,25,32,4,25,4,0,15
- - -,,Rubén Duarte,"DF (IC), CR (I)",32,2.827,1.506,1.307,185,40,3,"2,58",3,40,270,83,"404,1 km","15,19",28,38,2,0,77,"11,56","13,08",1,0,0,0,0,"0,07","0,07",169,61,104,13,61,13,1,30
- - -,Seg,Sergio Camello,DL (C),3 (28),1.103,276,249,14,8,0,"0,06",1,4,83,20,"142,1 km","7,43",10,30,0,0,6,"0,9","20,32",48,24,"1,31",4,1,"4,88","4,88",132,10,21,2,10,2,3,12
- - -,Int,Jaume Cuéllar,"ME (I), MP (DIC), DL (C)",22 (7),1.763,584,474,41,26,5,"2,56",5,47,231,73,"234,6 km","12,35",17,23,1,0,30,"4,44","15,31",50,19,"0,56",3,1,"4,27","4,27",108,52,30,11,48,9,3,27
- - -,Seg,Juan Iglesias,DF/CR/ME (D),14 (15),1.433,691,573,88,11,1,"1,23",5,28,165,50,"203,0 km","15,32",22,14,1,0,31,"9,3","12,94",6,1,"0,19",0,0,"0,66","0,66",96,49,53,6,49,6,3,20
- - -,,Curro,"ME (DC), MP (DIC)",35 (1),2.857,1.157,992,109,75,10,"8,9",15,85,395,105,"381,4 km","13,45",35,46,8,0,63,"5,92","15,22",59,23,"0,66",10,2,"6,18","6,18",124,305,29,55,98,14,10,39
- - -,,Joan Jordán,"MC, ME (C)",11 (13),1.345,653,569,51,24,3,"1,57",3,14,158,50,"187,1 km","11,31",15,14,0,0,19,"9,3","17,73",9,4,"0,27",0,1,"1,16","1,16",61,15,24,3,15,3,2,24
- - -,Seg,Cédric Bakambu,DL (C),0 (8),147,35,29,0,0,0,0,0,2,11,0,"17,8 km","6,73",4,1,0,0,2,"0,61","23,27",6,0,"1,84",0,0,"0,41","0,41",15,0,6,0,0,0,1,0
- - -,,Jon Morcillo,"ME/MP (DI), DL (C)",39 (4),3.195,1.085,917,84,94,7,"7,34",11,78,416,104,"438,5 km","13,75",33,46,0,0,64,"5,58","15,63",87,38,"0,85",4,1,"8,38","8,38",213,326,74,46,108,15,11,29
- - -,,Rubén Alcaraz,"MC, ME (C)",2,131,86,76,8,5,0,"0,99",0,1,15,3,"17,4 km","10,99",4,0,0,0,3,"8,93","4,81",1,0,0,0,0,"0,15","0,15",3,0,0,0,0,0,0,4
- - -,Seg,Franco Cervi,ME/MP (I),20 (5),1.713,625,520,48,28,2,"2,2",5,53,248,59,"248,3 km","15,81",41,22,5,0,31,"4,47","23,64",32,12,"0,47",2,0,"2,22","2,22",113,73,23,10,63,10,6,21
- - -,,Kenedy,"CR/ME (I), MP (DI)",33 (7),2.675,958,780,73,42,1,"5,1",7,64,386,95,"372,0 km","14,74",48,34,5,0,65,"8,14","18,17",44,15,"0,54",6,2,"3,28","3,28",153,101,73,21,85,19,7,47
- - -,Seg,Manu Sánchez,DF/CR (I),20 (2),1.813,966,823,138,27,0,"2,17",4,37,201,46,"252,5 km","16,48",22,26,1,1,44,"9,88","18,17",9,2,"0,15",1,1,"0,8","0,8",85,41,42,5,41,5,0,24
- - -,,Nikola Maraš,DF (C),41,3.493,2.404,2.196,139,12,1,"1,85",6,5,118,50,"436,7 km","5,2",29,7,3,0,52,"19,25","2,53",13,1,"0,1",0,0,"1,99","1,99",321,3,215,1,3,1,3,62
- - -,Seg,Toni Lato,DF/CR (I),38,3.317,1.524,1.350,185,52,2,"3,04",6,83,397,93,"481,6 km","16,58",46,45,4,0,104,"9,58","15,71",6,0,"0,11",0,0,"0,43","0,43",140,138,61,23,138,23,2,29
- - -,,Abdón Prats,"MP (C), DL (C)",6 (21),801,195,173,11,7,0,"0,09",2,5,76,10,"101,8 km","6,74",11,25,0,0,7,"0,79","23,03",40,17,"1,01",4,0,"3,79","3,79",76,6,12,2,6,2,3,6
- - -,Seg,Nahuel Tenaglia,"DF (DC), CR (D)",10 (8),1.099,654,595,54,12,0,"0,62",0,8,70,23,"146,6 km","10,81",8,6,1,0,22,"12,37","10,32",4,0,"0,16",0,0,"1,05","1,05",71,29,49,6,29,6,0,11
- - -,Seg,Antonio Sánchez,"MC, ME/MP (DC)",7 (15),821,360,304,36,11,0,"0,93",1,6,106,25,"113,3 km","11,73",10,10,2,0,15,"7,89","18,42",12,5,"0,44",2,0,1,1,35,10,21,1,10,1,0,6
- - -,,Gorka Guruzeta,"MP (DI), DL (C)",0 (6),59,19,17,0,0,0,"0,04",0,0,6,1,"8,3 km",-,0,0,0,0,0,-,-,2,1,-,0,0,"0,24","0,24",7,1,1,0,1,0,0,0
- - -,,Iván Alejo,ME/MP (D),24 (3),1.752,626,537,48,28,1,"2,82",2,58,257,65,"243,7 km","15,72",31,33,9,0,34,"4,26","23,37",26,8,"0,41",1,0,"3,87","3,87",111,62,40,7,62,7,6,12
- - -,,Pedro León,"ME (D), MP (DC)",33 (2),2.106,776,668,59,72,5,"10,6",23,56,270,86,"291,8 km","12,91",34,38,1,0,49,"5,98","15,6",50,22,"0,64",6,1,"6,04","6,04",99,301,30,54,89,12,10,27
- - -,,Lucien Agoumé,"MC, ME/MP (C)",2 (12),547,273,222,21,8,1,"0,78",1,5,64,15,"74,8 km","11,19",5,0,0,0,8,"10,86","17,61",3,2,"0,16",0,0,"0,3","0,3",28,5,15,0,5,0,0,8
- - -,,Arthur Vermeeren,"MC, ME (C)",9,779,406,366,33,9,1,"2,36",3,12,101,23,"103,8 km","8,9",8,6,1,0,19,"17,1","10,05",9,2,"0,23",0,0,"1,89","1,89",30,6,11,1,6,1,0,10
