Nombre,Posición,Part,Min,Enc,xGE,BAt,BDs,Rp %,BRe,Pas I,Pas C,Portería imbatida,Pep %,Paradas/90,Pen. parados,Prop. penaltis parados,Gl Err,Pos Gan/90,Pos Perd/90
player_785,POR,5 (1),514,3,"3,82",4,0,87%,17,137,84,3,91%,3,0,-,0,"3,85","6,3"
player_786,DF (DC),33 (1),3.034,-,-,-,-,-,-,1.808,1.513,-,-,-,-,-,1,"12,34","4,06"
player_787,"MP (DI), DL (C)",2 (8),346,-,-,-,-,-,-,79,65,-,-,-,-,-,0,"1,82","20,29"
player_788,"DF (DC), CR (D)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
player_789,"DF/CR (D), ME/MP (DI)",38,3.076,-,-,-,-,-,-,1.529,1.340,-,-,-,-,-,0,"10,18","14,8"
player_790,DF/CR (I),8 (3),773,-,-,-,-,-,-,406,361,-,-,-,-,-,0,"8,85","18,98"
player_791,ME/MP (C),17 (6),1.403,-,-,-,-,-,-,720,624,-,-,-,-,-,0,"15,52","13,41"
player_792,DF (C),38,3.313,-,-,-,-,-,-,2.016,1.863,-,-,-,-,-,0,"17,28","2,8"
player_793,MP (DIC),26 (17),1.816,-,-,-,-,-,-,625,507,-,-,-,-,-,0,"5,9","20,17"
player_794,"DF (DI), CR/ME (D)",28 (4),2.574,-,-,-,-,-,-,1.347,1.201,-,-,-,-,-,1,"10,8","13,43"
player_795,DF (DI),14 (7),1.415,-,-,-,-,-,-,715,623,-,-,-,-,-,0,"10,43","15,46"
player_796,ME/MP (DI),23 (3),1.796,-,-,-,-,-,-,637,542,-,-,-,-,-,0,"7,52","16,59"
player_797,DL (C),5 (7),477,-,-,-,-,-,-,115,100,-,-,-,-,-,0,"0,75","31,51"
player_798,"DF (DC), MC",40,3.577,-,-,-,-,-,-,2.129,1.879,-,-,-,-,-,0,"20,38","3,04"
player_799,ME/MP (D),26 (2),1.904,-,-,-,-,-,-,787,657,-,-,-,-,-,0,"4,07","18,25"
player_800,"MP (DI), DL (C)",37 (1),2.507,-,-,-,-,-,-,887,734,-,-,-,-,-,0,"6,57","13,79"
player_801,"MP (DC), DL (C)",7 (25),872,-,-,-,-,-,-,211,181,-,-,-,-,-,0,"0,72","19,71"
player_802,"MC, ME (C)",11 (30),1.166,-,-,-,-,-,-,590,507,-,-,-,-,-,0,"10,88","13,2"
player_803,DL (C),32 (3),2.695,-,-,-,-,-,-,645,552,-,-,-,-,-,0,"1,57",20
player_804,"DF (C), MC, ME (C)",44,3.713,-,-,-,-,-,-,1.994,1.735,-,-,-,-,-,0,"10,64","7,81"
player_805,"MP (C), DL (C)",16,1.367,-,-,-,-,-,-,503,437,-,-,-,-,-,0,"14,55","12,51"
player_806,DF (DC),36 (2),3.062,-,-,-,-,-,-,1.864,1.706,-,-,-,-,-,0,"18,25","4,61"
player_807,DF (C),8,720,-,-,-,-,-,-,430,324,-,-,-,-,-,0,"14,5","4,62"
player_808,MP (DIC),38 (3),2.645,-,-,-,-,-,-,926,780,-,-,-,-,-,0,"3,37","20,89"
player_809,"MC, ME (C)",2 (35),853,-,-,-,-,-,-,493,444,-,-,-,-,-,0,"12,34","4,11"
player_810,DF/CR (I),41,3.586,-,-,-,-,-,-,1.795,1.532,-,-,-,-,-,0,"11,17","15,18"
player_811,"MP (D), DL (C)",37 (1),3.055,-,-,-,-,-,-,771,675,-,-,-,-,-,0,"1,77","19,44"
player_812,POR,38,3.378,47,"-2,99",24,15,67%,57,899,529,6,88%,2,1,20%,0,"4,93","7,09"
player_813,"ME/MP (C), DL (C)",27 (3),1.980,-,-,-,-,-,-,672,586,-,-,-,-,-,0,"11,82","16,45"
player_814,"MC, ME (C)",30 (1),2.539,-,-,-,-,-,-,1.451,1.312,-,-,-,-,-,0,"15,45","6,59"
player_815,MP (DI),7 (4),634,-,-,-,-,-,-,215,196,-,-,-,-,-,0,"4,83","16,89"
player_816,"DF (C), MC, ME (C)",4 (8),469,-,-,-,-,-,-,256,218,-,-,-,-,-,0,"11,13","8,83"
player_817,"MP (DIC), DL (C)",17 (2),1.193,-,-,-,-,-,-,292,250,-,-,-,-,-,0,"1,36","20,52"
player_818,"ME (DC), MP (DIC)",37 (2),2.711,-,-,-,-,-,-,929,777,-,-,-,-,-,0,"4,48","17,53"
player_819,POR,6,570,7,"-2,59",1,3,66%,10,152,91,1,90%,2,0,-,0,"3,95","7,58"
player_820,"MC, ME (C)",34 (1),2.824,-,-,-,-,-,-,1.539,1.367,-,-,-,-,-,0,"14,18","5,16"
player_821,"ME/MP (C), DL (C)",41 (2),3.057,-,-,-,-,-,-,1.043,878,-,-,-,-,-,1,"12,63","17,81"
player_822,DF (C),38,3.420,-,-,-,-,-,-,2.159,1.906,-,-,-,-,-,0,"12,55","3,97"
player_823,DF/CR/ME (I),38 (4),3.137,-,-,-,-,-,-,1.658,1.467,-,-,-,-,-,0,"12,34","10,79"
player_824,"DF (C), MC",5,377,-,-,-,-,-,-,219,200,-,-,-,-,-,0,"18,62","2,39"
player_825,MP (DI),12 (27),1.661,-,-,-,-,-,-,607,529,-,-,-,-,-,0,"3,96","18,8"
player_826,"MP (I), DL (C)",26,1.888,-,-,-,-,-,-,470,406,-,-,-,-,-,0,"1,62","16,4"
player_827,"MC, ME (C)",2 (5),283,-,-,-,-,-,-,161,146,-,-,-,-,-,0,"6,04","8,27"
player_828,"DF (DC), CR (D)",10 (4),893,-,-,-,-,-,-,488,436,-,-,-,-,-,0,"15,32","9,57"
player_829,POR,37,3.183,45,"3,3",25,18,70%,65,885,581,9,89%,3,0,0%,1,"3,36","7,38"
player_830,DF (D),1 (6),305,-,-,-,-,-,-,164,152,-,-,-,-,-,0,"8,85","15,93"
player_831,POR,1 (1),85,0,"1,58",1,0,100%,1,24,10,2,59%,2,0,-,0,"2,12","3,18"
player_832,DF (C),31,2.597,-,-,-,-,-,-,1.655,1.422,-,-,-,-,-,0,"21,38","2,88"
player_833,"DF (C), MC, ME (C)",35 (1),3.239,-,-,-,-,-,-,1.853,1.684,-,-,-,-,-,0,"15,48","4,28"
player_834,ME/MP (DI),18 (9),1.550,-,-,-,-,-,-,514,445,-,-,-,-,-,0,"3,89","16,84"
player_835,"ME (I), MP (IC)",30 (3),2.449,-,-,-,-,-,-,845,728,-,-,-,-,-,0,"5,4","13,12"
player_836,"DF (DI), CR/MP (D)",1 (7),329,-,-,-,-,-,-,163,134,-,-,-,-,-,0,"7,93","21,61"
player_837,"MP (DIC), DL (C)",14 (23),1.659,-,-,-,-,-,-,576,485,-,-,-,-,-,0,"5,21","19,37"
player_838,DL (C),23 (8),1.800,-,-,-,-,-,-,431,376,-,-,-,-,-,0,"1,2","22,65"
player_839,"MP (DIC), DL (C)",0 (3),40,-,-,-,-,-,-,15,12,-,-,-,-,-,0,-,-
player_840,POR,21,1.807,24,"1,81",22,10,74%,36,443,317,5,91%,3,1,100%,0,"4,28","6,67"
player_841,DF (C),35 (1),3.113,-,-,-,-,-,-,1.872,1.726,-,-,-,-,-,0,"13,41","4,19"
player_842,DL (C),20 (10),1.567,-,-,-,-,-,-,366,302,-,-,-,-,-,0,"1,44","20,27"
player_843,"ME (I), MP (DIC), DL (C)",0 (1),31,-,-,-,-,-,-,10,9,-,-,-,-,-,0,-,-
player_844,"MP (DI), DL (C)",0 (3),40,-,-,-,-,-,-,9,8,-,-,-,-,-,0,-,-
player_845,"MP (DI), DL (C)",2 (27),1.028,-,-,-,-,-,-,342,300,-,-,-,-,-,0,"4,03","23,38"
player_846,DF (C),42,3.480,-,-,-,-,-,-,2.375,2.153,-,-,-,-,-,0,"15,93","3,13"
player_847,"DF (DC), MC",22 (3),2.043,-,-,-,-,-,-,1.345,1.224,-,-,-,-,-,0,"13,7","5,24"
player_848,DL (C),6 (11),644,-,-,-,-,-,-,165,135,-,-,-,-,-,0,"1,82","19,98"
player_849,"DF (DIC), CR (D), MC",42,3.407,-,-,-,-,-,-,1.759,1.534,-,-,-,-,-,0,"10,88","14,21"
player_850,POR,5 (4),690,6,"4,13",7,2,80%,16,198,172,5,89%,3,0,-,0,"3,13","5,22"
player_851,"MC, ME (C)",40 (1),2.460,-,-,-,-,-,-,1.363,1.227,-,-,-,-,-,0,"11,34","7,24"
player_852,"ME (DI), MP (DIC)",23 (11),1.669,-,-,-,-,-,-,565,478,-,-,-,-,-,0,"4,31","24,59"
player_853,"MC, ME (C)",11 (15),1.164,-,-,-,-,-,-,672,577,-,-,-,-,-,0,"12,29","5,34"
player_854,"MC, ME (C)",3 (27),660,-,-,-,-,-,-,312,271,-,-,-,-,-,0,"9,27","8,59"
player_855,DL (C),23 (9),2.043,-,-,-,-,-,-,520,437,-,-,-,-,-,0,"2,07","21,06"
player_856,POR,3,270,2,"0,77",2,1,77%,4,71,39,2,91%,2,0,-,0,"5,67",5
player_857,"ME (C), MP (DC)",8 (8),760,-,-,-,-,-,-,260,228,-,-,-,-,-,0,"9,59","17,05"
player_858,POR,42,3.671,45,"12,8",33,22,76%,83,1.004,607,12,87%,3,2,67%,0,"3,55","6,86"
player_859,ME/MP (DI),29 (6),2.357,-,-,-,-,-,-,792,635,-,-,-,-,-,0,"4,31","21,27"
player_860,DL (C),24 (11),1.983,-,-,-,-,-,-,522,436,-,-,-,-,-,0,"1,68","19,11"
player_861,DF (C),27 (1),2.288,-,-,-,-,-,-,1.454,1.257,-,-,-,-,-,0,"14,83","3,93"
player_862,DF/CR (D),5 (4),561,-,-,-,-,-,-,289,241,-,-,-,-,-,0,"12,35","12,51"
player_863,"ME (DC), MP (D)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
player_864,"MP (C), DL (C)",18 (11),1.547,-,-,-,-,-,-,394,337,-,-,-,-,-,0,"2,44","17,45"
player_865,POR,1,90,0,"0,74",0,2,100%,4,25,17,1,96%,6,0,-,0,5,8
player_866,DF/CR (D),4 (9),554,-,-,-,-,-,-,279,253,-,-,-,-,-,0,13,"11,86"
player_867,"MC, ME/MP (C)",25,2.115,-,-,-,-,-,-,1.162,1.052,-,-,-,-,-,0,"12,68","7,02"
player_868,DF/CR (I),22 (10),2.152,-,-,-,-,-,-,1.091,958,-,-,-,-,-,1,"13,05","14,09"
player_869,"DF (DC), CR (D)",36,3.177,-,-,-,-,-,-,1.454,1.253,-,-,-,-,-,0,"13,65","13,54"
player_870,DF/CR/ME/MP (I),35,2.886,-,-,-,-,-,-,1.438,1.214,-,-,-,-,-,0,"9,89","12,16"
player_871,DF (C),37,3.238,-,-,-,-,-,-,1.969,1.843,-,-,-,-,-,0,"13,62","3,42"
player_872,"MP (DIC), DL (C)",23 (1),1.939,-,-,-,-,-,-,686,578,-,-,-,-,-,0,"6,27","19,08"
player_873,POR,32,2.554,34,"5,93",26,17,76%,59,680,393,10,89%,3,3,60%,0,"3,84","6,87"
player_874,DF (IC),32 (2),2.265,-,-,-,-,-,-,1.205,1.039,-,-,-,-,-,0,"12,56","12,36"
player_875,"MP (DI), DL (C)",17 (16),1.562,-,-,-,-,-,-,453,383,-,-,-,-,-,0,"2,59","15,27"
player_876,ME/MP (C),0 (1),12,-,-,-,-,-,-,6,5,-,-,-,-,-,0,-,-
player_877,"DF (DC), MC",32,2.853,-,-,-,-,-,-,1.927,1.738,-,-,-,-,-,0,"20,41","2,02"
player_878,ME/MP (C),32,2.384,-,-,-,-,-,-,1.176,1.058,-,-,-,-,-,0,"10,27","13,7"
player_879,"MC, ME (C)",31,2.458,-,-,-,-,-,-,1.334,1.202,-,-,-,-,-,0,"14,76","6,44"
player_880,DL (C),6 (25),1.088,-,-,-,-,-,-,277,226,-,-,-,-,-,0,"1,32","21,26"
player_881,"MP (C), DL (C)",0 (19),493,-,-,-,-,-,-,155,135,-,-,-,-,-,0,"4,2","16,43"
player_882,"MC, ME (C)",35 (2),2.863,-,-,-,-,-,-,1.613,1.428,-,-,-,-,-,0,"12,13","5,16"
player_883,"MC, ME (C)",19 (11),1.596,-,-,-,-,-,-,896,784,-,-,-,-,-,0,"10,71","8,57"
player_884,ME/MP (C),2 (27),742,-,-,-,-,-,-,313,279,-,-,-,-,-,0,"6,19","20,26"
player_885,DF/CR/ME (I),4 (5),460,-,-,-,-,-,-,221,201,-,-,-,-,-,0,"13,89","9,98"
player_886,"MC, ME (C)",15 (12),1.557,-,-,-,-,-,-,812,704,-,-,-,-,-,0,"9,88","11,85"
player_887,"ME (I), MP (IC)",39,2.860,-,-,-,-,-,-,974,804,-,-,-,-,-,0,"4,41","20,14"
player_888,DF (IC),1,90,-,-,-,-,-,-,54,52,-,-,-,-,-,0,15,4
player_889,POR,32,2.640,20,"14,42",14,11,78%,46,714,395,16,87%,2,1,33%,0,"4,7","5,42"
player_890,"MC, ME (DC)",5 (12),633,-,-,-,-,-,-,361,322,-,-,-,-,-,0,"10,66","7,11"
player_891,"MC, ME/MP (C)",21,1.670,-,-,-,-,-,-,776,683,-,-,-,-,-,0,"14,55","10,56"
player_892,DL (C),2 (26),905,-,-,-,-,-,-,237,201,-,-,-,-,-,0,"1,49","17,8"
player_893,"MC, ME/MP (C)",30 (2),2.107,-,-,-,-,-,-,1.081,977,-,-,-,-,-,0,"14,86","9,91"
player_894,DL (C),14 (3),1.255,-,-,-,-,-,-,314,281,-,-,-,-,-,0,"1,79","17,21"
player_895,"ME (I), MP (IC)",35 (1),2.522,-,-,-,-,-,-,814,680,-,-,-,-,-,0,"4,35","15,56"
player_896,"MC, ME/MP (C)",34 (1),2.864,-,-,-,-,-,-,1.028,888,-,-,-,-,-,0,"14,93","14,74"
player_897,"MP (DI), DL (C)",7 (17),1.157,-,-,-,-,-,-,307,264,-,-,-,-,-,0,"2,18","19,6"
player_898,"MC, ME/MP (C)",7 (12),760,-,-,-,-,-,-,321,276,-,-,-,-,-,0,"11,37","15,51"
player_899,POR,28,2.314,33,"6,22",33,19,75%,44,558,325,8,89%,3,1,33%,0,"3,93","6,85"
player_900,POR,5 (1),519,8,"-2,03",2,2,52%,5,145,91,0,86%,1,0,0%,0,"3,64","9,02"
player_901,"ME/MP (DI), DL (C)",16 (25),2.111,-,-,-,-,-,-,652,555,-,-,-,-,-,0,"3,58","14,41"
player_902,ME/MP (IC),41 (1),2.495,-,-,-,-,-,-,1.031,888,-,-,-,-,-,0,"13,49","13,49"
player_903,DF (C),24 (1),2.149,-,-,-,-,-,-,1.291,1.179,-,-,-,-,-,0,"15,37","2,97"
player_904,ME (C),15 (1),1.340,-,-,-,-,-,-,675,581,-,-,-,-,-,0,"9,67","20,89"
player_905,"MC, ME (C)",35,2.890,-,-,-,-,-,-,1.401,1.199,-,-,-,-,-,0,"16,72","12,15"
player_906,DL (C),36 (1),2.227,-,-,-,-,-,-,575,484,-,-,-,-,-,0,"1,9","23,04"
player_907,"MC, ME (C), MP (IC)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
player_908,DF (DC),13 (6),1.169,-,-,-,-,-,-,701,621,-,-,-,-,-,0,"11,01","6,54"
player_909,"MC, ME (C)",25 (6),1.832,-,-,-,-,-,-,1.044,902,-,-,-,-,-,0,"11,99","5,4"
player_910,"MP (C), DL (C)",16 (19),1.627,-,-,-,-,-,-,391,344,-,-,-,-,-,0,"1,94","18,31"
player_911,DF/CR/ME (I),10 (2),926,-,-,-,-,-,-,476,398,-,-,-,-,-,0,"13,02","16,23"
player_912,DF (DC),36,3.158,-,-,-,-,-,-,1.927,1.761,-,-,-,-,-,1,"18,72","2,79"
player_913,DF (I),33 (1),2.747,-,-,-,-,-,-,1.471,1.297,-,-,-,-,-,0,"11,99","10,94"
player_914,"MC, ME (C)",36 (2),3.227,-,-,-,-,-,-,1.838,1.626,-,-,-,-,-,0,"10,9","7,78"
player_915,DF (C),35,3.112,-,-,-,-,-,-,1.877,1.678,-,-,-,-,-,0,"14,46","3,41"
player_916,"MC, ME (C)",32 (3),2.891,-,-,-,-,-,-,1.548,1.369,-,-,-,-,-,0,"12,02","7,78"
player_917,ME/MP (C),4,288,-,-,-,-,-,-,139,119,-,-,-,-,-,0,"14,38","12,81"
player_918,"MP (DIC), DL (C)",33 (8),2.912,-,-,-,-,-,-,747,631,-,-,-,-,-,0,"1,98","21,94"
player_919,"MC, ME (C)",8 (5),667,-,-,-,-,-,-,391,341,-,-,-,-,-,0,"11,2","7,42"
player_920,"MC, ME/MP (C)",5 (7),376,-,-,-,-,-,-,178,158,-,-,-,-,-,0,"9,57","14,12"
player_921,DF (DC),35,3.032,-,-,-,-,-,-,1.831,1.571,-,-,-,-,-,0,"20,54","3,32"
player_922,"DF (C), MC",29 (8),2.496,-,-,-,-,-,-,1.475,1.274,-,-,-,-,-,0,"10,06","6,63"
player_923,ME/MP (C),6 (8),622,-,-,-,-,-,-,286,246,-,-,-,-,-,0,"14,76",11
player_924,"MP (I), DL (C)",21 (13),1.899,-,-,-,-,-,-,488,417,-,-,-,-,-,0,"1,42","20,81"
player_925,"MC, ME (C)",31,2.595,-,-,-,-,-,-,1.351,1.234,-,-,-,-,-,0,"13,6","4,79"
player_926,POR,3 (1),284,1,"1,26",1,1,80%,2,63,26,3,88%,1,0,-,0,"4,44","6,34"
player_927,DF (C),5 (2),441,-,-,-,-,-,-,261,243,-,-,-,-,-,0,"13,06","3,06"
player_928,"MC, ME (C)",34,2.962,-,-,-,-,-,-,1.462,1.262,-,-,-,-,-,0,"17,23","8,23"
player_929,"ME (D), MP (DI), DL (C)",22 (12),1.691,-,-,-,-,-,-,603,521,-,-,-,-,-,0,"4,79","17,99"
player_930,DF/CR (D),39,3.524,-,-,-,-,-,-,1.810,1.577,-,-,-,-,-,0,"11,01","17,11"
player_931,DF/CR (D),8 (5),871,-,-,-,-,-,-,447,390,-,-,-,-,-,0,"11,06","14,67"
player_932,"DF (DI), CR (D)",7 (7),825,-,-,-,-,-,-,424,366,-,-,-,-,-,0,"13,96","14,4"
player_933,DF (C),37,3.277,-,-,-,-,-,-,1.997,1.806,-,-,-,-,-,0,"14,03","3,27"
player_934,DF (C),37,3.281,-,-,-,-,-,-,2.061,1.856,-,-,-,-,-,0,"15,53","2,94"
player_935,"ME (DIC), MP (DI)",8 (14),873,-,-,-,-,-,-,315,268,-,-,-,-,-,0,"4,95","12,37"
player_936,ME/MP (D),41 (2),3.514,-,-,-,-,-,-,1.292,1.061,-,-,-,-,-,0,"2,87","20,9"
player_937,MP (DI),8 (16),936,-,-,-,-,-,-,347,293,-,-,-,-,-,0,"3,37","22,02"
player_938,"MP (D), DL (C)",4 (18),712,-,-,-,-,-,-,169,151,-,-,-,-,-,0,"1,01","20,22"
player_939,"MC, ME (C)",15 (18),1.748,-,-,-,-,-,-,983,882,-,-,-,-,-,0,"9,63","7,57"
player_940,DF/CR (I),33 (1),2.768,-,-,-,-,-,-,1.485,1.321,-,-,-,-,-,0,"10,21","16,68"
player_941,DF/CR/ME/MP (I),36,3.073,-,-,-,-,-,-,1.507,1.282,-,-,-,-,-,0,"12,04","15,29"
player_942,DF/CR (D),30 (7),2.626,-,-,-,-,-,-,1.377,1.173,-,-,-,-,-,0,"12,41","14,19"
player_943,DF (DC),38,3.064,-,-,-,-,-,-,1.760,1.561,-,-,-,-,-,0,"17,27","6,76"
player_944,POR,1,90,2,"-0,86",1,2,71%,2,26,9,0,90%,5,0,-,0,5,6
player_945,DF/CR (D),13 (6),1.337,-,-,-,-,-,-,667,589,-,-,-,-,-,0,"11,98","16,56"
player_946,"DF/CR (D), ME/MP (DI)",0 (24),578,-,-,-,-,-,-,219,185,-,-,-,-,-,0,"3,74","22,11"
player_947,"MP (C), DL (C)",31 (2),2.651,-,-,-,-,-,-,662,549,-,-,-,-,-,0,"2,14","15,24"
player_948,"MC, ME (C)",1 (15),382,-,-,-,-,-,-,207,183,-,-,-,-,-,0,"11,31","3,53"
player_949,DF/CR (D),24 (2),2.012,-,-,-,-,-,-,1.062,912,-,-,-,-,-,0,"10,78","15,92"
player_950,DF/CR (D),25 (1),1.882,-,-,-,-,-,-,939,801,-,-,-,-,-,0,"16,16","10,66"
player_951,ME/MP (I),4 (21),676,-,-,-,-,-,-,242,200,-,-,-,-,-,0,"4,26","16,11"
player_952,"MC, ME (C)",13 (3),910,-,-,-,-,-,-,523,475,-,-,-,-,-,0,"15,13","6,63"
player_953,"MP (D), DL (C)",31,2.401,-,-,-,-,-,-,798,674,-,-,-,-,-,0,"4,46","18,07"
player_954,"MC, ME (C)",40 (1),3.168,-,-,-,-,-,-,1.810,1.605,-,-,-,-,-,0,"10,94","6,51"
player_955,"DF (C), MC, ME (C)",36,3.167,-,-,-,-,-,-,1.816,1.609,-,-,-,-,-,0,"17,96","6,25"
player_956,DL (C),31,2.559,-,-,-,-,-,-,631,532,-,-,-,-,-,0,"3,02","15,9"
player_957,"ME/MP (DI), DL (C)",4 (29),1.140,-,-,-,-,-,-,376,313,-,-,-,-,-,0,"3,08","17,53"
player_958,POR,38,3.480,33,"5,23",24,13,74%,55,935,620,9,89%,2,1,50%,1,"3,49","6,91"
player_959,"ME (I), MP (DI)",38,2.881,-,-,-,-,-,-,1.011,832,-,-,-,-,-,0,"4,9","16,93"
player_960,"DF (C), MC",40,3.293,-,-,-,-,-,-,1.950,1.715,-,-,-,-,-,0,"14,24","4,92"
player_961,DF/CR (D),39,3.420,-,-,-,-,-,-,1.743,1.526,-,-,-,-,-,0,"10,55","13,42"
player_962,DF (C),38,3.379,-,-,-,-,-,-,2.302,2.089,-,-,-,-,-,0,"15,4","3,92"
player_963,"MC, ME (C)",37 (4),3.190,-,-,-,-,-,-,1.735,1.546,-,-,-,-,-,0,"14,19","9,17"
player_964,MP (IC),28 (5),2.294,-,-,-,-,-,-,847,707,-,-,-,-,-,0,"11,22","15,42"
player_965,"MC, ME (C)",34 (2),2.684,-,-,-,-,-,-,1.300,1.122,-,-,-,-,-,0,"14,96","12,24"
player_966,"MP (DI), DL (C)",17 (14),1.460,-,-,-,-,-,-,447,373,-,-,-,-,-,0,"2,53","19,85"
player_967,"ME (D), MP (DC), DL (C)",6 (26),1.024,-,-,-,-,-,-,360,304,-,-,-,-,-,0,"5,89","16,35"
player_968,"MC, ME (C)",18 (19),1.655,-,-,-,-,-,-,930,815,-,-,-,-,-,0,"11,53","7,83"
player_969,POR,36,3.132,56,"-5,77",33,26,70%,74,786,526,6,89%,3,1,33%,1,"2,73","8,71"
player_970,DF/CR (I),40 (1),3.618,-,-,-,-,-,-,1.797,1.554,-,-,-,-,-,0,"9,88","16,27"
player_971,"ME (C), MP (DC), DL (C)",22 (5),1.981,-,-,-,-,-,-,955,848,-,-,-,-,-,0,"12,45","11,45"
player_972,DL (C),24 (7),1.821,-,-,-,-,-,-,442,387,-,-,-,-,-,0,"1,33","23,08"
player_973,"MP (DIC), DL (C)",1 (6),160,-,-,-,-,-,-,42,31,-,-,-,-,-,0,"1,12","17,44"
player_974,"MC, ME/MP (C)",29 (1),2.201,-,-,-,-,-,-,766,645,-,-,-,-,-,0,"12,8","15,87"
player_975,"ME (D), MP (DC)",41,2.925,-,-,-,-,-,-,1.009,845,-,-,-,-,-,0,"12,18","15,14"
player_976,DF/CR/ME/MP (I),28,2.450,-,-,-,-,-,-,1.287,1.082,-,-,-,-,-,0,"14,4","11,53"
player_977,POR,34,3.060,44,"-3,46",5,6,58%,14,717,435,9,86%,0,0,-,0,"1,06","2,53"
player_978,MP (DIC),34,2.744,-,-,-,-,-,-,699,518,-,-,-,-,-,0,"1,05","4,59"
player_979,"DF (DC), CR (D)",37,3.275,-,-,-,-,-,-,1.698,1.528,-,-,-,-,-,0,"15,39","10,99"
player_980,"ME (DI), MP (DIC)",6 (22),880,-,-,-,-,-,-,308,254,-,-,-,-,-,0,"4,19","21,99"
player_981,POR,31,2.790,23,"8,09",17,9,75%,45,742,466,13,88%,2,0,0%,0,"6,32","4,94"
player_982,POR,35,3.109,40,"1,5",21,19,73%,68,832,593,6,88%,3,1,25%,0,"3,47","7,67"
player_983,POR,40,3.575,26,"11,68",21,15,78%,58,877,608,19,89%,2,0,0%,0,"4,81","6,85"
player_984,"DF (IC), CR/ME (I)",6 (3),609,-,-,-,-,-,-,309,278,-,-,-,-,-,0,"12,12","13,74"
player_985,DF/CR/ME/MP (I),33,2.881,-,-,-,-,-,-,1.476,1.293,-,-,-,-,-,0,"13,53","13,03"
player_986,"DF (C), MC",41,3.145,-,-,-,-,-,-,1.882,1.731,-,-,-,-,-,0,"17,86","2,17"
player_987,"CR/ME/MP (D), DL (C)",32,2.436,-,-,-,-,-,-,620,521,-,-,-,-,-,0,"2,44","18,55"
player_988,"MC, ME (C)",0 (3),76,-,-,-,-,-,-,46,38,-,-,-,-,-,0,"9,47","8,29"
player_989,"DF (DI), CR (D)",11 (9),948,-,-,-,-,-,-,492,408,-,-,-,-,-,0,"12,25","12,44"
player_990,DF/CR/ME/MP (I),34,2.832,-,-,-,-,-,-,1.463,1.255,-,-,-,-,-,0,"11,44","14,59"
player_991,"MP (C), DL (C)",0 (13),283,-,-,-,-,-,-,83,70,-,-,-,-,-,0,"5,09","20,99"
player_992,DF (C),25,2.152,-,-,-,-,-,-,1.328,1.172,-,-,-,-,-,0,"14,64","3,64"
player_993,"DF (C), MC, ME (C)",16 (17),1.363,-,-,-,-,-,-,781,687,-,-,-,-,-,0,"8,19","9,31"
player_994,DF (C),16 (3),1.501,-,-,-,-,-,-,917,834,-,-,-,-,-,0,"12,59","3,12"
player_995,DF (C),35,3.128,-,-,-,-,-,-,2.044,1.748,-,-,-,-,-,0,"18,13","2,73"
player_996,"DF (DC), MC, ME (C)",11 (11),1.295,-,-,-,-,-,-,748,648,-,-,-,-,-,0,"11,88","7,64"
player_997,"DF (IC), CR (I)",23 (12),2.022,-,-,-,-,-,-,1.018,918,-,-,-,-,-,0,"11,48","8,81"
player_998,"ME (I), MP (IC), DL (C)",16,1.165,-,-,-,-,-,-,390,326,-,-,-,-,-,0,"5,95","16,38"
player_999,"ME (IC), MP (DIC)",31,2.356,-,-,-,-,-,-,849,706,-,-,-,-,-,0,"7,18","13,87"
player_1000,"DF (C), MC, ME (C)",39,3.364,-,-,-,-,-,-,1.956,1.764,-,-,-,-,-,0,"14,77","3,08"
player_1001,"MC, ME (C)",26,2.281,-,-,-,-,-,-,1.147,1.009,-,-,-,-,-,0,"12,51","16,1"
player_1002,DF/CR/ME/MP (D),34,2.977,-,-,-,-,-,-,1.475,1.266,-,-,-,-,-,0,"12,67","14,03"
player_1003,"MP (C), DL (C)",0 (22),512,-,-,-,-,-,-,134,118,-,-,-,-,-,0,"0,7","19,86"
player_1004,"MC, ME/MP (IC)",31 (1),2.122,-,-,-,-,-,-,1.187,1.060,-,-,-,-,-,0,"10,09","7,46"
player_1005,DF (C),30 (1),2.638,-,-,-,-,-,-,1.752,1.597,-,-,-,-,-,0,"12,38","3,51"
player_1006,POR,1,90,2,"-1,23",0,0,50%,2,29,14,0,83%,2,0,-,0,3,6
player_1007,ME/MP (DI),2 (24),403,-,-,-,-,-,-,146,124,-,-,-,-,-,0,"1,34","18,09"
player_1008,POR,30,2.376,23,"9,77",13,19,78%,48,580,417,14,85%,3,1,50%,0,"3,56","7,08"
player_1009,"DF/CR (D), MC, ME (C)",31,2.307,-,-,-,-,-,-,1.145,964,-,-,-,-,-,0,"11,16","16,62"
player_1010,"MP (I), DL (C)",34,2.602,-,-,-,-,-,-,901,778,-,-,-,-,-,0,"3,11","17,74"
player_1011,"MC, ME (C)",33 (1),2.384,-,-,-,-,-,-,1.348,1.202,-,-,-,-,-,0,"12,8","5,21"
player_1012,CR/ME/MP (I),1 (6),165,-,-,-,-,-,-,55,46,-,-,-,-,-,0,"3,82","19,09"
player_1013,"MP (I), DL (C)",2 (8),276,-,-,-,-,-,-,85,71,-,-,-,-,-,0,"3,26","20,87"
