Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
player_834,30/6/2025,7.500 EUR p/m,N/D,N/D,Jerome Bousquet,325m EUR - 1M EUR,-,-,"1,1M EUR"
player_835,30/6/2027,9.500 EUR p/m,N/D,N/D,Marcos Arino,"950m EUR - 2,2M EUR",-,-,-
player_836,30/6/2024,1.800 EUR p/m,N/D,N/D,Humberto Guijarro,500 EUR - 3m EUR,-,-,275m EUR
player_837,30/6/2026,15.500 EUR p/m,N/D,N/D,Xavi Aguirre,"220m EUR - 2,2M EUR",-,-,"3,6M EUR"
player_838,30/6/2026,15.000 EUR p/m,N/D,N/D,Dolores Muniz,"350m EUR - 1,1M EUR",-,-,3M EUR
player_839,30/6/2026,8.500 EUR p/m,N/D,N/D,Javier da Silva,"180m EUR - 1,8M EUR",-,-,"1,5M EUR"
player_840,30/6/2026,11.000 EUR p/m,N/D,N/D,Javi Barbero,200m EUR - 2M EUR,-,-,"6,25M EUR"
player_841,30/6/2025,12.250 EUR p/m,N/D,N/D,Dolores Muniz,"600m EUR - 1,3M EUR",-,-,"1,5M EUR"
player_842,30/6/2025,9.000 EUR p/m,N/D,N/D,Edu Dieste,2m EUR - 18m EUR,-,-,63m EUR
player_843,30/6/2024,6.250 EUR p/m,N/D,N/D,Daniel Fink,500 EUR - 3m EUR,-,-,400m EUR
player_844,30/6/2025,12.750 EUR p/m,N/D,N/D,Quim Guillen,"160m EUR - 1,6M EUR",-,-,"2,3M EUR"
player_845,30/6/2026,14.250 EUR p/m,N/D,N/D,Dennis Cowling,"2,3M EUR - 4,9M EUR",-,-,"4,3M EUR"
player_846,30/6/2026,9.000 EUR p/m,N/D,N/D,Antonio Marcen,275m EUR - 900m EUR,-,-,"1,5M EUR"
player_847,30/6/2025,12.250 EUR p/m,N/D,N/D,Daniel Abal,"190m EUR - 1,9M EUR",-,-,"2,1M EUR"
player_848,30/6/2025,1.600 EUR p/m,N/D,N/D,Jose Andres Dominguez,10m EUR - 100m EUR,-,-,225m EUR
player_849,30/6/2025,12.000 EUR p/m,N/D,N/D,Javier Llaneza,75m EUR - 750m EUR,-,-,"1,8M EUR"
player_850,30/6/2025,14.500 EUR p/m,N/D,N/D,Julian Guillen,14m EUR - 140m EUR,-,-,"6,5M EUR"
player_851,30/6/2026,13.250 EUR p/m,N/D,N/D,Dolores Muniz,200m EUR - 2M EUR,-,-,2M EUR
player_852,30/6/2026,10.500 EUR p/m,N/D,N/D,Pablo Fernandez,200m EUR - 2M EUR,-,-,"2,7M EUR"
player_853,30/6/2024,23.000 EUR p/m,N/D,N/D,Antonio Marcen,0EUR,-,-,275m EUR
player_854,30/6/2027,13.750 EUR p/m,N/D,N/D,Santiago Berrocal,"2M EUR - 4,2M EUR",-,-,"6,25M EUR"
player_855,30/6/2025,12.750 EUR p/m,N/D,N/D,Daniel Rodriguez,"350m EUR - 3,5M EUR",-,-,"2,2M EUR"
player_856,30/6/2026,6.500 EUR p/m,N/D,N/D,Quim Guillen,85m EUR - 850m EUR,-,-,"1,3M EUR"
player_857,30/6/2026,14.250 EUR p/m,N/D,N/D,Marcos Arino,45m EUR - 475m EUR,-,-,"1,9M EUR"
player_858,30/6/2027,8.750 EUR p/m,N/D,N/D,Daniel Abal,75m EUR - 750m EUR,-,-,"1,4M EUR"
player_859,30/6/2025,11.000 EUR p/m,N/D,N/D,Javier da Silva,"170m EUR - 1,7M EUR",-,-,"1,7M EUR"
player_860,30/6/2024,15.250 EUR p/m,N/D,N/D,Humberto Guijarro,0 EUR - 28m EUR,-,-,"1,4M EUR"
player_861,30/6/2027,13.000 EUR p/m,N/D,N/D,Javi Barbero,80m EUR - 800m EUR,-,-,"3,3M EUR"
player_862,30/6/2026,8.750 EUR p/m,N/D,N/D,Daniel Martin Garcia,75m EUR - 750m EUR,-,-,525m EUR
player_863,30/6/2026,7.500 EUR p/m,N/D,N/D,Santiago Berrocal,0 EUR - 120m EUR,-,-,575m EUR
player_864,30/6/2025,13.250 EUR p/m,N/D,N/D,Marcos Arino,110m EUR - 325m EUR,-,-,975m EUR
player_865,30/6/2024,7.500 EUR p/m,N/D,N/D,Ignacio Tinoco,0EUR,-,-,725m EUR
player_866,30/6/2026,12.500 EUR p/m,N/D,N/D,Daniel Martin Garcia,"140m EUR - 1,4M EUR",-,-,"1,8M EUR"
player_867,30/6/2025,22.500 EUR p/m,N/D,N/D,Humberto Guijarro,"325m EUR - 3,2M EUR",-,-,"3,8M EUR"
player_868,30/6/2026,11.000 EUR p/m,N/D,N/D,Marc Montalban,"240m EUR - 2,4M EUR",-,-,7M EUR
player_869,30/6/2026,14.000 EUR p/m,N/D,N/D,Edu Dieste,No a la venta,-,-,"1,3M EUR"
player_870,30/6/2024,10.250 EUR p/m,N/D,N/D,Marc Montalban,0 EUR - 22m EUR,-,-,950m EUR
player_871,30/6/2025,9.750 EUR p/m,N/D,N/D,Xavi Aguirre,"2,3M EUR - 4,9M EUR",-,-,"4,6M EUR"
player_872,30/6/2025,23.000 EUR p/m,N/D,N/D,Javi Barbero,"240m EUR - 2,4M EUR",-,-,"4,7M EUR"
player_873,30/6/2026,8.250 EUR p/m,N/D,N/D,Daniel Rodriguez,"230m EUR - 2,3M EUR",-,-,"1,4M EUR"
player_874,30/6/2025,8.500 EUR p/m,N/D,N/D,Xavi Aguirre,"140m EUR - 1,4M EUR",-,-,"2,5M EUR"
player_875,30/6/2027,13.750 EUR p/m,N/D,N/D,Quim Guillen,"250m EUR - 2,6M EUR",-,-,"2,7M EUR"
player_876,30/6/2024,11.500 EUR p/m,N/D,N/D,Alfredo Orti,10m EUR - 35m EUR,-,-,"2,1M EUR"
player_877,30/6/2024,5.500 EUR p/m,N/D,N/D,Julian Guillen,0 EUR - 30m EUR,-,-,-
player_878,30/6/2027,37.500 EUR p/m,N/D,N/D,Antonio Marcen,"1M EUR - 2,2M EUR",-,-,"2,2M EUR"
player_879,30/6/2026,14.000 EUR p/m,N/D,N/D,Dolors Acevedo,75m EUR - 750m EUR,-,-,"1,7M EUR"
player_880,30/6/2025,14.500 EUR p/m,N/D,N/D,Quim Guillen,40m EUR - 400m EUR,-,-,45M EUR
player_881,30/6/2026,3.800 EUR p/m,N/D,N/D,Jose Andres Dominguez,"4M EUR - 8,2M EUR",-,-,20M EUR
player_882,30/6/2025,29.000 EUR p/m,N/D,N/D,Jose Antonio Corbacho,18m EUR - 60m EUR,-,-,"1,2M EUR"
player_883,30/6/2024,7.500 EUR p/m,N/D,N/D,Sung-Ho Park,"500 EUR - 3,5m EUR",-,-,775m EUR
player_884,30/6/2024,12.250 EUR p/m,N/D,N/D,Juan Cano,0EUR,-,-,975m EUR
player_885,30/6/2025,25.000 EUR p/m,N/D,N/D,Yannis Thomas,75m EUR - 750m EUR,-,-,2M EUR
player_886,30/6/2025,14.500 EUR p/m,N/D,N/D,Marcos Arino,"190m EUR - 1,9M EUR",-,-,"2,7M EUR"
player_887,30/6/2025,21.000 EUR p/m,N/D,N/D,Juan Cano,100m EUR - 1M EUR,-,-,-
player_888,30/6/2025,625 EUR p/m,N/D,N/D,Rodrigo Casanova,0 EUR - 70m EUR,-,-,91m EUR
player_889,30/6/2024,16.000 EUR p/m,N/D,N/D,Santiago Berrocal,"1,4M EUR - 3,1M EUR",-,-,4M EUR
player_890,30/6/2025,15.250 EUR p/m,N/D,N/D,Rodrigo Casanova,600m EUR - 6M EUR,-,-,10M EUR
player_891,12/1/2025,36.500 EUR p/m,N/D,N/D,Tony Hurst,"425m EUR - 4,4M EUR",-,-,-
player_892,30/6/2026,25.000 EUR p/m,N/D,N/D,Hermann Lascaux,"170m EUR - 1,7M EUR",-,-,-
player_893,30/6/2024,14.000 EUR p/m,N/D,N/D,Jose Antonio Corbacho,0EUR,-,-,145m EUR
player_894,30/6/2028,30.500 EUR p/m,N/D,N/D,Jose Andres Dominguez,"10,5M EUR - 12,5M EUR",-,-,-
player_895,30/6/2025,8.000 EUR p/m,N/D,N/D,Alvaro Trigo,100m EUR - 1M EUR,-,-,"3,8M EUR"
player_896,30/6/2025,5.500 EUR p/m,N/D,N/D,Jarno Kauppinen,18m EUR - 180m EUR,-,-,-
player_897,30/6/2024,14.500 EUR p/m,N/D,N/D,Pablo Fernandez,16m EUR - 50m EUR,-,-,2M EUR
player_898,30/6/2026,11.500 EUR p/m,N/D,N/D,David Hervas,"950m EUR - 2,1M EUR",-,-,"3,6M EUR"
player_899,30/6/2025,14.750 EUR p/m,N/D,N/D,Ignacio Tinoco,22m EUR - 230m EUR,-,-,130m EUR
player_900,30/6/2024,15.250 EUR p/m,N/D,N/D,Flavien Cazaux,0EUR,-,-,"1,7M EUR"
player_901,30/6/2027,38.000 EUR p/m,N/D,N/D,Santiago Berrocal,"5,4M EUR - 7M EUR",-,-,"9,25M EUR"
player_902,30/6/2024,9.000 EUR p/m,N/D,N/D,Ernesto Cabrera,40m EUR - 400m EUR,-,-,"1,5M EUR"
player_903,30/6/2025,7.500 EUR p/m,N/D,N/D,Daniel Abal,"230m EUR - 2,3M EUR",-,-,"1,5M EUR"
player_904,30/6/2024,3.700 EUR p/m,N/D,N/D,Ignacio Tinoco,"1,5m EUR - 5m EUR",-,-,275m EUR
player_905,30/6/2025,13.750 EUR p/m,N/D,N/D,Alfredo Orti,80m EUR - 800m EUR,-,-,"2,8M EUR"
player_906,30/6/2024,2.200 EUR p/m,N/D,N/D,Oleg Baizhanov,0 EUR - 10m EUR,-,-,245m EUR
player_907,30/6/2028,10.750 EUR p/m,N/D,N/D,Chris Franssen,"450m EUR - 4,6M EUR",-,-,"4,6M EUR"
player_908,30/6/2025,12.750 EUR p/m,N/D,N/D,Julian Guillen,85m EUR - 850m EUR,-,-,"5,25M EUR"
player_909,30/6/2026,7.250 EUR p/m,N/D,N/D,Santiago Berrocal,300m EUR - 950m EUR,-,-,"1,4M EUR"
player_910,30/6/2025,12.500 EUR p/m,N/D,N/D,Ramon Siles,24m EUR - 250m EUR,-,-,825m EUR
player_911,30/6/2026,9.750 EUR p/m,N/D,N/D,Alfredo Orti,45m EUR - 450m EUR,-,-,450m EUR
player_912,30/6/2026,17.000 EUR p/m,N/D,N/D,Artem Kravets,"1,3M EUR - 2,9M EUR",-,-,"2,5M EUR"
player_913,31/12/2024,1.100 EUR p/m,N/D,N/D,Xavi Aguirre,"425m EUR - 1,3M EUR",-,-,-
player_914,30/6/2025,7.500 EUR p/m,N/D,N/D,Antonio Vargas,"210m EUR - 2,1M EUR",-,-,"1,4M EUR"
player_915,30/6/2027,18.500 EUR p/m,N/D,N/D,Antonio Marcen,"325m EUR - 3,4M EUR",-,-,"5,75M EUR"
player_916,30/6/2024,7.500 EUR p/m,N/D,N/D,Antonio Marcen,14m EUR - 45m EUR,-,-,"1,1M EUR"
player_917,30/6/2024,11.250 EUR p/m,N/D,N/D,Daniel Martin Garcia,0 EUR - 45m EUR,-,-,-
player_918,30/6/2024,7.750 EUR p/m,N/D,N/D,Antonio Marcen,0 EUR - 65m EUR,-,-,"1,5M EUR"
player_919,30/6/2026,7.000 EUR p/m,N/D,N/D,Gabri Villar,No a la venta,-,-,-
player_920,30/6/2024,13.000 EUR p/m,N/D,N/D,Juan Cano,0EUR,-,-,425m EUR
player_921,30/6/2024,15.000 EUR p/m,N/D,N/D,Daniel Abal,0EUR,-,-,250m EUR
player_922,30/6/2024,5.500 EUR p/m,N/D,N/D,Amer Mahmoud,0EUR,-,-,145m EUR
player_923,30/6/2025,11.500 EUR p/m,N/D,N/D,Dolores Muniz,85m EUR - 850m EUR,-,-,2M EUR
player_924,30/6/2025,7.500 EUR p/m,N/D,N/D,Ernesto Cabrera,40m EUR - 375m EUR,-,-,-
player_925,31/12/2024,900 EUR p/m,N/D,N/D,Alexander Morales,22m EUR - 70m EUR,-,-,-
player_926,30/6/2026,11.250 EUR p/m,N/D,N/D,Quim Guillen,35m EUR - 350m EUR,-,-,"3,3M EUR"
player_927,30/6/2025,11.750 EUR p/m,N/D,N/D,Daniel Rodriguez,200m EUR - 650m EUR,-,-,"1,9M EUR"
player_928,30/6/2024,4.900 EUR p/m,N/D,N/D,Edu Dieste,"500 EUR - 4,5m EUR",-,-,-
player_929,30/6/2027,66.000 EUR p/m,N/D,N/D,Jose Luis Ramos,"8M EUR - 9,8M EUR",-,-,14M EUR
player_930,30/6/2026,12.750 EUR p/m,N/D,N/D,Javier Llaneza,"130m EUR - 1,3M EUR",-,-,"2,2M EUR"
player_931,30/6/2025,14.500 EUR p/m,N/D,N/D,Dolores Muniz,"240m EUR - 2,4M EUR",-,-,"1,8M EUR"
player_932,30/6/2024,11.500 EUR p/m,N/D,N/D,Pablo Fernandez,7m EUR - 22m EUR,-,-,"1,3M EUR"
player_933,30/6/2026,15.000 EUR p/m,N/D,N/D,Li Tao,325m EUR - 1M EUR,-,-,1M EUR
player_934,30/6/2026,9.000 EUR p/m,N/D,N/D,Alfredo Orti,No a la venta,-,-,700m EUR
player_935,30/6/2024,14.500 EUR p/m,N/D,N/D,Edu Dieste,0EUR,-,-,375m EUR
player_936,30/6/2025,17.750 EUR p/m,N/D,N/D,Julian Guillen,"2,4M EUR - 5,2M EUR",-,-,50M EUR
player_937,30/6/2025,11.750 EUR p/m,N/D,N/D,Javier da Silva,"900m EUR - 9,2M EUR",-,-,10M EUR
player_938,30/6/2025,13.750 EUR p/m,N/D,N/D,Ignacio Tinoco,95m EUR - 300m EUR,-,-,525m EUR
player_939,30/6/2026,11.250 EUR p/m,N/D,N/D,Alvaro Trigo,90m EUR - 900m EUR,-,-,"2,5M EUR"
player_940,30/6/2025,10.750 EUR p/m,N/D,N/D,Daniel Rodriguez,70m EUR - 700m EUR,-,-,"1,8M EUR"
player_941,30/6/2025,10.250 EUR p/m,N/D,N/D,Xavi Aguirre,"475m EUR - 1,5M EUR",-,-,"1,8M EUR"
player_942,30/6/2025,10.750 EUR p/m,N/D,N/D,Edu Dieste,7m EUR - 65m EUR,-,-,550m EUR
player_943,30/6/2024,10.000 EUR p/m,N/D,N/D,Antonio Marcen,0 EUR - 45m EUR,-,-,-
player_944,30/6/2025,11.000 EUR p/m,N/D,N/D,Kostas Stylianou,75m EUR,-,-,"1,3M EUR"
player_945,30/6/2027,14.250 EUR p/m,N/D,N/D,Ernesto Cabrera,85m EUR - 850m EUR,-,-,"1,9M EUR"
player_946,30/6/2024,9.750 EUR p/m,N/D,N/D,Gabri Villar,10m EUR - 30m EUR,-,-,"1,3M EUR"
player_947,30/6/2024,11.250 EUR p/m,N/D,N/D,Alfredo Orti,0EUR,-,-,425m EUR
player_948,30/6/2024,6.750 EUR p/m,N/D,N/D,Kostas Stylianou,0EUR,-,-,300m EUR
player_949,30/6/2025,9.750 EUR p/m,N/D,N/D,Quim Guillen,"475m EUR - 1,5M EUR",-,-,"1,3M EUR"
player_950,30/6/2026,15.750 EUR p/m,N/D,N/D,Humberto Guijarro,90m EUR - 900m EUR,-,-,"1,9M EUR"
player_951,30/6/2026,7.750 EUR p/m,N/D,N/D,Antonio Valiente,"110m EUR - 1,1M EUR",-,-,"1,1M EUR"
player_952,30/6/2024,14.000 EUR p/m,N/D,N/D,Juan Cano,0 EUR - 1m EUR,-,-,750m EUR
player_953,30/6/2026,16.250 EUR p/m,N/D,N/D,Alfredo Orti,No a la venta,-,-,225m EUR
player_954,30/6/2027,12.250 EUR p/m,N/D,N/D,Daniel Martin Garcia,"140m EUR - 1,4M EUR",-,-,"2,1M EUR"
player_955,30/6/2025,25.000 EUR p/m,N/D,N/D,Dolors Acevedo,160m EUR - 500m EUR,-,-,325m EUR
player_956,30/6/2025,19.000 EUR p/m,N/D,N/D,Kostas Stylianou,24m EUR - 240m EUR,-,-,245m EUR
player_957,30/6/2025,9.000 EUR p/m,N/D,N/D,Jose Antonio Corbacho,75m EUR,-,-,925m EUR
player_958,30/6/2026,17.750 EUR p/m,N/D,N/D,Marcos Arino,"190m EUR - 1,9M EUR",-,-,"2,2M EUR"
player_959,30/6/2025,13.000 EUR p/m,N/D,N/D,Marc Montalban,"240m EUR - 2,4M EUR",-,-,8M EUR
player_960,30/6/2024,9.000 EUR p/m,N/D,N/D,Javier Llaneza,0EUR,-,-,"1,5M EUR"
player_961,30/6/2027,13.750 EUR p/m,N/D,N/D,Quim Guillen,"650m EUR - 1,4M EUR",-,-,"1,5M EUR"
player_962,30/6/2026,10.000 EUR p/m,N/D,N/D,Javier Llaneza,14m EUR - 150m EUR,-,-,375m EUR
player_963,30/6/2026,11.750 EUR p/m,N/D,N/D,Antonio Vargas,"190m EUR - 1,9M EUR",-,-,"1,8M EUR"
player_964,30/6/2025,4.500 EUR p/m,N/D,N/D,Geovane Soares,45m EUR - 450m EUR,-,-,600m EUR
player_965,30/6/2025,23.000 EUR p/m,N/D,N/D,Antonio Jose Albarran,100m EUR - 1M EUR,-,-,400M EUR
player_966,30/6/2025,9.750 EUR p/m,N/D,N/D,Marc Montalban,35m EUR - 350m EUR,-,-,6M EUR
player_967,30/6/2025,5.500 EUR p/m,N/D,N/D,Antonio Marcen,35m EUR - 325m EUR,-,-,350m EUR
player_968,30/6/2026,10.750 EUR p/m,N/D,N/D,Daniel Abal,"120m EUR - 1,2M EUR",-,-,"1,6M EUR"
player_969,30/6/2026,12.500 EUR p/m,N/D,N/D,Antonio Vargas,600m EUR - 6M EUR,-,-,"4,3M EUR"
player_970,30/6/2027,11.000 EUR p/m,N/D,N/D,Daniel Abal,"140m EUR - 1,4M EUR",-,-,"1,1M EUR"
player_971,30/6/2025,22.000 EUR p/m,N/D,N/D,Daniel Abal,140m EUR - 450m EUR,-,-,300m EUR
player_972,30/6/2024,1.300 EUR p/m,N/D,N/D,Javi Barbero,0 EUR - 6m EUR,-,-,150m EUR
player_973,30/6/2028,8.500 EUR p/m,N/D,N/D,Julio Cesar Rodriguez,"130m EUR - 1,3M EUR",-,-,"2,6M EUR"
player_974,30/6/2026,5.250 EUR p/m,N/D,N/D,Jose Antonio Corbacho,No a la venta,-,-,-
player_975,30/6/2028,24.500 EUR p/m,N/D,N/D,Quim Guillen,"140m EUR - 1,4M EUR",-,-,"3,4M EUR"
player_976,30/6/2026,22.000 EUR p/m,N/D,N/D,Daniel Martin Garcia,No a la venta,-,-,525m EUR
player_977,30/6/2026,5.500 EUR p/m,N/D,N/D,Juan Cano,45m EUR,-,-,675m EUR
player_978,30/6/2025,13.500 EUR p/m,N/D,N/D,Juan Cano,85m EUR - 850m EUR,-,-,50M EUR
player_979,30/6/2024,5.000 EUR p/m,N/D,N/D,David Hervas,3m EUR - 10m EUR,-,-,"1,1M EUR"
player_980,30/6/2024,10.750 EUR p/m,N/D,N/D,Jose Antonio Corbacho,0EUR,-,-,"1,3M EUR"
player_981,30/6/2025,26.500 EUR p/m,N/D,N/D,Daniel Martin Garcia,40m EUR - 400m EUR,-,-,475m EUR
player_982,30/6/2024,6.500 EUR p/m,N/D,N/D,Daniel Abal,500 EUR - 4m EUR,-,-,400m EUR
player_983,30/6/2025,8.000 EUR p/m,N/D,N/D,Xavi Aguirre,"140m EUR - 1,4M EUR",-,-,50M EUR
player_984,30/6/2026,9.000 EUR p/m,N/D,N/D,Dolors Acevedo,30m EUR - 325m EUR,-,-,775m EUR
player_985,30/6/2026,20.500 EUR p/m,N/D,N/D,Daniel Martin Garcia,0 EUR - 100m EUR,-,-,425m EUR
player_986,30/6/2025,23.000 EUR p/m,N/D,N/D,Dolores Muniz,"1,1M EUR - 2,5M EUR",-,-,"2,2M EUR"
player_987,30/6/2024,4.300 EUR p/m,N/D,N/D,Jose Luis Ramos,0 EUR - 14m EUR,-,-,-
player_988,30/6/2025,9.750 EUR p/m,N/D,N/D,Xavi Aguirre,"240m EUR - 2,4M EUR",-,-,50M EUR
player_989,30/6/2026,12.000 EUR p/m,N/D,N/D,Pablo Fernandez,"150m EUR - 1,5M EUR",-,-,"1,1M EUR"
player_990,30/6/2025,9.000 EUR p/m,N/D,N/D,Quim Guillen,100m EUR - 1M EUR,-,-,"1,3M EUR"
player_991,30/6/2024,8.500 EUR p/m,N/D,N/D,Alfredo Orti,1m EUR - 4m EUR,-,-,-
player_992,30/6/2026,7.500 EUR p/m,N/D,N/D,Javier da Silva,"140m EUR - 1,4M EUR",-,-,"1,1M EUR"
player_993,30/6/2028,46.500 EUR p/m,N/D,N/D,Leandro Faria Silva,"350m EUR - 3,4M EUR",-,-,"9,75M EUR"
player_994,30/6/2026,14.250 EUR p/m,N/D,N/D,Dolores Muniz,"800m EUR - 1,8M EUR",-,-,"2,2M EUR"
player_995,30/6/2026,11.750 EUR p/m,N/D,N/D,Daniel Rodriguez,"120m EUR - 1,2M EUR",-,-,"1,8M EUR"
player_996,30/6/2025,5.750 EUR p/m,N/D,N/D,Dolors Acevedo,60m EUR - 600m EUR,-,-,475m EUR
player_997,30/6/2026,14.250 EUR p/m,N/D,N/D,Pablo Fernandez,"220m EUR - 2,2M EUR",-,-,"2,2M EUR"
player_998,30/6/2027,9.750 EUR p/m,N/D,N/D,Xavi Aguirre,"275m EUR - 2,6M EUR",-,-,"2,4M EUR"
player_999,30/6/2024,15.250 EUR p/m,N/D,N/D,Santiago Berrocal,65m EUR - 650m EUR,-,-,"5,25M EUR"
player_1000,30/6/2024,8.000 EUR p/m,N/D,N/D,Daniel Abal,0 EUR - 16m EUR,-,-,700m EUR
player_1001,30/6/2026,21.500 EUR p/m,N/D,N/D,-,0 EUR - 65m EUR,-,-,175m EUR
player_1002,30/6/2024,8.500 EUR p/m,N/D,N/D,Daniel Rodriguez,2m EUR - 6m EUR,-,-,-
player_1003,30/6/2024,9.000 EUR p/m,N/D,N/D,Jose Antonio Corbacho,0 EUR - 5m EUR,-,-,1M EUR
player_1004,30/6/2024,11.750 EUR p/m,N/D,N/D,Daniel Martin Garcia,0EUR,-,-,180m EUR
player_1005,30/6/2025,10.250 EUR p/m,N/D,N/D,Alfredo Orti,120m EUR - 375m EUR,-,-,975m EUR
player_1006,30/6/2028,7.500 EUR p/m,N/D,N/D,Antonio Valiente,"190m EUR - 1,9M EUR",-,-,"2,2M EUR"
player_1007,30/6/2027,13.250 EUR p/m,N/D,N/D,Alvaro Trigo,"240m EUR - 2,4M EUR",-,-,4M EUR
player_1008,30/6/2024,10.000 EUR p/m,N/D,N/D,Edu Dieste,0 EUR - 18m EUR,-,-,550m EUR
player_1009,30/6/2026,16.750 EUR p/m,N/D,N/D,Edu Dieste,No a la venta,-,-,190m EUR
player_1010,30/6/2024,4.000 EUR p/m,N/D,N/D,Daniel Martin Garcia,3m EUR - 10m EUR,-,-,325m EUR
player_1011,30/6/2025,15.250 EUR p/m,N/D,N/D,David Hervas,60m EUR - 600m EUR,-,-,"3,2M EUR"
player_1012,30/6/2024,9.000 EUR p/m,N/D,N/D,Marcos Arino,0EUR,-,-,675m EUR
player_1013,30/6/2024,7.500 EUR p/m,N/D,N/D,Daniel Abal,0 EUR - 35m EUR,-,-,825m EUR
player_1014,30/6/2025,1.300 EUR p/m,N/D,N/D,Antonio Vargas,18m EUR - 180m EUR,-,-,225m EUR
player_1015,30/6/2026,9.750 EUR p/m,N/D,N/D,Gabri Villar,"120m EUR - 1,2M EUR",-,-,"1,1M EUR"
player_1016,30/6/2025,3.500 EUR p/m,N/D,N/D,Antonio Vargas,"240m EUR - 2,4M EUR",-,-,"3,3M EUR"
player_1017,30/6/2025,6.750 EUR p/m,N/D,N/D,Marc Montalban,35m EUR - 350m EUR,-,-,"2,1M EUR"
player_1018,30/6/2026,7.500 EUR p/m,N/D,N/D,Iago Menendez,"180m EUR - 1,8M EUR",-,-,"3,9M EUR"
player_1019,30/6/2025,16.250 EUR p/m,N/D,N/D,Ramon Siles,35m EUR - 375m EUR,-,-,725m EUR
player_1020,30/6/2027,10.250 EUR p/m,N/D,N/D,Xavi Aguirre,55m EUR - 550m EUR,-,-,"1,3M EUR"
player_1021,30/6/2027,13.750 EUR p/m,N/D,N/D,Jose Andres Dominguez,"190m EUR - 1,9M EUR",-,-,"3,1M EUR"
player_1022,30/6/2026,19.500 EUR p/m,N/D,N/D,Ignacio Tinoco,16m EUR - 160m EUR,-,-,350m EUR
player_1023,30/6/2024,20.000 EUR p/m,N/D,N/D,Jose Antonio Corbacho,0EUR,-,-,925m EUR
player_1024,30/6/2024,11.250 EUR p/m,N/D,N/D,Dolors Acevedo,0EUR,-,-,71m EUR
player_1025,30/6/2025,23.000 EUR p/m,N/D,N/D,Julian Guillen,100m EUR - 1M EUR,-,-,400M EUR
player_1026,30/6/2025,8.000 EUR p/m,N/D,N/D,Antonio Valiente,"1M EUR - 2,2M EUR",-,-,50M EUR
player_1027,30/6/2025,1.800 EUR p/m,N/D,N/D,Prosper Adams,55m EUR - 550m EUR,-,-,450m EUR
player_1028,30/6/2028,21.500 EUR p/m,N/D,N/D,Antonio Vargas,"160m EUR - 1,6M EUR",-,-,"3,5M EUR"
player_1029,30/6/2024,11.500 EUR p/m,N/D,N/D,Marc Montalban,4m EUR - 40m EUR,-,-,"11,5M EUR"
player_1030,30/6/2026,7.500 EUR p/m,N/D,N/D,Xavi Aguirre,"150m EUR - 1,5M EUR",-,-,"3,3M EUR"
player_1031,30/6/2024,1.700 EUR p/m,N/D,N/D,Dolors Acevedo,"0 EUR - 4,5m EUR",-,-,450m EUR
player_1032,30/6/2026,19.500 EUR p/m,N/D,N/D,Ernesto Cabrera,16m EUR - 160m EUR,-,-,325m EUR
player_1033,30/6/2025,7.500 EUR p/m,N/D,N/D,Antonio Marcen,"120m EUR - 1,2M EUR",-,-,"1,1M EUR"
player_1034,31/12/2027,12.500 EUR p/m,N/D,N/D,Abdoulaye Seck,"18m EUR - 8,8M EUR",-,-,-
player_1035,30/6/2026,8.500 EUR p/m,N/D,N/D,Dolors Acevedo,180m EUR - 600m EUR,-,-,500m EUR
player_1036,30/6/2026,11.250 EUR p/m,N/D,N/D,Daniel Abal,14m EUR - 140m EUR,-,-,350m EUR
player_1037,30/6/2025,10.750 EUR p/m,N/D,N/D,Dolores Muniz,300m EUR - 900m EUR,-,-,"1,1M EUR"
player_1038,30/6/2027,9.000 EUR p/m,N/D,N/D,Santiago Berrocal,"2,6M EUR - 5,6M EUR",-,-,50M EUR
player_1039,30/6/2025,1.300 EUR p/m,N/D,N/D,Alvaro Trigo,"4,5m EUR - 45m EUR",-,-,195m EUR
player_1040,31/12/2026,50.500 EUR p/m,N/D,N/D,Dalibor Budimir,"3,3M EUR - 6,8M EUR",-,-,-
player_1041,30/6/2025,14.000 EUR p/m,N/D,N/D,Daniel Rodriguez,"160m EUR - 1,6M EUR",-,-,"1,5M EUR"
player_1042,30/6/2027,8.750 EUR p/m,N/D,N/D,Xavi Aguirre,"130m EUR - 1,3M EUR",-,-,4M EUR
player_1043,30/6/2027,19.250 EUR p/m,N/D,N/D,Nedjeljko Budic,"375m EUR - 3,7M EUR",-,-,400M EUR
player_1044,30/6/2025,13.500 EUR p/m,N/D,N/D,Humberto Guijarro,"170m EUR - 1,7M EUR",-,-,"3,7M EUR"
player_1045,30/6/2026,9.000 EUR p/m,N/D,N/D,Pablo Fernandez,325m EUR - 1M EUR,-,-,"1,2M EUR"
player_1046,30/6/2024,7.500 EUR p/m,N/D,N/D,Humberto Guijarro,0 EUR - 16m EUR,-,-,-
player_1047,30/6/2025,9.000 EUR p/m,N/D,N/D,Alfredo Orti,80m EUR - 800m EUR,-,-,725m EUR
player_1048,30/6/2024,9.500 EUR p/m,N/D,N/D,Nahuel Barros,0EUR,-,-,"1,2M EUR"
player_1049,30/6/2024,12.250 EUR p/m,N/D,N/D,Daniel Abal,0 EUR - 50m EUR,-,-,"1,3M EUR"
